condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_no_trust_case2,case2,no_trust,1,99001,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,6,0,nan,nan,nan,nan,2.0835326180494143,3.7888643040958505,397135.7689359483,75.0,50.0,3.0,0.3,400.0,1.0,11.370209462844311,0.015011795656716481,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,2,99002,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,4,0,nan,nan,nan,nan,2.2987422053952624,3.5742566052146754,331308.9536904243,75.0,50.0,3.0,0.3,400.0,1.0,10.32274499280731,0.015215311535046704,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,3,99003,nominal,fixed,0,0,0,0,unsuccessful_interception,7,6,0,nan,nan,nan,nan,2.4934431386447935,3.599759766228899,375058.06380244426,75.0,50.0,3.0,0.3,400.0,1.0,12.262976115029778,0.013800715418467169,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,4,99004,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,7,0,nan,nan,nan,nan,2.1587755257686667,4.089958498810469,418930.80301253765,75.0,50.0,3.0,0.3,400.0,1.0,11.862630444034336,0.017873332181661202,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,5,99005,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,6,0,nan,nan,nan,nan,2.092049636784618,3.2666703523593554,396835.72132850287,75.0,50.0,3.0,0.3,400.0,1.0,10.27618191636433,0.010756646998348347,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,6,99006,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,0,nan,nan,nan,nan,2.405795625624848,4.267821137205524,353250.9619641635,75.0,50.0,3.0,0.3,400.0,1.0,10.856413823547609,0.012896700521360625,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,7,99007,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,7,0,nan,nan,nan,nan,2.3090030860983126,4.185856680688441,419113.1585728616,75.0,50.0,3.0,0.3,400.0,1.0,10.173947606925696,0.021811920621101856,0.0,nan,nan,nan,0
