variant,case,metric,independent_seeds,mean,ci95_half_width
full,case1,all_target_interception,5,1.0,0.0
full,case1,all_target_sync,5,0.9,0.04389241392313709
full,case1,final_return,5,164554757.8942383,491480.1614965439
full,case1,mean_agent_return,5,413.21760331016014,1.2121133089741547
full,case1,mean_sync_spread_s,5,0.028437613770365716,0.00370459247672168
full,case1,return_auc,5,163305180.17006984,1566093.326492849
full,case1,target_interception_rate,5,1.0,0.0
full,case1,target_sync_rate,5,0.9862499999999998,0.0064917755660528305
full,case1,team_return,5,8264.3520662032,24.242266179481827
no_trust,case1,all_target_interception,5,1.0,0.0
no_trust,case1,all_target_sync,5,0.9,0.1241464941107883
no_trust,case1,final_return,5,158987193.42841065,7663981.461764751
no_trust,case1,mean_agent_return,5,422.689179970156,19.253776278197865
no_trust,case1,mean_sync_spread_s,5,0.02912493567913771,0.00865131091949282
no_trust,case1,return_auc,5,157227492.57288414,8777028.635013852
no_trust,case1,target_interception_rate,5,1.0,0.0
no_trust,case1,target_sync_rate,5,0.9875,0.015518311763848554
no_trust,case1,team_return,5,8453.78359940312,385.07552556395734
no_gru,case1,all_target_interception,5,1.0,0.0
no_gru,case1,all_target_sync,5,0.9199999999999999,0.03399891762983046
no_gru,case1,final_return,5,163620371.46422854,1677437.16204929
no_gru,case1,mean_agent_return,5,415.99221771390177,0.4601978347642528
no_gru,case1,mean_sync_spread_s,5,0.02988407541066408,0.00393363242934465
no_gru,case1,return_auc,5,163401173.45794272,1180775.908954144
no_gru,case1,target_interception_rate,5,1.0,0.0
no_gru,case1,target_sync_rate,5,0.99,0.004249864703728798
no_gru,case1,team_return,5,8319.844354278035,9.203956695284118
no_attention_residual,case1,all_target_interception,5,0.9800000000000001,0.05551999999999998
no_attention_residual,case1,all_target_sync,5,0.8099999999999999,0.2858066927137991
no_attention_residual,case1,final_return,5,161589937.73103517,2046924.0578227094
no_attention_residual,case1,mean_agent_return,5,416.60558960990767,4.951932703535925
no_attention_residual,case1,mean_sync_spread_s,5,0.029633914716541764,0.003357230551053984
no_attention_residual,case1,return_auc,5,161175249.35801375,2825061.6541645
no_attention_residual,case1,target_interception_rate,5,0.9974999999999999,0.006939999999999975
no_attention_residual,case1,target_sync_rate,5,0.975,0.035131072428834266
no_attention_residual,case1,team_return,5,8332.111792198155,99.03865407071869
full,case2,all_target_interception,5,0.0,0.0
full,case2,all_target_sync,5,0.0,0.0
full,case2,final_return,5,162106944.87110025,1021329.7567988752
full,case2,mean_agent_return,5,829.4840619037459,26.091956829987424
full,case2,mean_sync_spread_s,5,2.89884999146685,3.4415545870063795
full,case2,return_auc,5,162379463.31822744,464340.97612168954
full,case2,target_interception_rate,5,0.44625000000000004,0.07980999999999999
full,case2,target_sync_rate,5,0.305,0.12964989934434965
full,case2,team_return,5,16589.681238074918,521.8391365997512
no_trust,case2,all_target_interception,5,0.0,0.0
no_trust,case2,all_target_sync,5,0.0,0.0
no_trust,case2,final_return,5,166279933.11179036,2156059.9943615296
no_trust,case2,mean_agent_return,5,852.2234437883222,37.79407518405516
no_trust,case2,mean_sync_spread_s,5,0.9864210951175879,1.9020255960786117
no_trust,case2,return_auc,5,165276387.34997258,1342234.4357943956
no_trust,case2,target_interception_rate,5,0.34,0.19526266885915497
no_trust,case2,target_sync_rate,5,0.24,0.19786608185841248
no_trust,case2,team_return,5,17044.468875766444,755.8815036811033
no_gru,case2,all_target_interception,5,0.0,0.0
no_gru,case2,all_target_sync,5,0.0,0.0
no_gru,case2,final_return,5,161728232.14660808,146438.8145632378
no_gru,case2,mean_agent_return,5,884.938707264947,19.321434275306967
no_gru,case2,mean_sync_spread_s,5,0.07208352426066995,0.02404968743369141
no_gru,case2,return_auc,5,161370935.91655388,100279.6770849947
no_gru,case2,target_interception_rate,5,0.50125,0.05099837644474578
no_gru,case2,target_sync_rate,5,0.33249999999999996,0.06970296371030428
no_gru,case2,team_return,5,17698.774145298943,386.4286855061397
no_attention_residual,case2,all_target_interception,5,0.0,0.0
no_attention_residual,case2,all_target_sync,5,0.0,0.0
no_attention_residual,case2,final_return,5,161654092.7914974,1257872.5759820354
no_attention_residual,case2,mean_agent_return,5,834.0054491881307,43.16801362366441
no_attention_residual,case2,mean_sync_spread_s,5,6.203666563332081,9.750979740484365
no_attention_residual,case2,return_auc,5,161905869.27003556,323134.5974322236
no_attention_residual,case2,target_interception_rate,5,0.3862500000000001,0.2125923755688336
no_attention_residual,case2,target_sync_rate,5,0.23625,0.22376792140519156
no_attention_residual,case2,team_return,5,16680.108983762613,863.3602724732873
