episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case2,8,8,3,2,False,False,0.20000457763671875,0.13333511352539062,816.3832818026647,16327.665636053294
2,case2,8,9,4,2,False,False,0.34999847412109375,0.1666666716337204,803.2194970329307,16064.389940658613
3,case2,8,11,5,3,False,False,0.40000152587890625,0.22500038146972656,788.4679264987208,15769.358529974415
4,case2,8,9,4,2,False,False,0.29999542236328125,0.14999771118164062,798.4244418637467,15968.488837274934
5,case2,8,12,5,3,False,False,0.9500045776367188,0.3625011444091797,762.9309746155086,15258.619492310172
6,case2,8,10,4,3,False,False,0.350006103515625,0.16250228881835938,796.0724957108774,15921.449914217548
7,case2,8,11,4,4,False,False,0.5,0.2499980926513672,803.5539768899791,16071.079537799582
8,case2,8,9,3,3,False,False,0.15000152587890625,0.06666692346334457,820.9003015237352,16418.006030474702
9,case2,8,11,4,4,False,False,0.15000152587890625,0.08750057220458984,813.2919169207569,16265.838338415138
10,case2,8,8,4,2,False,False,0.1999969482421875,0.12499809265136719,808.9678144614255,16179.35628922851
11,case2,8,11,5,3,False,False,0.40000152587890625,0.15000025928020477,789.2660635962304,15785.321271924608
12,case2,8,8,4,1,False,False,0.20000076293945312,0.08333460241556168,806.7933315261845,16135.86663052369
13,case2,8,11,4,3,False,False,0.75,0.3249998092651367,811.9562468485907,16239.124936971813
14,case2,8,9,4,2,False,False,0.20000457763671875,0.13333511352539062,798.8310979873393,15976.621959746786
15,case2,8,9,4,2,False,False,0.25,0.1499989777803421,778.180266165408,15563.605323308162
16,case2,8,11,4,4,False,False,0.34999847412109375,0.21250057220458984,790.5472378252016,15810.944756504032
17,case2,8,10,4,3,False,False,0.25,0.14999961853027344,797.9323072072505,15958.646144145008
18,case2,8,10,4,3,False,False,0.40000152587890625,0.1875019073486328,801.8194084978079,16036.388169956159
19,case2,8,9,3,3,False,False,0.3000030517578125,0.1666666716337204,810.909845340671,16218.19690681342
20,case2,8,12,5,3,False,False,0.6500015258789062,0.22500038146972656,789.9472509417159,15798.945018834318
