case,episode,seed,defender_id,target_index,hit_time_s,terminal_abs_ny_g,hit_distance_m
case1,1,89001,4,4,26.750000000000245,0.05283316205156938,2.510548235571367
case1,1,89001,12,4,26.750000000000245,0.03629890347406692,1.5018591948488669
case1,1,89001,1,1,28.350000000000268,0.03698792461897313,1.9321946720916168
case1,1,89001,9,1,28.350000000000268,0.4088516355927358,1.8130423601863408
case1,1,89001,17,1,28.350000000000268,0.1228303365200148,2.541093285676594
case1,1,89001,7,7,28.50000000000027,0.519552195171854,0.3998872612328528
case1,1,89001,15,7,28.50000000000027,0.4440773580252572,0.8760134874806176
case1,1,89001,14,6,29.20000000000028,0.23317485577305194,1.509136723614612
case1,1,89001,6,6,29.25000000000028,0.49479445850106835,0.8868574939495582
case1,1,89001,11,3,30.150000000000293,0.4002356546133798,2.81529875042291
case1,1,89001,19,3,30.150000000000293,0.1836856434494047,2.06395576561535
case1,1,89001,3,3,30.200000000000294,0.12599208090944533,0.8292366314442987
case1,1,89001,0,0,31.30000000000031,0.43564000196908403,1.1844693470968788
case1,1,89001,8,0,31.30000000000031,0.5550871722007015,1.9821875924482557
case1,1,89001,16,0,31.35000000000031,0.4769798081096838,0.8332520881162799
case1,1,89001,5,5,33.10000000000026,0.18370749220204868,1.1866681579450022
case1,1,89001,13,5,33.10000000000026,0.45016437566359746,1.7747648571680996
case1,1,89001,2,2,35.950000000000095,0.3836812717192469,2.5677876166387033
