case,episode,seed,target_index,assigned_defenders,active_defenders,active_hits,target_covered,active_group_complete,coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
case2,7,90007,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.21534568559403613,1.6308160667593565,28.100000000000264
case2,7,90007,4,2,2,2,1,1,1,0.0,0.0,0.1561742243193044,1.464669755905679,24.850000000000218
case2,7,90007,5,2,2,2,1,1,1,0.0,0.0,0.008574821842438213,1.6632024274302795,26.750000000000245
case2,7,90007,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.14229927234216821,1.7316108890248079,26.30000000000024
case2,7,90007,7,2,2,2,1,1,1,0.0,0.0,0.4297450544961313,1.3464577408266707,27.550000000000257
case2,8,90008,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.4781457023091204,1.9681362747362023,29.30000000000028
case2,8,90008,1,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.4296508575769192,2.602888878880054,26.200000000000237
case2,8,90008,2,3,2,2,1,1,0,34.54999999999804,17.27499999999902,0.06285362183317389,2.4838895198176925,71.84999999999806
case2,8,90008,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.23452574981597596,1.0550669743150096,28.150000000000265
case2,8,90008,4,2,2,2,1,1,1,0.0,0.0,0.35874314970416726,1.9273181779650113,24.850000000000218
case2,8,90008,5,2,2,2,1,1,1,0.0,0.0,0.1644197020832105,1.8089418323332445,26.750000000000245
case2,8,90008,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.26684920671663304,2.2632064395230334,26.30000000000024
case2,8,90008,7,2,2,2,1,1,1,0.0,0.0,0.36224762536599525,2.2627831988738514,27.550000000000257
case2,9,90009,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.22578392946336057,1.5179344801348191,29.30000000000028
case2,9,90009,1,3,3,2,1,0,0,0.05000000000000071,0.025000000000000355,0.12122760051771025,2.471527353147355,26.150000000000237
case2,9,90009,2,3,3,3,1,1,0,26.74999999999848,11.855555555554881,0.18586929064265587,2.64655087703268,63.899999999998506
case2,9,90009,3,3,2,2,1,1,1,0.0,0.0,0.07388595396500065,0.8471779140320257,28.000000000000263
case2,9,90009,4,2,2,2,1,1,1,0.0,0.0,0.12354991182985846,1.9391144594389589,24.850000000000218
case2,9,90009,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.1193145995323838,1.8513408036631298,26.750000000000245
case2,9,90009,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.33581888772488133,2.33685722314845,26.30000000000024
case2,9,90009,7,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,10,90010,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.16854268923368246,1.7378842123958613,29.30000000000028
case2,10,90010,1,3,3,2,1,0,0,0.0,0.0,0.4228860541663602,2.0757660794378827,26.150000000000237
case2,10,90010,2,3,3,3,1,1,0,1.4999999999999147,0.6555555555555183,0.227931425323598,2.708066672935571,63.59999999999852
case2,10,90010,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.222776980988144,1.6046431904359935,28.100000000000264
case2,10,90010,4,2,2,2,1,1,1,0.0,0.0,0.2956380584511973,1.7183232954924026,24.850000000000218
case2,10,90010,5,2,0,0,0,0,0,nan,nan,nan,nan,nan
case2,10,90010,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.26305414948917566,2.3835520240303727,26.30000000000024
case2,10,90010,7,2,2,2,1,1,1,0.0,0.0,0.4428903515057647,1.2340457465789108,27.550000000000257
case2,11,90011,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.27780324273757695,1.9516129106952647,29.30000000000028
case2,11,90011,1,3,3,3,1,1,1,0.0,0.0,0.43455976978000094,2.5329623655358593,26.150000000000237
case2,11,90011,2,3,3,2,1,0,0,0.09999999999999432,0.04999999999999716,0.5808271644892995,2.862739818459768,37.25000000000002
case2,11,90011,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.11671138968675188,1.4304379483832406,28.100000000000264
case2,11,90011,4,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,11,90011,5,2,2,2,1,1,1,0.0,0.0,0.34601645906657136,2.373253576693604,26.700000000000244
case2,11,90011,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.2061708185581943,2.807739541540678,26.30000000000024
case2,11,90011,7,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,12,90012,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.2405182500439773,2.2082016263303426,29.30000000000028
case2,12,90012,1,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.40469298152941335,2.5469261441406097,26.200000000000237
case2,12,90012,2,3,3,2,1,0,0,25.749999999998536,12.874999999999268,0.2985538637310444,2.720143938070967,62.99999999999856
case2,12,90012,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.3047115952339443,1.4525193586868053,28.150000000000265
case2,12,90012,4,2,2,2,1,1,1,0.0,0.0,0.17147394980784741,1.6393470009461275,24.850000000000218
case2,12,90012,5,2,1,1,1,1,1,0.0,0.0,0.16815534793302522,0.9110388096820867,40.64999999999983
case2,12,90012,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.1545985454170644,2.3407253778568595,26.30000000000024
case2,12,90012,7,2,2,2,1,1,1,0.0,0.0,0.457102831315811,2.134751551772224,27.550000000000257
case2,13,90013,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.15638707078412886,2.3786325401935415,29.30000000000028
case2,13,90013,1,3,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.31288440985355775,2.4380013896359833,26.150000000000237
case2,13,90013,2,3,3,3,1,1,0,34.79999999999803,15.45555555555468,0.30376461921848247,2.7555806985638074,71.94999999999806
case2,13,90013,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.2232976937953712,1.9198934562309902,28.100000000000264
case2,13,90013,4,2,2,2,1,1,1,0.0,0.0,0.30492852617667787,1.8345452137824818,24.850000000000218
case2,13,90013,5,2,1,1,1,1,1,0.0,0.0,0.17600824489008784,2.7965209191779996,50.09999999999929
case2,13,90013,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.09140414527162116,1.930699898027025,26.30000000000024
case2,13,90013,7,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,14,90014,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.5092302922069831,2.085085409397755,29.30000000000028
case2,14,90014,1,3,3,2,1,0,0,0.0,0.0,0.4372466001421779,2.373026800661128,26.150000000000237
case2,14,90014,2,3,3,3,1,1,0,0.8999999999999488,0.35555555555553536,0.2356980125740875,2.9190217906622564,65.39999999999843
case2,14,90014,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.3410163954274139,1.8077012496216007,28.100000000000264
case2,14,90014,4,2,2,2,1,1,1,0.0,0.0,0.3436311609561279,1.9590682758830735,24.850000000000218
case2,14,90014,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.25587930910272383,1.83623457755587,26.750000000000245
case2,14,90014,6,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,14,90014,7,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,15,90015,0,3,2,2,1,1,1,0.0,0.0,0.37864575629164793,1.4012047955436024,29.25000000000028
case2,15,90015,1,3,3,0,0,0,0,nan,nan,nan,nan,nan
case2,15,90015,2,3,2,2,1,1,1,0.2499999999999858,0.1249999999999929,0.29050631490409834,2.867547657293862,64.69999999999847
case2,15,90015,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.2222041024297535,1.5150268978066948,28.150000000000265
case2,15,90015,4,2,2,2,1,1,1,0.0,0.0,0.2600920130734292,2.1219301792010197,24.850000000000218
case2,15,90015,5,2,2,2,1,1,1,0.0,0.0,0.32827638641750734,2.4161103451402184,26.700000000000244
case2,15,90015,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.05324505599121507,2.3808519840644116,26.30000000000024
case2,15,90015,7,2,2,2,1,1,1,0.0,0.0,0.442878827287212,2.3520062594853615,27.550000000000257
case2,16,90016,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.1867677835192307,2.048530290164985,29.30000000000028
case2,16,90016,1,3,3,1,1,0,0,0.0,0.0,0.5870791278913797,2.874294672657076,26.150000000000237
case2,16,90016,2,3,2,1,1,0,0,0.0,0.0,0.2649426973075381,2.91689943202001,65.29999999999843
case2,16,90016,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.07262912114726178,1.859913623266887,28.100000000000264
case2,16,90016,4,2,2,2,1,1,1,0.0,0.0,0.18349768127056493,1.7643027957981028,24.850000000000218
case2,16,90016,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.22562724502652431,2.3001029298101963,26.750000000000245
case2,16,90016,6,2,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.20381812893231033,2.41715379988355,26.35000000000024
case2,16,90016,7,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,17,90017,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.2918619085267846,1.9978080939395981,29.30000000000028
case2,17,90017,1,3,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.2783802047078274,1.9255790439096623,26.150000000000237
case2,17,90017,2,3,2,2,1,1,0,34.29999999999806,17.14999999999903,0.294436185247243,2.991050281847282,71.64999999999807
case2,17,90017,3,3,2,2,1,1,1,0.0,0.0,0.10326042566372945,1.2648523615702993,28.000000000000263
case2,17,90017,4,2,2,2,1,1,1,0.0,0.0,0.23035246602430431,1.6984044332558428,24.850000000000218
case2,17,90017,5,2,2,2,1,1,1,0.0,0.0,0.292737407226228,1.4487354672895871,26.750000000000245
case2,17,90017,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.2669582096048667,2.3542095451947063,26.30000000000024
case2,17,90017,7,2,2,2,1,1,1,0.0,0.0,0.16809800367075375,0.9440575592897307,27.550000000000257
case2,18,90018,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.14091078777103497,2.2558068732936842,29.30000000000028
case2,18,90018,1,3,3,2,1,0,0,0.0,0.0,0.11960716012399845,2.50487526200211,26.150000000000237
case2,18,90018,2,3,3,3,1,1,0,26.54999999999849,11.777777777777109,0.2189013938125687,2.7748600645696335,63.79999999999851
case2,18,90018,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.1619633874621498,2.2968485305708017,28.100000000000264
case2,18,90018,4,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,18,90018,5,2,2,2,1,1,1,0.0,0.0,0.3322652230525006,1.8420549329165432,26.750000000000245
case2,18,90018,6,2,2,2,1,1,1,0.0,0.0,0.3890063408761352,2.6339113174313593,26.30000000000024
case2,18,90018,7,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,19,90019,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.31543294799577054,1.9735716667574088,29.30000000000028
case2,19,90019,1,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.48553581213733615,2.2507525877264936,26.250000000000238
case2,19,90019,2,3,3,3,1,1,0,33.5999999999981,14.922222222221377,0.2589822518633938,2.736007077980164,70.74999999999812
case2,19,90019,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.22371414828529046,1.7285275579263735,28.150000000000265
case2,19,90019,4,2,1,1,1,1,1,0.0,0.0,0.32286025598873624,2.9160448993402195,28.650000000000272
case2,19,90019,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.31488097939675275,2.0891246548891615,26.750000000000245
case2,19,90019,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.4037994661330726,2.101851169884805,26.30000000000024
case2,19,90019,7,2,2,1,1,0,0,0.0,0.0,0.3555346752147425,1.2519790422024313,27.550000000000257
case2,20,90020,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.21094120805564934,1.8081685866540695,29.30000000000028
case2,20,90020,1,3,3,1,1,0,0,0.0,0.0,0.3467551607818595,2.472509765116825,26.150000000000237
case2,20,90020,2,3,2,2,1,1,1,0.04999999999999716,0.02499999999999858,0.06948995474578687,2.733502004043694,64.94999999999845
case2,20,90020,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.14552723511836563,2.214596517187294,28.100000000000264
case2,20,90020,4,2,2,2,1,1,1,0.0,0.0,0.319184756860219,1.6616407341952413,24.850000000000218
case2,20,90020,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.08252016320462197,2.2883453075248754,26.750000000000245
case2,20,90020,6,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,20,90020,7,2,2,2,1,1,1,0.0,0.0,0.2781536847351832,1.5254614652681449,27.550000000000257
case2,21,90021,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.2275912078983181,2.0856504865733387,29.30000000000028
case2,21,90021,1,3,3,3,1,1,1,0.0,0.0,0.3747920632497821,2.216348611121365,26.150000000000237
case2,21,90021,2,3,2,2,1,1,0,35.949999999997964,17.974999999998982,0.44582673911575826,2.8103886825915585,73.19999999999798
case2,21,90021,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.1816470166515551,1.8585325361085345,28.100000000000264
case2,21,90021,4,2,2,2,1,1,1,0.0,0.0,0.14522779627639681,1.8872167787301084,24.850000000000218
case2,21,90021,5,2,2,2,1,1,1,0.0,0.0,0.17578582133164877,1.5085490865820248,26.750000000000245
case2,21,90021,6,2,1,1,1,1,1,0.0,0.0,0.8247391133469296,2.853634615325399,31.050000000000306
case2,21,90021,7,2,2,2,1,1,1,0.0,0.0,0.18319996061843924,1.9453104171013356,27.550000000000257
case2,22,90022,0,3,3,2,1,0,0,0.20000000000000284,0.10000000000000142,0.31969987614155754,2.208710804699974,29.30000000000028
case2,22,90022,1,3,3,2,1,0,0,0.0,0.0,0.31959199090125784,2.178619615961731,26.150000000000237
case2,22,90022,2,3,2,2,1,1,1,0.0,0.0,0.2930672106147262,2.8843889033884804,37.350000000000016
case2,22,90022,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.2332418945227812,1.4103770233981916,28.150000000000265
case2,22,90022,4,2,2,2,1,1,1,0.0,0.0,0.14474799724144363,1.9519017992094847,24.850000000000218
case2,22,90022,5,2,2,2,1,1,1,0.0,0.0,0.21826179171371726,1.3183202050428382,26.750000000000245
case2,22,90022,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.20191735241279804,2.3215229195124576,26.30000000000024
case2,22,90022,7,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,23,90023,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.27299363414058386,1.7656007340918531,29.30000000000028
case2,23,90023,1,3,3,2,1,0,0,0.0,0.0,0.49320352559885383,2.721408949304722,26.150000000000237
case2,23,90023,2,3,3,3,1,1,0,2.2999999999998764,1.0222222222221664,0.20472137058528272,2.8520107303693223,65.29999999999843
case2,23,90023,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.19275162177750163,1.8786136770893105,28.100000000000264
case2,23,90023,4,2,0,0,0,0,0,nan,nan,nan,nan,nan
case2,23,90023,5,2,2,2,1,1,1,0.0,0.0,0.27584338832698396,2.14896509866095,26.750000000000245
case2,23,90023,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.43060990638655905,2.4171189806663653,26.30000000000024
case2,23,90023,7,2,2,2,1,1,1,0.0,0.0,0.3130204951452161,1.677889312773291,27.550000000000257
case2,24,90024,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.1974035825961952,1.987082887237291,29.30000000000028
case2,24,90024,1,3,3,0,0,0,0,nan,nan,nan,nan,nan
case2,24,90024,2,3,3,2,1,0,0,27.39999999999845,13.699999999999225,0.1771937680735644,2.8430511390028346,64.54999999999848
case2,24,90024,3,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.12068278398460153,2.4668653137290875,28.150000000000265
case2,24,90024,4,2,2,2,1,1,1,0.0,0.0,0.2268731933427071,2.0425779402041027,24.850000000000218
case2,24,90024,5,2,2,2,1,1,1,0.0,0.0,0.20943668268517646,1.7251884484588116,26.750000000000245
case2,24,90024,6,2,1,1,1,1,1,0.0,0.0,0.11735364535231996,2.974779731043712,31.150000000000308
case2,24,90024,7,2,2,2,1,1,1,0.0,0.0,0.22109603713219625,1.443861270427504,27.550000000000257
case2,25,90025,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.3865102274126893,1.2675572517063742,29.30000000000028
case2,25,90025,1,3,2,0,0,0,0,nan,nan,nan,nan,nan
case2,25,90025,2,3,3,3,1,1,0,1.5999999999999162,0.6999999999999625,0.18497568604859396,2.730774316843552,65.04999999999845
case2,25,90025,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.24524213225698963,2.0664244652758508,28.100000000000264
case2,25,90025,4,2,2,1,1,0,0,0.0,0.0,0.01720106305125131,1.5445177424588044,24.850000000000218
case2,25,90025,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.21606835236836036,2.1619486512922133,26.750000000000245
case2,25,90025,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.16375307932506455,2.4566783953069473,26.30000000000024
case2,25,90025,7,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,26,90026,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.08509950911711828,1.5690351751189686,29.30000000000028
case2,26,90026,1,3,3,1,1,0,0,0.0,0.0,0.6466689067139811,2.3307623504319213,26.150000000000237
case2,26,90026,2,3,2,2,1,1,0,36.89999999999791,18.449999999998955,0.20270590672364405,2.8428931197881244,74.14999999999793
case2,26,90026,3,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.21506921245408037,2.6439971749484714,28.150000000000265
case2,26,90026,4,2,2,2,1,1,1,0.0,0.0,0.2220764200601022,2.049635128466674,24.850000000000218
case2,26,90026,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.055927340577784805,1.7834135533041087,26.750000000000245
case2,26,90026,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.3610840620889985,1.9663235061930258,26.30000000000024
case2,26,90026,7,2,2,2,1,1,1,0.0,0.0,0.20336095745992508,1.3704306025530597,27.550000000000257
case2,27,90027,0,3,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.07874591584603605,1.6385515498187548,29.30000000000028
case2,27,90027,1,3,3,3,1,1,1,0.0,0.0,0.390701488697809,2.6225037712606305,26.150000000000237
case2,27,90027,2,3,3,3,1,1,0,3.3499999999998167,1.4333333333332565,0.37877214642430873,2.817390415028541,66.84999999999835
case2,27,90027,3,3,2,2,1,1,1,0.0,0.0,0.3011295753325882,1.105967892925559,28.000000000000263
case2,27,90027,4,2,2,2,1,1,1,0.0,0.0,0.2380814274861151,1.6406338651083265,24.850000000000218
case2,27,90027,5,2,2,2,1,1,1,0.0,0.0,0.12858978329747955,1.5917931050446794,26.750000000000245
case2,27,90027,6,2,2,1,1,0,0,0.0,0.0,0.5546741255064154,2.9438256341420437,26.30000000000024
case2,27,90027,7,2,2,2,1,1,1,0.0,0.0,0.15571848524012383,1.5364675584286367,27.550000000000257
case2,28,90028,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.2892447814535148,1.7704587179449138,29.30000000000028
case2,28,90028,1,3,3,2,1,0,0,0.0,0.0,0.2472610192221047,2.6838926068986435,26.150000000000237
case2,28,90028,2,3,2,2,1,1,0,33.5499999999981,16.77499999999905,0.34892299850228625,2.737088595178312,70.84999999999812
case2,28,90028,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.159328521048852,1.152153206822276,28.150000000000265
case2,28,90028,4,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,28,90028,5,2,2,2,1,1,1,0.0,0.0,0.38432728106479686,1.508710169421499,26.750000000000245
case2,28,90028,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.23835029452378964,2.4921903202497453,26.30000000000024
case2,28,90028,7,2,2,2,1,1,1,0.0,0.0,0.41260396847967673,2.6086058344459806,27.550000000000257
case2,29,90029,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.2566812215298262,1.5968859031495104,29.30000000000028
case2,29,90029,1,3,3,2,1,0,0,0.0,0.0,0.21860789824924234,2.22332530514839,26.150000000000237
case2,29,90029,2,3,3,3,1,1,0,0.7999999999999545,0.35555555555553536,0.38898076240080925,2.8958701617848015,63.84999999999851
case2,29,90029,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.18082719060965177,1.7826022169189717,28.100000000000264
case2,29,90029,4,2,2,2,1,1,1,0.0,0.0,0.2695419868158429,2.097882759678749,24.850000000000218
case2,29,90029,5,2,1,1,1,1,1,0.0,0.0,0.1490471514613224,1.7492483137951418,41.049999999999805
case2,29,90029,6,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,29,90029,7,2,2,2,1,1,1,0.0,0.0,0.3412373380926499,1.8527491631384017,27.550000000000257
case2,30,90030,0,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.3006905851406785,2.457417676823186,29.500000000000284
