episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread
1,case2,8,19,8,7,True,False,0.40000152587890625,0.10624980926513672
2,case2,8,18,8,5,True,False,28.599998474121094,4.142856597900391
3,case2,8,19,8,7,True,False,0.1999988555908203,0.06874942779541016
4,case2,8,17,8,6,True,False,0.1999988555908203,0.07142802327871323
5,case2,8,19,8,6,True,False,27.85000228881836,3.53125
6,case2,8,18,8,6,True,False,1.25,0.24999944865703583
7,case2,8,18,8,6,True,False,27.150001525878906,3.942857027053833
8,case2,8,19,8,7,True,False,0.20000457763671875,0.09375
9,case2,8,18,8,6,True,False,0.1999988555908203,0.0624995231628418
10,case2,8,19,8,7,True,False,0.1999988555908203,0.0624995231628418
11,case2,8,19,8,7,True,False,0.1999988555908203,0.07499980926513672
12,case2,8,18,8,6,True,False,0.8499984741210938,0.17499947547912598
13,case2,8,19,8,6,True,False,27.050003051757812,3.4375
14,case2,8,18,8,6,True,False,0.1999988555908203,0.07499933242797852
15,case2,8,19,8,7,True,False,0.14999961853027344,0.06875038146972656
16,case2,8,19,8,7,True,False,0.14999961853027344,0.0624995231628418
17,case2,8,17,8,6,True,False,27.650001525878906,4.028571128845215
18,case2,8,16,7,6,False,False,0.1999988555908203,0.07142802327871323
19,case2,8,18,8,7,True,False,0.20000457763671875,0.09285763651132584
20,case2,8,19,8,7,True,False,0.15000152587890625,0.0625
