episode,seed,attacker_id,radius_m,altitude_m,speed_mps,heading_bias_rad,x_m,y_m,z_m
1,73401,20,2082.855013942457,90.80005947065072,34.24904799469046,0.04,-1837.232555720136,-981.2550867676,90.80005947065072
1,73401,21,2094.4596451429325,110.63396462536426,35.271645696238934,-0.047,-2052.65487949324,416.37621308721504,110.63396462536426
1,73401,22,2144.661062323627,133.16722586232459,36.70932793750683,0.054,1463.2222966124873,-1567.9769076562277,133.16722586232459
1,73401,23,2163.7423384435715,158.66623374393487,38.314549663346554,-0.04,1091.5881640159025,1868.2120295495495,158.66623374393487
1,73401,24,2208.0198123819855,89.75288254120265,40.12742553497603,0.047,2206.589262356792,79.46898214452254,89.75288254120265
1,73401,25,2237.2078437037317,113.54758437498502,41.13147936205878,-0.054,1920.8186334494071,-1146.9763351190177,113.54758437498502
1,73401,26,2276.4320903959997,131.68352071202227,42.851595794892376,0.04,-1656.9012535228146,-1561.0321259536033,131.68352071202227
1,73401,27,2299.10893652466,153.35020201287628,43.97974156459511,-0.047,-1629.620146529154,-1621.8014921789447,153.35020201287628
2,73402,20,2052.902084617756,93.76928093908062,34.744285757914504,0.04,-1811.2950186849948,-966.2387511970592,93.76928093908062
2,73402,21,2110.062067394668,113.3166716313655,35.65067722163147,-0.047,-2061.3282936442793,450.87425528568883,113.3166716313655
2,73402,22,2152.2073835171673,134.39714043685146,36.762034841062665,0.054,1470.4722021882592,-1571.530503762947,134.39714043685146
2,73402,23,2144.2940627935927,153.8019345331988,38.19471848151698,-0.04,1050.8959027755272,1869.1214057041511,153.8019345331988
2,73402,24,2204.0137999193794,92.47821394402226,40.11272157686009,0.047,2203.65478375098,39.7796969129142,92.47821394402226
2,73402,25,2213.926137670894,114.90596341498654,41.15384186904781,-0.054,1884.4358141870039,-1162.0544760344615,114.90596341498654
2,73402,26,2284.8309671202323,134.84043231593682,42.83331011763428,0.04,-1656.044683077567,-1574.1564585396513,134.84043231593682
2,73402,27,2301.6814234605586,154.5302768560589,44.34180500794293,-0.047,-1680.7737572062363,-1572.4938639594927,154.5302768560589
3,73403,20,2082.724788362882,88.58158326958804,34.0,0.04,-1834.3593353074123,-986.3409010234546,88.58158326958804
3,73403,21,2070.0436556124596,110.25642126295156,35.677156954680385,-0.047,-2027.4096487132847,417.9603479346702,110.25642126295156
3,73403,22,2149.2530672266694,131.05419258866567,36.736199851593184,0.054,1493.27021667844,-1545.779029151441,131.05419258866567
3,73403,23,2173.9101871829976,157.97877183407994,39.07838832465635,-0.04,1052.3832490461043,1902.2026703443514,157.97877183407994
3,73403,24,2206.4462080537614,88.08483687370791,39.18886254188337,0.047,2206.2395811437814,30.195688919688276,88.08483687370791
3,73403,25,2225.5907177786935,113.64548309109034,41.2774161592252,-0.054,1908.8208403081933,-1144.4024828126696,113.64548309109034
3,73403,26,2250.517986565672,135.70917316173458,42.46213495420607,0.04,-1657.872647824207,-1521.9360996612045,135.70917316173458
3,73403,27,2290.3425770002914,154.24385071895193,44.195770745653434,-0.047,-1624.2424596393146,-1614.7772454196786,154.24385071895193
