defenders_M,targets_N,population_P,iterations_T,runtime_median_s,runtime_q1_s,runtime_q3_s
20,8,8,20,0.05749682697933167,0.05695392598863691,0.05756280000787228
20,8,16,20,0.10152389598079026,0.09960275900084525,0.10353195492643863
20,8,32,20,0.17412772693205625,0.1733521040296182,0.18023159890435636
20,8,64,20,0.3533249100437388,0.3489095730474219,0.35729290801100433
