case,variant,variant_label,metric,n_seeds,mean,sample_sd,ci95_half_width
case1,full,Full ART-MAPPO,tail20_reward,5,164554757.8942383,395887.2661018902,491558.96566603135
case1,full,Full ART-MAPPO,reward_auc_per_step,5,163305180.17006984,1261488.1617963917,1566344.4346628275
case1,full,Full ART-MAPPO,tail20_critic_loss,5,0.009283065654570237,0.00048192640569161554,0.0005983906677310218
case1,full,Full ART-MAPPO,tail10_critic_loss,5,0.009280225058551878,0.00044092732872783063,0.0005474835899055047
case1,full,Full ART-MAPPO,initial10_entropy,5,2.7200757105350495,0.0052005106268299345,0.006457286817610833
case1,full,Full ART-MAPPO,tail20_entropy,5,2.2946980164051056,0.014592613568648593,0.018119122907890747
case1,full,Full ART-MAPPO,entropy_reduction,5,0.42537769412994386,0.016781066525099492,0.020836446155678423
case1,full,Full ART-MAPPO,entropy_auc_per_step,5,2.416776361188503,0.009186792691925811,0.011406909744525745
case1,no_trust,w/o trust-aware,tail20_reward,5,158987193.42841065,6173337.005332923,7665210.308300943
case1,no_trust,w/o trust-aware,reward_auc_per_step,5,157227492.57288414,7069896.494363533,8778435.948078217
case1,no_trust,w/o trust-aware,tail20_critic_loss,5,0.007402622425812297,0.0014070636863796845,0.0017471003225575296
case1,no_trust,w/o trust-aware,tail10_critic_loss,5,0.007385258734691888,0.0015287780251080482,0.0018982286350217171
case1,no_trust,w/o trust-aware,initial10_entropy,5,2.819130193710327,0.0036420907596404215,0.004522252974436119
case1,no_trust,w/o trust-aware,tail20_entropy,5,3.3568150997161865,0.0,0.0
case1,no_trust,w/o trust-aware,entropy_reduction,5,-0.5376849060058595,0.0036420907596404215,0.004522252974436119
case1,no_trust,w/o trust-aware,entropy_auc_per_step,5,3.207304751752603,0.0043418722974099145,0.005391146516492168
case1,no_gru,w/o GRU,tail20_reward,5,163620371.46422854,1351175.6204346337,1677706.123144322
case1,no_gru,w/o GRU,reward_auc_per_step,5,163401173.45794272,951114.9850920638,1180965.2351409276
case1,no_gru,w/o GRU,tail20_critic_loss,5,0.011848343288060276,0.00028752458629658403,0.0003570089274029004
case1,no_gru,w/o GRU,tail10_critic_loss,5,0.011883656554855408,0.00021975610474313942,0.0002728632436450522
case1,no_gru,w/o GRU,initial10_entropy,5,2.7198069353103635,0.001304022487447594,0.0016191577755118004
case1,no_gru,w/o GRU,tail20_entropy,5,2.32991007065773,0.007298612655517218,0.009062424571190117
case1,no_gru,w/o GRU,entropy_reduction,5,0.3898968646526336,0.008387027663883545,0.010413870302183239
case1,no_gru,w/o GRU,entropy_auc_per_step,5,2.437265163106148,0.004635756701922778,0.005756052201209343
case1,no_attention_residual,w/o attn.-res.,tail20_reward,5,161589937.73103517,1648797.3119853346,2047252.2626273334
case1,no_attention_residual,w/o attn.-res.,reward_auc_per_step,5,161175249.35801375,2275587.139531637,2825514.6259319247
case1,no_attention_residual,w/o attn.-res.,tail20_critic_loss,5,0.008983859620755538,0.0007196233156483536,0.0008935303633085858
case1,no_attention_residual,w/o attn.-res.,tail10_critic_loss,5,0.008944142694585027,0.0006542440542895666,0.0008123512882502252
case1,no_attention_residual,w/o attn.-res.,initial10_entropy,5,2.7182452006340023,0.0014204474459642742,0.0017637184549943292
case1,no_attention_residual,w/o attn.-res.,tail20_entropy,5,2.3423216391801835,0.019614477620866343,0.024354590705403203
case1,no_attention_residual,w/o attn.-res.,entropy_reduction,5,0.3759235614538191,0.01854203056988272,0.02302297181221704
case1,no_attention_residual,w/o attn.-res.,entropy_auc_per_step,5,2.4503006143642194,0.01343025786690757,0.01667586767993204
case2,full,Full ART-MAPPO,tail20_reward,5,162106944.87110025,822681.1108233477,1021493.5173116338
case2,full,Full ART-MAPPO,reward_auc_per_step,5,162379463.31822744,374026.65250241524,464415.4287809197
case2,full,Full ART-MAPPO,tail20_critic_loss,5,0.01674518276983872,0.0007336391348692164,0.0009109333014404635
case2,full,Full ART-MAPPO,tail10_critic_loss,5,0.016639092643745242,0.0009153134890545831,0.001136511806429353
case2,full,Full ART-MAPPO,initial10_entropy,5,2.561516625801722,0.0022405615579100834,0.0027820246222162942
case2,full,Full ART-MAPPO,tail20_entropy,5,1.9280086208184557,0.04088861131037346,0.05076991660063806
case2,full,Full ART-MAPPO,entropy_reduction,5,0.6335080049832664,0.04174762717000059,0.05183652566742313
case2,full,Full ART-MAPPO,entropy_auc_per_step,5,2.0620390081545183,0.04239114636021753,0.05263556027806874
case2,no_trust,w/o trust-aware,tail20_reward,5,166279933.11179036,1736706.3079827786,2156405.6980755986
case2,no_trust,w/o trust-aware,reward_auc_per_step,5,165276387.34997258,1081169.8271532226,1342449.6503203455
case2,no_trust,w/o trust-aware,tail20_critic_loss,5,0.01672014121284398,0.00175815709504371,0.002183040368102293
case2,no_trust,w/o trust-aware,tail10_critic_loss,5,0.016220426815251508,0.001996860672862203,0.0024794300069219464
case2,no_trust,w/o trust-aware,initial10_entropy,5,2.9688650445938114,0.008092297006710656,0.010047913856004726
case2,no_trust,w/o trust-aware,tail20_entropy,5,3.3568150997161865,0.0,0.0
case2,no_trust,w/o trust-aware,entropy_reduction,5,-0.3879500551223751,0.008092297006710656,0.010047913856004726
case2,no_trust,w/o trust-aware,entropy_auc_per_step,5,3.31594099521637,0.001474371040979398,0.0018306734415783285
case2,no_gru,w/o GRU,tail20_reward,5,161728232.14660808,117956.46394376295,146462.29463439115
case2,no_gru,w/o GRU,reward_auc_per_step,5,161370935.91655388,80775.27907917008,100295.75597746737
case2,no_gru,w/o GRU,tail20_critic_loss,5,0.08521508843824266,0.00029591245333343216,0.00036742383992427485
