case,variant,variant_label,metric,n_seeds,mean,sample_sd,ci95_half_width
case2,no_gru,w/o GRU,tail10_critic_loss,5,0.08514318232734999,0.0004037752130384373,0.0005013531453968837
case2,no_gru,w/o GRU,initial10_entropy,5,2.5328316686153416,0.00901652960864694,0.011195500203795202
case2,no_gru,w/o GRU,tail20_entropy,5,1.9728547772367793,0.008076062942131465,0.010027756602472229
case2,no_gru,w/o GRU,entropy_reduction,5,0.5599768913785617,0.005992748188275317,0.007440979675682308
case2,no_gru,w/o GRU,entropy_auc_per_step,5,2.0840030085322847,0.007923332716858076,0.00983811698031271
case2,no_attention_residual,w/o attn.-res.,tail20_reward,5,161654092.7914974,1013216.3497581414,1258074.2638861197
case2,no_attention_residual,w/o attn.-res.,reward_auc_per_step,5,161905869.27003556,260284.91561256524,323186.40899162774
case2,no_attention_residual,w/o attn.-res.,tail20_critic_loss,5,0.01696879310673103,0.00043362403882904785,0.0005384153577697408
case2,no_attention_residual,w/o attn.-res.,tail10_critic_loss,5,0.016878651899906495,0.0005921785192926613,0.0007352867479153122
case2,no_attention_residual,w/o attn.-res.,initial10_entropy,5,2.573027032454809,0.0026318350358754314,0.0032678548132578414
case2,no_attention_residual,w/o attn.-res.,tail20_entropy,5,1.9819435138305028,0.016062244270196705,0.01994391044065798
case2,no_attention_residual,w/o attn.-res.,entropy_reduction,5,0.5910835186243057,0.013675534803102345,0.016980419221194816
case2,no_attention_residual,w/o attn.-res.,entropy_auc_per_step,5,2.1036075855637075,0.012722734200542834,0.015797361015529813
