variant,case,seed,updates,final_environment_steps,tail20_reward,reward_auc_per_step,tail20_critic_loss,tail10_critic_loss,initial10_entropy,tail20_entropy,entropy_reduction,entropy_auc_per_step
full,case1,701,100,600000,164456191.36879882,163447672.9864761,0.009188197084004061,0.009180098071228712,2.721242345571518,2.289346244931221,0.4318961006402966,2.4112840118432284
full,case1,702,100,600000,164272341.14716798,162577982.18514737,0.009146344818873331,0.009159564608708023,2.7233864223957065,2.3129199957847595,0.410466426610947,2.429773280656699
full,case1,703,100,600000,164374924.67226562,161567119.30796245,0.00859490032773465,0.008654229489620774,2.719123091697693,2.299800329208374,0.419322762489319,2.422007404072116
full,case1,704,100,600000,165252200.17661133,164245416.35575482,0.009791798460064456,0.009666928027290852,2.711652263402939,2.298031580448151,0.41362068295478815,2.4142841897227547
full,case1,705,100,600000,164418132.10634765,164687710.0150085,0.009694087582174687,0.009740305095911025,2.7249744296073914,2.273391931653023,0.45158249795436856,2.406532919647718
full,case2,701,300,1800000,161641655.31471354,162135788.1892245,0.016729217011791964,0.016835792544297876,2.5627966558933264,1.9335314431786537,0.6292652127146727,2.075599646129736
full,case2,702,300,1800000,163218019.24703777,162378161.95354307,0.015792008658560616,0.015231887809932232,2.563548842668533,1.8873093339800835,0.6762395086884496,2.025079955036026
full,case2,703,300,1800000,161078547.77434894,163004495.7278069,0.01784218503239875,0.01779232359491289,2.5609814282258356,1.9926650396982828,0.5683163885275528,2.129506245006287
full,case2,704,300,1800000,162548690.15833333,162326032.80252865,0.016808768962509935,0.016686398546832303,2.5578731461366018,1.9271537843346596,0.6307193618019422,2.047597886357818
full,case2,705,300,1800000,162047811.8610677,162052837.91803408,0.016553734183932346,0.016649060722750922,2.562383056084315,1.8993835029006005,0.6629995531837145,2.0324113082427244
no_attention_residual,case1,701,100,600000,163368653.6220215,162230277.40662485,0.008802425517933445,0.008717842425685376,2.719543997049332,2.363401100635529,0.3561428964138029,2.4668005266574897
no_attention_residual,case1,702,100,600000,161059945.4904297,161499511.45999053,0.008746156938141212,0.008613257727120072,2.7194134938716887,2.344624892473221,0.3747886013984676,2.4538029795343226
no_attention_residual,case1,703,100,600000,163314080.8524414,163745003.40682212,0.009472709834808482,0.009385521637741475,2.7171348822116848,2.3138698470592494,0.4032650351524354,2.4317221684287293
no_attention_residual,case1,704,100,600000,159966080.94174805,160796635.51202458,0.009881903076311573,0.009823606410063804,2.7163698017597198,2.3333039051294326,0.3830658966302871,2.442850696799731
no_attention_residual,case1,705,100,600000,160240927.74853516,157604819.00460663,0.008016102736582978,0.0081804852723144,2.718763828277588,2.3564084506034852,0.36235537767410264,2.4563267004008247
no_attention_residual,case2,701,300,1800000,161377627.82854816,161519182.04814225,0.016721672467732183,0.01644927773779879,2.569718477725983,1.966765178044637,0.6029532996813463,2.0956118403768857
no_attention_residual,case2,702,300,1800000,161213500.45345053,162056451.17559183,0.017422168582367403,0.01747031644297143,2.5745430656274153,1.9812121392289799,0.5933309263984354,2.106299526496077
no_attention_residual,case2,703,300,1800000,160375877.9038737,161781855.01444268,0.01746037080263098,0.017581519602487484,2.5747824744383494,1.9931221807996435,0.5816602936387059,2.114563403101669
no_attention_residual,case2,704,300,1800000,162976910.4883789,161989574.39163095,0.016633433079502238,0.016446412087728582,2.5706602978706363,1.9660756595929465,0.6045846382776898,2.0859442811546516
no_attention_residual,case2,705,300,1800000,162326547.28323567,162182283.72037,0.01660632060142234,0.0164457336285462,2.575430846611659,2.0025424114863077,0.5728884351253511,2.1156188766892536
no_gru,case1,701,100,600000,164246697.10810548,163014900.11002114,0.01175986035959795,0.011798722725361586,2.718183219432831,2.3395629286766053,0.3786202907562255,2.443743820623918
no_gru,case1,702,100,600000,162210262.46152344,161955172.70231614,0.011381428285967558,0.011533814948052168,2.719760706424713,2.323382701277733,0.3963780051469801,2.4333134474778415
no_gru,case1,703,100,600000,164246353.80605468,163804812.42700443,0.011998096536844968,0.012030340218916535,2.7189128494262698,2.3354962569475175,0.38341659247875226,2.4402144498897322
no_gru,case1,704,100,600000,165202220.16621095,164427684.86224055,0.012042713894043117,0.012011065958067776,2.7208930015563966,2.323536480665207,0.39735652089118956,2.4329974951768163
no_gru,case1,705,100,600000,162196323.77924806,163803297.18813133,0.01205961736384779,0.012044338923878966,2.7212848997116086,2.3275719857215877,0.39371291399002084,2.4360566023624304
no_gru,case2,701,300,1800000,161550284.23714194,161244196.56074283,0.08493559936061498,0.08501290038228038,2.5228629624843597,1.9706274222334226,0.5522355402509371,2.077892041605053
no_gru,case2,702,300,1800000,161721274.09332684,161444701.71250522,0.08538068084046245,0.08560431022197008,2.5370354084173834,1.9694035886724788,0.5676318197449046,2.084514612557497
no_gru,case2,703,300,1800000,161789152.91484374,161339970.90774912,0.08565257197866837,0.08552287926276524,2.523526122570038,1.962383198340734,0.561142924229304,2.074239987543594
no_gru,case2,704,300,1800000,161711030.26070964,161405400.12085536,0.08503120819727578,0.0846740688631932,2.5383680081367497,1.9823355705539387,0.556032437582811,2.091373433945171
no_gru,case2,705,300,1800000,161869419.22701824,161420410.28091687,0.08507538181419175,0.08490175290654103,2.5423658414681753,1.9795241063833235,0.5628417350848518,2.091994967010109
no_trust,case1,701,100,600000,151612401.47124022,156167315.4887794,0.00656283899093978,0.006386819172184914,2.8243948686122895,3.3568150997161865,-0.532420231103897,3.2092612043775692
no_trust,case1,702,100,600000,163416474.4350586,163081171.8444849,0.00862010009237565,0.008578189671970904,2.8141497421264647,3.3568150997161865,-0.5426653575897218,3.209197137753169
no_trust,case1,703,100,600000,157991667.86241454,148138250.71249604,0.005916687395074405,0.005889450737740844,2.8193078970909116,3.3568150997161865,-0.537507202625275,3.201544008893196
no_trust,case1,704,100,600000,155055283.50356445,153346133.51856947,0.006750566421542317,0.006649459477048368,2.8184523892402646,3.3568150997161865,-0.5383627104759219,3.2041996238809642
