episode,seed,interceptor_hit_count,target_coverage_count,all_targets_hit,all_targets_coordinated,mission_success,E_co_time_s,E_n_g,E_miss_m,E_t_s,max_group_spread_s,mean_interceptor_min_distance_m,worst_interceptor_min_distance_m,elapsed_steps,idbo_best_cost,idbo_repaired_cost,idbo_runtime_ms,idbo_final_population_cost,idbo_final_disagreement,repair_moves,raw_counts,final_counts
1,73501,11,5,False,False,False,0.009444444444443909,0.8002441999245713,1.7131568497162895,35.27,0.04999999999999716,57.70502928589408,187.54334814907077,1500,0.09670409768412348,0.09670409768412348,1567.5011480343528,0.15027067158863386,0.0,0,"[3, 3, 2, 2, 3, 3, 2, 2]","[3, 3, 2, 2, 3, 3, 2, 2]"
2,73502,10,4,False,False,False,0.023611111111112137,1.0160531379954014,1.6929991012001162,35.25,0.05000000000000426,58.96882189859876,190.49479720268536,1500,0.06988010575613576,0.06988010575613576,1651.1748009943403,0.0738391065735315,0.0,0,"[3, 3, 3, 2, 3, 2, 2, 2]","[3, 3, 3, 2, 3, 2, 2, 2]"
3,73503,7,3,False,False,False,0.018518518518518254,0.8089184667846973,1.2482063790120315,35.51666666666667,0.10000000000000142,53.665256240061204,198.20937972320826,1500,0.20557247781912283,0.20557247781912283,807.6901739696041,1.0431376496278464,0.0,0,"[3, 3, 3, 3, 2, 2, 3, 1]","[3, 3, 3, 3, 2, 2, 3, 1]"
