delay_rounds,delay_ms,n_runs,exact_node_fraction_mean,exact_node_fraction_std,exact_node_fraction_ci95,winner_jaccard_mean,winner_jaccard_std,winner_jaccard_ci95,edge_disagreement_mean,edge_disagreement_std,edge_disagreement_ci95,stale_record_fraction_mean,stale_record_fraction_std,stale_record_fraction_ci95,recovery_rate_mean,recovery_rate_std,recovery_rate_ci95,recovery_time_mean_s_mean,recovery_time_mean_s_std,recovery_time_mean_s_ci95
0,0,8,0.8516648706896552,0.0315038899690366,0.02183108194624342,0.9380500428769345,0.01705993527405499,0.011821932000510106,0.10821762798130218,0.025230419529863164,0.01748378872691279,0.09110937499999999,0.015523518663512741,0.010757249608548874,1.0,0.0,0.0,0.4144661672140121,0.09466125669773778,0.06559690419607865
1,50,8,0.7033297413793104,0.06300777993807312,0.04366216389248678,0.876100085753869,0.034119870548110054,0.023643864001020264,0.21643525596260435,0.05046083905972632,0.03496757745382558,0.18221874999999998,0.031047037327025476,0.021514499217097742,1.0,0.0,0.0,0.8289323344280242,0.18932251339547557,0.1311938083921573
2,100,8,0.5549946120689655,0.09451166990710964,0.06549324583873015,0.8141501286308035,0.05117980582216509,0.0354657960015304,0.32465288394390657,0.07569125858958947,0.05245136618073836,0.27332812500000003,0.046570555990538234,0.03227174882564663,1.0,0.0,0.0,1.2433985016420361,0.28398377009321335,0.19679071258823597
4,200,8,0.2904903017241379,0.10783097555460823,0.07472305375589182,0.6968023503775262,0.07467161415603282,0.05174478863723868,0.51862535310068,0.0949642233433924,0.06580684937030205,0.44781249999999995,0.06362733296312205,0.04409149223489718,0.41207124612297025,0.4874486477864142,0.3377846794433867,1.6413690476190477,0.1798072317499192,0.12460005461921396
8,400,8,0.07418103448275862,0.04419757890399687,0.030627359599942807,0.544977287800785,0.08387660904619351,0.05812352465870642,0.7234748144451995,0.08823227311383239,0.06114184586552849,0.6820468749999999,0.03563135516623166,0.02469126940369055,0.009259259259259259,0.0261891400439462,0.018148148148148142,1.8,0.0,0.0
