delay_rounds,delay_ms,n_runs,rounds_mean,rounds_std,rounds_ci95,latency_s_mean,latency_s_std,latency_s_ci95,messages_mean,messages_std,messages_ci95,record_entries_mean,record_entries_std,record_entries_ci95
0,0,20,10.6,1.6982963599783722,0.7443111969430104,0.5300000000000001,0.08491481799891865,0.03721555984715053,542.2,85.77792624900036,37.59383371609876,6838.45,1325.6460381342572,580.9899924528096
1,50,20,19.2,3.3965927199567445,1.4886223938860208,0.9599999999999997,0.16982963599783724,0.07443111969430104,1027.7,172.18872754839916,75.4650371524526,12542.9,2662.7930310701563,1167.0205005871733
2,100,20,27.8,5.094889079935117,2.232933590829031,1.3900000000000001,0.2547444539967559,0.11164667954145156,1513.2,258.6128176902379,113.34206468079388,18247.35,4000.2871643631306,1753.2031496910233
4,200,20,45.0,8.491481799891861,3.7215559847150517,2.2500000000000004,0.42457408999459306,0.1860777992357526,2484.2,431.4689230743592,189.09959306588738,29656.25,6675.482216959863,2925.659075863797
8,400,20,79.4,15.284667239805351,6.698800772487093,3.970000000000001,0.7642333619902677,0.33494003862435473,4426.2,777.1881571273119,340.6177279263136,52474.05,12026.05546511407,5270.651194150871
