seed,delay_rounds,delay_ms,graph_diameter_D,rounds,latency_s,messages,record_entries,fixed_point,idbo_cost,max_target_load
17,8,400,6,56,2.8000000000000003,3080,30937,True,0.8131593800097423,3
18,0,0,8,10,0.5,504,6165,True,2.368757706076507,4
18,1,50,8,18,0.9,952,11210,True,2.368757706076507,4
18,2,100,8,26,1.3,1400,16255,True,2.368757706076507,4
18,4,200,8,42,2.1,2296,26345,True,2.368757706076507,4
18,8,400,8,74,3.7,4088,46525,True,2.368757706076507,4
19,0,0,8,10,0.5,504,6492,True,0.48034679148188864,3
19,1,50,8,18,0.9,952,11864,True,0.48034679148188864,3
19,2,100,8,26,1.3,1400,17236,True,0.48034679148188864,3
19,4,200,8,42,2.1,2296,27980,True,0.48034679148188864,3
19,8,400,8,74,3.7,4088,49468,True,0.48034679148188864,3
