seed,mean_winner_change_fraction,epochs_with_change_fraction,maximum_target_load
0,0.6678409726335721,1.0,3
1,0.6004429726684691,0.896551724137931,4
2,0.6356825644920763,0.8620689655172413,3
3,0.6301503929514947,0.9655172413793104,4
4,0.5302475395790968,0.7241379310344828,3
5,0.34895146775916913,0.7931034482758621,3
6,0.6439983149369044,0.9310344827586207,4
7,0.596526359561947,0.9655172413793104,4
