M,N,graph_diameter_D,mean_degree,n_runs,rounds_mean,rounds_std,rounds_ci95,latency_s_mean,latency_s_std,latency_s_ci95,messages_mean,messages_std,messages_ci95,record_entries_mean,record_entries_std,record_entries_ci95,idbo_cost_mean,idbo_cost_std,idbo_cost_ci95
10,4,3,4.0,5,11.0,0.0,0.0,0.55,0.0,0.0,400.0,0.0,0.0,2200.0,0.0,0.0,0.5565373241032945,0.9785283586413737,0.8577179237106949
20,8,5,4.0,5,17.0,0.0,0.0,0.85,1.2412670766236366e-16,1.0880185641326533e-16,1280.0,0.0,0.0,12400.0,0.0,0.0,0.8391346312069123,0.5307157645414423,0.46519287828821143
40,16,10,4.0,5,32.0,0.0,0.0,1.6,0.0,0.0,4960.0,0.0,0.0,97600.0,0.0,0.0,5.23844494768279,1.3008136323149897,1.1402134215025757
80,32,20,4.0,5,62.0,0.0,0.0,3.1,0.0,0.0,19520.0,0.0,0.0,774400.0,0.0,0.0,16.543964150354512,1.8559482183744518,1.6268103405699201
160,64,40,4.0,5,122.0,0.0,0.0,6.1000000000000005,0.0,0.0,77440.0,0.0,0.0,6169600.0,0.0,0.0,36.810211449210044,2.146736334084429,1.8816973621303412
