topology,graph_diameter_D,mean_degree,n_runs,rounds_mean,rounds_std,rounds_ci95,latency_s_mean,latency_s_std,latency_s_ci95,messages_mean,messages_std,messages_ci95,record_entries_mean,record_entries_std,record_entries_ci95
complete,1,19.0,12,5.0,0.0,0.0,0.25,0.0,0.0,1520.0,0.0,0.0,8740.0,0.0,0.0
ring-k1,10,2.0,12,32.0,0.0,0.0,1.6000000000000003,2.319180260577507e-16,1.3121997607888164e-16,1240.0,0.0,0.0,12800.0,0.0,0.0
ring-k2,5,4.0,12,17.0,0.0,0.0,0.85,1.1595901302887535e-16,6.560998803944082e-17,1280.0,0.0,0.0,12400.0,0.0,0.0
ring-k3,4,6.0,12,14.0,0.0,0.0,0.7000000000000001,0.0,0.0,1560.0,0.0,0.0,16800.0,0.0,0.0
ring-k4,3,8.0,12,11.0,0.0,0.0,0.5499999999999999,1.1595901302887535e-16,6.560998803944082e-17,1600.0,0.0,0.0,16160.0,0.0,0.0
