sweep,M,N,population_P,iterations_T,n_runs,runtime_s_mean,runtime_s_std,runtime_s_ci95
population,20,8,8,20,7,0.06045717413404158,0.00526778904298947,0.0039024327347323006
population,20,8,16,20,7,0.09809999287660633,0.004016123023296725,0.002975185571199519
population,20,8,32,20,7,0.18484254356008023,0.0068468651041936135,0.005072228651308741
population,20,8,64,20,7,0.33960757655690293,0.010443794977172285,0.0077368715909361405
problem_size,10,4,12,12,5,0.03092950563877821,0.0008136992465577401,0.0007132388367890397
problem_size,20,8,12,12,5,0.047681117965839806,0.0018029623360517654,0.0015803661669591582
problem_size,40,16,12,12,5,0.09054979542270303,0.0030620075175224987,0.0026839679270639085
problem_size,80,32,12,12,5,0.2726369923911989,0.00830020417333424,0.007275449737411499
problem_size,160,64,12,12,5,1.9483647791901604,0.08112354394313706,0.07110792146235795
