episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread
1,case2,8,20,8,7,True,False,28.349998474121094,3.612499237060547
2,case2,8,19,8,6,True,False,27.650001525878906,3.5062499046325684
3,case2,8,19,8,7,True,False,0.20000457763671875,0.08750009536743164
4,case2,8,19,8,7,True,False,0.1999988555908203,0.09285681694746017
5,case2,8,19,8,7,True,False,28.549999237060547,3.6187496185302734
6,case2,8,19,8,6,True,False,27.199996948242188,3.4499995708465576
7,case2,8,17,8,5,True,False,0.1999988555908203,0.07142802327871323
8,case2,8,18,8,5,True,False,27.0,3.4124996662139893
9,case2,8,19,8,6,True,False,28.29999542236328,3.599998950958252
10,case2,8,18,8,6,True,False,0.14999961853027344,0.04999971389770508
11,case2,8,20,8,7,True,False,28.5,3.6062498092651367
12,case2,8,19,8,6,True,False,27.699996948242188,3.5124993324279785
13,case2,8,19,8,6,True,False,26.949996948242188,3.41249942779541
14,case2,8,20,8,7,True,False,27.04999542236328,3.443749189376831
15,case2,8,18,8,6,True,False,0.14999961853027344,0.06874942779541016
16,case2,8,18,8,5,True,False,27.450000762939453,3.999999523162842
17,case2,8,19,8,7,True,False,0.1999988555908203,0.08124923706054688
18,case2,8,19,8,6,True,False,27.0,3.437499523162842
19,case2,8,19,8,7,True,False,0.20000457763671875,0.08750009536743164
20,case2,8,18,8,6,True,False,0.20000076293945312,0.06874990463256836
