episode,seed,attacker_id,radius_m,altitude_m,speed_mps,heading_bias_rad,x_m,y_m,z_m
1,73501,20,2053.7156484236043,90.76312121159332,34.0,0.04,-1802.7488029052524,-983.7909931503058,90.76312121159332
1,73501,21,2101.204058373114,112.54345925251457,35.86901443247062,-0.047,-2059.335851013698,417.3659636977269,112.54345925251457
1,73501,22,2137.537544887124,137.70573862060863,36.962568488650284,0.054,1461.8978724621622,-1559.461883565186,137.70573862060863
1,73501,23,2191.664593512426,158.41696433738167,38.11429289896104,-0.04,1090.9976639594488,1900.8202933709997,158.41696433738167
1,73501,24,2199.519862759435,89.4420625970856,39.543673569437416,0.047,2199.032284580577,46.31023694185645,89.4420625970856
1,73501,25,2236.448721959141,112.77278093447748,40.31614253903378,-0.054,1920.594300248823,-1145.8710310521028,112.77278093447748
1,73501,26,2269.2315598879595,136.33300903993754,42.915742274750144,0.04,-1692.5411809388129,-1511.527777851863,136.33300903993754
1,73501,27,2285.4801573512264,155.6768848063224,44.34892098822007,-0.047,-1650.6559060825891,-1580.7449602516065,155.6768848063224
2,73502,20,2086.6065833713687,87.21571617838005,34.0,0.04,-1842.259665337607,-979.7991422934115,87.21571617838005
2,73502,21,2117.126334886624,112.90606235139377,35.677906371725044,-0.047,-2075.9795991363612,415.37046336987385,112.90606235139377
2,73502,22,2138.0657860995175,133.8541966285493,36.426243171570064,0.054,1468.3181046873392,-1554.1451827730662,133.8541966285493
2,73502,23,2184.5486587328573,156.23054350106253,38.509604015121255,-0.04,1058.9661164796398,1910.7180866154893,156.23054350106253
2,73502,24,2186.166587848183,88.50233749480093,39.303026916734275,0.047,2184.2236874302644,92.1478870745681,88.50233749480093
2,73502,25,2265.759722925522,110.93138714709798,41.247685873281256,-0.054,1931.3421195028516,-1184.7298170746662,110.93138714709798
2,73502,26,2271.5202880522374,128.85982811699935,43.282040858999736,0.04,-1648.5892875364866,-1562.6764796504938,128.85982811699935
2,73502,27,2298.142538695186,156.12147466811,43.978298665916846,-0.047,-1642.660944901674,-1607.2100510683395,156.12147466811
3,73503,20,2098.4060596892646,92.44268407926755,34.1420123789185,0.04,-1861.0240285368154,-969.483138867937,92.44268407926755
3,73503,21,2134.9230423755016,115.77759888495,35.59906470509024,-0.047,-2088.3641365553117,443.4316520225584,115.77759888495
3,73503,22,2153.1411814302733,134.94603743668534,36.60478147131718,0.054,1460.4456667840668,-1582.1236998233087,134.94603743668534
3,73503,23,2173.8545505803277,156.2896782439418,39.10190176000175,-0.04,1029.195998134181,1914.7843754593846,156.2896782439418
3,73503,24,2198.7704882624344,92.95422883570362,39.958636556212156,0.047,2196.8042707454442,92.96588669184567,92.95422883570362
3,73503,25,2250.0701082293585,111.94047474022084,41.16858298184958,-0.054,1930.5580679019256,-1155.751287434308,111.94047474022084
3,73503,26,2262.1476993172746,137.01418699640357,42.27720326287433,0.04,-1670.8835015557142,-1524.9460769992345,137.01418699640357
3,73503,27,2302.035225107831,157.74946102844214,44.558063808881776,-0.047,-1629.621883088943,-1625.9454774976036,157.74946102844214
