episode,step,time,case,defender_id,target_id,defender_pos_x,defender_pos_y,defender_pos_z,defender_vx,defender_vy,defender_vz,defender_speed,defender_pitch,defender_yaw,load_y,load_z,load_norm,dist_to_target,tgo
1,848,42.4,case2,18,22,717.1856739875221,-861.2957647324761,175.40415560112478,2.8125257565152064,-32.84064014174521,-0.8910537122590818,32.97289679067945,-0.027027112835371365,-1.4853631652814963,0.00016934462011732607,-0.08205790988403706,0.11199341043983115,2.501621816605744,0.15035526622509507
1,849,42.45,case2,2,22,716.5851448997134,-861.9370839297277,176.44018984863473,0.5534489966515593,-32.97880646316902,-0.9907598144053318,32.99832702633414,-0.030029059694584793,-1.5540159424188944,-0.018933027125347085,-0.19252030103239282,0.19549516559848054,1.6938458376114156,0.1132294708129655
1,849,42.45,case2,10,22,717.2828890118776,-862.2914957155585,174.5335391124278,0.04183465999506913,-32.69559686407878,-0.9589285594942337,32.709682793010224,-0.029320552479649688,-1.5695168078022064,-0.0007993725737960658,-0.7707938245504369,0.816028109494738,1.5273277486485135,0.0997232618689092
1,1383,69.15,case2,11,23,21.336602720320982,41.29486768172235,0.0,-21.934284886502013,-33.40005778133355,0.0,40.0,-0.0455905017232444,-2.1518769224600898,0.059071194559514956,-0.23406469627247575,0.5196472100142508,2.439750650506117,0.07905227872959117
1,1383,69.15,case2,19,23,20.0481054887318,43.518504457680216,0.0,-22.842473351734462,-32.505924409867546,0.0,40.0,-0.11641539498833722,-2.183343612409367,0.04475056969709492,0.05530542356691051,0.4090062293998759,2.292121894781661,0.08714647139318563
1,1385,69.25,case2,3,23,19.269838028059503,42.221394007853974,0.0,-21.67422175893098,-33.55989771555558,0.0,40.0,-0.0497785725834655,-2.1442394003948335,0.06331103491896949,0.2913428863143723,0.3065406626833122,2.3527423950509285,0.0890742250199925
1,1396,69.8,case2,8,20,-133.79198927324995,-60.02505950409837,0.0,29.1806765573709,8.017128468417178,0.0,33.03715264428201,-0.4128082056396802,-6.0150598957496,-0.08849643865422982,0.16191290072846082,0.19949710218333996,2.740798219184295,0.11704433832697211
1,1402,70.1,case2,16,20,-131.8168439605279,-58.95555975748115,0.0,27.526586206753365,6.465551210881015,0.0,34.328457429838345,-0.6029230456581589,-6.052483398030518,-0.054004363773787874,-0.12685336123258834,0.1652793045396985,2.920849326664968,0.11456044718518237
1,1425,71.25,case2,0,20,-123.54129701784585,-57.27496809972589,0.0,31.48562567660541,9.620795827261656,0.0,40.0,-0.6040050834791466,-5.986634037545718,0.017234956067736878,-0.30756423308044456,0.30923841185115925,2.764604822470371,0.10076646162744676
1,1437,71.85,case2,12,24,-218.02756043105424,130.39398799615986,0.0,-32.067825858287016,-12.483830654381443,0.0,34.705469990142,-0.13011956219772647,-2.7703490204269183,0.062391448867001244,0.4338464323896627,0.4708371636083397,2.803256666722369,0.12756175486810464
1,1438,71.9,case2,4,24,-218.8692466830963,129.75810189688352,1.3493619620706006,-32.32839018319793,-12.276891833270053,-1.9598722392074799,34.63651229724086,-0.05661423322347448,-2.778659097708296,0.06541805298368893,0.381937476364376,0.4182729184741171,2.8008314283304454,0.10722675114539919
2,848,42.4,case2,2,22,716.2211931007461,-861.7020660463518,175.28993886411277,-0.7442384099429815,-32.845592389455184,-0.7622220187002852,32.86286373143494,-0.023196103134812872,-1.5934511497680053,-0.011026801180825992,-0.5539558544661796,0.7082452433966688,2.7072010576377825,0.15519893380433913
2,848,42.4,case2,10,22,719.4732063849741,-862.3134201299812,174.38554143681878,3.554439460446316,-32.6043308945886,-3.6807960857303987,33.0034042605688,-0.11176027928658477,-1.4622077537390359,0.00246965962598636,-0.4345472049339659,0.440468595861678,2.305636919941993,0.10640849736368574
2,848,42.4,case2,18,22,719.668436343389,-862.3443726027837,175.42100447519195,3.6686141813822113,-32.84545740621654,-1.2844111331586188,33.07465062845571,-0.03884346940734719,-1.4595641540307789,0.00450121157293714,-0.23093156522501052,0.4848885531648599,2.0315777950754073,0.09760032306569977
2,1380,69.0,case2,8,20,-139.34240814348183,-60.84778968966608,0.0,31.13598138517938,7.863040152920844,0.0,36.73029953666938,-0.5067934982296954,-6.035818713600017,-0.031245668403039432,-0.12919713454502102,0.197796099586002,2.03089581628693,0.08789894521121182
2,1380,69.0,case2,11,23,22.598802317487806,44.89991858061986,0.701170873712393,-23.21782493840994,-32.55965436933911,0.8952722929513391,40.0,0.022383676422016954,-2.1902507782158733,0.04930331637034294,-0.42109908087517023,0.4409895002825498,2.7990738887114412,0.09764252793767542
2,1381,69.05,case2,0,20,-139.68618805232902,-60.49298861831333,0.0,33.85775837943499,9.773000339693269,0.0,38.702584545363635,-0.4262221296435767,-6.002174741619451,-0.020121366762779425,0.02663296617664998,0.1277852225635363,2.702549597697882,0.10438989609080535
2,1381,69.05,case2,19,23,21.691747362230632,44.46721150746653,0.0,-23.83804320554103,-31.91357058212873,0.0,40.0,-0.09120227350536281,-2.212346632107105,0.048718335931980924,-0.13736502173117254,0.3132750968749442,2.485830814928058,0.09174234419364943
2,1382,69.1,case2,3,23,20.929056861601385,43.55460616587631,0.9475649190862031,-21.337140335187506,-33.833698423291835,0.08540092654119419,40.0,0.002135024785554371,-2.133446525345627,0.05661408894719799,0.045927992846757165,0.08741079228820274,2.288723781237034,0.08471056569457623
2,1391,69.55,case2,16,20,-135.3398500058985,-60.30148263173169,0.0,32.4568736568078,7.263379456300968,0.0,40.0,-0.5890089909133357,-6.063027092104137,0.02257682800672364,-0.34395367164955204,0.4031429979332931,2.3855073951743226,0.09145692464839529
2,1439,71.95,case2,4,24,-218.34444900532733,127.88535807484956,0.36265915013109606,-31.798088668137222,-13.166794125653984,-3.800282232644651,34.625497188370126,-0.10997541818687641,-2.7490118330240256,0.06283311991898433,0.19670205447886374,0.39127142649755553,1.793880433433854,0.09068592538403437
2,1439,71.95,case2,12,24,-219.48575277286108,129.22198926358317,0.0,-31.864351925720463,-13.226833615736178,0.0,34.664818750439046,-0.09739935213590173,-2.748138763178313,0.06302030765373477,0.597681034750708,0.6095939009984582,2.9537478041639105,0.08695708518886558
