scope,metric,comparison,matched_seed_case_pairs,mean_full_minus_ablation,ci95_half_width,paired_effect_size_dz,signflip_p_raw,signflip_p_holm
case1,team_return,full_vs_no_attention_residual,5,-67.75972599495216,97.3945171717755,-0.8637172469723744,0.125,0.25
case2,final_return,full_vs_no_trust,5,-4172988.240690112,3000266.0560651203,-1.726719732071586,0.0625,0.1875
case2,final_return,full_vs_no_gru,5,378712.72449218034,1033092.7529326265,0.45509812054518617,0.3125,0.625
case2,final_return,full_vs_no_attention_residual,5,452852.0796028614,1212772.4341451246,0.46356592919350104,0.5,0.625
case2,return_auc,full_vs_no_trust,5,-2896924.0317451297,1432135.7796201059,-2.5112350893282493,0.0625,0.1875
case2,return_auc,full_vs_no_gru,5,1008527.4016735613,480343.53836627293,2.606574901752163,0.0625,0.1875
case2,return_auc,full_vs_no_attention_residual,5,473594.0481918991,616701.7354768851,0.9533788755968844,0.125,0.1875
case2,target_interception_rate,full_vs_no_trust,5,0.10625,0.26489308173298903,0.49795807851891294,0.375,0.75
case2,target_interception_rate,full_vs_no_gru,5,-0.05500000000000001,0.09635109703578884,-0.7086641861023264,0.25,0.75
case2,target_interception_rate,full_vs_no_attention_residual,5,0.06000000000000003,0.19026551408492287,0.39149446931947,0.4375,0.75
case2,all_target_interception,full_vs_no_trust,5,0.0,0.0,nan,1.0,1.0
case2,all_target_interception,full_vs_no_gru,5,0.0,0.0,nan,1.0,1.0
case2,all_target_interception,full_vs_no_attention_residual,5,0.0,0.0,nan,1.0,1.0
case2,target_sync_rate,full_vs_no_trust,5,0.065,0.25408125737645426,0.3175961186796711,0.5625,1.0
case2,target_sync_rate,full_vs_no_gru,5,-0.027500000000000004,0.17808910859454596,-0.19170339022917848,0.75,1.0
case2,target_sync_rate,full_vs_no_attention_residual,5,0.06875,0.19084999999999996,0.447213595499958,0.375,1.0
case2,all_target_sync,full_vs_no_trust,5,0.0,0.0,nan,1.0,1.0
case2,all_target_sync,full_vs_no_gru,5,0.0,0.0,nan,1.0,1.0
case2,all_target_sync,full_vs_no_attention_residual,5,0.0,0.0,nan,1.0,1.0
case2,mean_sync_spread_s,full_vs_no_trust,5,-1.9124288963492622,3.3122366200106264,-0.7168006696247545,0.25,0.5
case2,mean_sync_spread_s,full_vs_no_gru,5,-2.82676646720618,3.432282573130258,-1.022448295256568,0.0625,0.1875
case2,mean_sync_spread_s,full_vs_no_attention_residual,5,3.3048165718652305,8.031924617367403,0.5108132989559592,0.3125,0.5
case2,mean_agent_return,full_vs_no_trust,5,-22.739381884576414,40.42915441899234,-0.6982620783902344,0.1875,0.375
case2,mean_agent_return,full_vs_no_gru,5,-55.45464536120121,25.92758595986122,-2.655279907048882,0.0625,0.1875
case2,mean_agent_return,full_vs_no_attention_residual,5,-4.521387284384718,34.975080354335546,-0.16048980422253112,0.75,0.75
case2,team_return,full_vs_no_trust,5,-454.7876376915283,808.5830883798495,-0.698262078390232,0.1875,0.375
case2,team_return,full_vs_no_gru,5,-1109.092907224027,518.5517191972233,-2.6552799070488944,0.0625,0.1875
case2,team_return,full_vs_no_attention_residual,5,-90.42774568769637,699.5016070867109,-0.1604898042225347,0.75,0.75
