variant,case,training_seed,updates,final_environment_steps,final_window_return,final_window_critic_loss,final_window_policy_entropy,final_window_all_hit_rate,final_window_all_sync_rate
full,case1,8301,80,81920,603152.5878423853,0.021332736719341418,2.416988081485033,0.75,0.75
full,case1,8302,80,81920,632142.56833879,0.018951387364722856,2.3858794584870338,0.84375,0.84375
full,case1,8303,80,81920,688598.9809671903,0.018816066907311267,2.3289054930210114,0.9375,0.9375
full,case2,8301,80,81920,312080.8710066652,0.08287349280963094,2.439234431087971,0.25,0.0
full,case2,8302,80,81920,281729.0306884978,0.08988686594493626,2.366822396218777,0.0,0.0
full,case2,8303,80,81920,287230.59855535545,0.07388669769961777,2.3106422647833824,0.125,0.0
no_attention_residual,case1,8301,80,81920,684493.3931194642,0.01957859967405961,2.337431802600622,0.9375,0.9375
no_attention_residual,case1,8302,80,81920,659586.705025695,0.019857004730147242,2.329151798784733,0.8125,0.8125
no_attention_residual,case1,8303,80,81920,688646.9962445401,0.02015728894184572,2.3728679999709126,0.9375,0.9375
no_attention_residual,case2,8301,80,81920,277518.3064578698,0.0830155080191616,2.3668051645159722,0.1875,0.0
no_attention_residual,case2,8302,80,81920,308022.4735513175,0.09073783536696275,2.392270155251026,0.25,0.0
no_attention_residual,case2,8303,80,81920,281768.4165211657,0.08025141089328823,2.319768121093512,0.0625,0.0
no_gru,case1,8301,80,81920,632176.8191255466,0.24768987222487338,2.308575717359781,0.84375,0.84375
no_gru,case1,8302,80,81920,603186.75006197,0.23678362052887675,2.3318131409585474,0.71875,0.71875
no_gru,case1,8303,80,81920,663926.4349323183,0.2751348219811916,2.318266598880291,0.90625,0.90625
no_gru,case2,8301,80,81920,285749.78003874666,0.22186769007239487,2.3531071931123737,0.25,0.0
no_gru,case2,8302,80,81920,314766.89507409517,0.25166300188284363,2.3219810493290423,0.25,0.0625
no_gru,case2,8303,80,81920,280324.7451546036,0.22652926555892916,2.3957611680030824,0.125,0.0
no_trust,case1,8301,80,81920,632133.2159211596,0.019974897350493806,2.446532361209392,0.875,0.875
no_trust,case1,8302,80,81920,745091.1609832274,0.017843179043120418,2.372297187894583,1.0,1.0
no_trust,case1,8303,80,81920,655475.4946759386,0.016098767437233576,2.4672861278057097,0.875,0.875
no_trust,case2,8301,80,81920,291462.690265659,0.08009063937006428,2.6672285720705986,0.3125,0.0
no_trust,case2,8302,80,81920,280145.9764344478,0.0862829142353348,2.6414558708667757,0.1875,0.0
no_trust,case2,8303,80,81920,284487.1715294973,0.08466218862940875,2.5551403053104877,0.0625,0.0
