case,ablation,full_minus_ablation_target_coverage_success_pp,full_minus_ablation_all_defenders_hit_pp,full_minus_ablation_cooperative_success_pp,full_minus_ablation_mission_success_pp,full_minus_ablation_E_co_time_s_mean,full_minus_ablation_E_n_g_mean,full_minus_ablation_E_miss_m_mean,full_minus_ablation_E_t_s_mean
case1,no_trust,0.0,0.0,24.000000000000004,24.000000000000004,-0.16030902777778022,-0.00024801783189415394,-0.008100157696738552,1.8938125000000134
case1,no_gru,0.0,0.0,-46.0,-46.0,0.07583333333333264,-0.0047798273605201835,-0.0050103819841536,-0.8158124999999963
case1,no_attention_residual,0.0,0.0,51.0,51.0,-0.06381250000000355,-0.0014224316310977314,0.007251460944295074,1.7538125000000022
case2,no_trust,0.0,0.9999999999999996,0.0,0.0,0.5566203703703461,-0.02612429972922814,-0.06376827438884858,0.8008333333333084
case2,no_gru,-1.0000000000000009,0.9999999999999996,0.0,0.0,1.036689814814772,0.025085184124716442,0.030418419612710412,0.7345833333332408
case2,no_attention_residual,-1.0000000000000009,-2.0000000000000004,0.0,0.0,0.3338252314814687,0.008736894484449087,-0.037321445853797375,-0.10807291666667851
