variant,case,seed_count,return_mean,return_std,critic_loss_mean,critic_loss_std,entropy_mean,entropy_std,training_all_hit_rate_mean,training_all_sync_rate_mean
full,case1,3,641298.0457161219,43452.716819720365,0.019700063663791848,0.0014155542682238289,2.377257677664359,0.04466975404058323,0.84375,0.84375
full,case2,3,293680.16675017285,16171.154878349982,0.08221568548472832,0.008020341565491225,2.37223303069671,0.06446660013384509,0.125,0.0
no_attention_residual,case1,3,677575.6981298998,15716.742964351863,0.019864297782017523,0.0002894135598359091,2.346483867118756,0.023221357961324587,0.8958333333333334,0.8958333333333334
no_attention_residual,case2,3,289103.0655101177,16521.920571156235,0.08466825142647087,0.005435066249671953,2.3596144802868366,0.036782002311003766,0.16666666666666666,0.0
no_gru,case1,3,633096.668039945,30380.288363613254,0.2532027715783139,0.019761014844128916,2.3195518190662066,0.011671902461545865,0.8229166666666666,0.8229166666666666
no_gru,case2,3,293613.80675581517,18518.844724341154,0.23335331917138924,0.016027037538165423,2.3569498034814997,0.037039853114254506,0.20833333333333334,0.020833333333333332
no_trust,case1,3,677566.6238601085,59631.2655377617,0.017972281276949265,0.001941287283274268,2.4287052256365613,0.04994076239314896,0.9166666666666666,0.9166666666666666
no_trust,case2,3,285365.279409868,5709.230076950715,0.08367858074493595,0.003211180523508927,2.6212749160826205,0.058706031106876215,0.1875,0.0
