update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
1,6000,164041971.38867188,0.0,0.0,0.04583333333333073,0.7710106623215166,0.020254621348979904,0.20013333333333333,-0.006194515916286036,0.8181013286113739,2.7518977165222167,0.003357914492283015,0.000299991802820144,28.92728543281555
2,12000,165177526.87695312,0.0,0.0,0.05416666666666359,0.7449283446777248,0.038270005836691566,0.22860833333333333,-0.008007287056534551,0.4490158684551716,2.73993866443634,0.004620612621588321,0.00029996721217948936,58.203805685043335
3,18000,164129437.1796875,0.0,0.0,0.04062499999999769,0.7214780280378588,0.05463811768868995,0.254225,-0.009364705334883183,0.1316921316087246,2.727017307281494,0.007862554679382594,0.0002999262307746768,86.69505596160889
4,24000,163666394.8984375,0.0,0.0,0.0281249999999984,0.7003687546886981,0.06937354289395749,0.27989166666666665,-0.00826469196617836,0.049676749110221866,2.7141393065452575,0.010820865592428796,0.00029986886309977926,115.85939168930054
5,30000,163247754.48046875,0.0,0.0,1.5806249999999107,0.68133088653147,0.08271136077141651,0.298275,-0.0076257273380178955,0.03344656359404326,2.703084373474121,0.011733260160355474,0.00029979511544580873,145.40815377235413
6,36000,163840671.13476562,0.0,0.0,0.0474999999999973,0.6644767501123574,0.09455863326783362,0.320775,-0.01026513676479226,0.031302967388182876,2.6954394340515138,0.014686575297613923,0.00029970499590002654,174.3119993209839
7,42000,161203487.38476562,0.0,0.0,0.050624999999997124,0.6490515391674064,0.10531108935171836,0.3354083333333333,-0.00884633687674068,0.024615443684160708,2.6842750906944275,0.018912296764012425,0.0002995985143450564,203.82159972190857
8,48000,159955052.67578125,0.0,0.0,0.036249999999997944,0.6352713812786687,0.11498403820099522,0.35180833333333333,-0.009442396192753222,0.024827163107693194,2.6720244169235228,0.019070388508389335,0.00029947568245780083,233.4021098613739
9,54000,162168236.49023438,0.0,0.0,0.08249999999999531,0.622826860634287,0.12376532333310442,0.3658,-0.009548525261197937,0.01935350466519594,2.658583664894104,0.025486131829035787,0.00029933651370816036,262.52538537979126
10,60000,160193690.89257812,0.0,0.0,0.0968749999999945,0.6116606273331993,0.13159392886361476,0.375725,-0.008844486187444999,0.01961742010898888,2.645415759086609,0.020985848206020917,0.00029918102335755675,290.9874761104584
11,66000,161696766.33007812,0.0,0.0,0.05833333333333002,0.601568190581813,0.13871531803285975,0.388275,-0.010122248287734692,0.01724368198774755,2.630780649185181,0.027932051099141476,0.00029900922845725917,318.8363220691681
12,72000,161207189.86328125,0.0,0.0,0.0368749999999979,0.5924839704539041,0.14512233891829324,0.3972,-0.009605021320749075,0.016427503153681754,2.6162610411643983,0.03163023347859584,0.0002988211478465144,347.23389410972595
13,78000,161281467.01757812,0.0,0.0,0.033124999999998114,0.5843419504495884,0.15081449184869053,0.40745,-0.008746520765998866,0.016005780035629868,2.6032370209693907,0.03269149539334082,0.0002986168021504807,376.0293679237366
14,84000,161739114.5234375,0.0,0.0,0.08854166666666163,0.5770095176692764,0.15594027874408792,0.4117,-0.007750036555808038,0.015844591567292808,2.5905399918556213,0.022765579731577733,0.00029839621377796666,404.9901514053345
15,90000,160594432.69140625,0.0,0.0,0.06999999999999601,0.570233889018765,0.16049433373422506,0.422375,-0.006423930887831375,0.015662199724465607,2.575848650932312,0.01403834891040967,0.000298159406918973,433.66141390800476
16,96000,162107396.24414062,0.0,0.0,0.046874999999997335,0.5642419482855651,0.16459486969710174,0.4291916666666667,-0.0075951172562781725,0.015046741301193833,2.5623867750167846,0.016641473479283332,0.0002979064075420404,463.1012706756592
17,102000,162286988.76953125,0.0,0.0,0.027499999999998435,0.5589889468991412,0.16821009527580844,0.4364,-0.011571669788099825,0.015601941896602512,2.5496811389923097,0.017834781012022828,0.0002976372433914015,492.1866443157196
18,108000,162919193.9375,0.0,0.0,0.021874999999998757,0.554003859461602,0.1715641211811914,0.44101666666666667,-0.009541995916515588,0.014359238510951399,2.5362486124038695,0.008835100125011052,0.0002973519439839389,520.8389921188354
19,114000,163036120.28710938,0.0,0.0,0.03749999999999787,0.5495490399638099,0.17472828340445976,0.4477583333333333,-0.010835269029485062,0.014513431815430522,2.524984884262085,0.025174102447579293,0.0002970505406059473,550.0867092609406
20,120000,163719933.98046875,0.0,0.0,0.031249999999998224,0.5454386678200323,0.17758072332589647,0.4503333333333333,-0.009456128510646523,0.014603475481271744,2.513208067417145,0.022840090068637763,0.0002967330663097038,579.4907786846161
21,126000,163442635.89648438,0.0,0.0,0.031249999999998224,0.5418883313362842,0.18006473099362183,0.4560416666666667,-0.008503709884826094,0.015354701271280646,2.503855812549591,0.019029438755860006,0.0002963995559098426,609.2156360149384
22,132000,163337519.45898438,0.0,0.0,0.02499999999999858,0.5388337221229352,0.18222061883038412,0.45685,-0.010636627580970526,0.015069446712732314,2.493537187576294,0.0022991888625197633,0.00029605004597953736,638.2552287578583
23,138000,163896845.97265625,0.0,0.0,0.031249999999998224,0.5360400815774474,0.18424099646765502,0.463325,-0.01069192225113511,0.015423767175525427,2.481249153614044,0.015865560402639645,0.0002956845748464905,667.2533791065216
24,144000,162677562.1328125,0.0,0.0,0.040833333333331015,0.5332765766829949,0.18614708514534023,0.46195,-0.009422576299402862,0.016430984437465667,2.4690558075904847,0.017135059156347943,0.0002953031825887303,696.7649402618408
25,150000,162997171.54492188,0.0,0.0,0.031249999999998224,0.5308330748866819,0.18778767795633594,0.4669833333333333,-0.010121844673994929,0.01606937521137297,2.4574246048927306,-0.024444308166727425,0.0002949059110302156,726.3364171981812
26,156000,161977058.375,0.0,0.0,0.038541666666664476,0.5288837608629535,0.18917556758320805,0.4688833333333333,-0.010747732901654672,0.016603759257122874,2.448379564285278,0.024136990763538792,0.0002944928037362498,755.0358366966248
27,162000,160703403.65234375,0.0,0.0,0.0368749999999979,0.5270174342629407,0.19043836798322247,0.4731166666666667,-0.01095690942602232,0.016909993859007953,2.4389436841011047,0.015395618109665854,0.0002940639060087029,784.4796650409698
28,168000,162596783.21679688,0.0,0.0,0.053333333333330304,0.5254012108785646,0.19164651481726916,0.47249166666666664,-0.00930500472895801,0.01621696222573519,2.4292184114456177,0.023623283503055603,0.000293619264881044,814.8528709411621
29,174000,161607798.59375,0.0,0.0,0.04124999999999766,0.5238384465298951,0.1927418848359251,0.47124166666666667,-0.010130245191976427,0.01726977853104472,2.419158637523651,0.014892268382247487,0.0002931589291131833,844.3445820808411
30,180000,161648121.30664062,0.0,0.0,0.021874999999998757,0.5224327378708618,0.19372857989929523,0.4777416666666667,-0.00991893929312937,0.016746284905821085,2.407658803462982,-0.001440920742296925,0.0002926829491861254,873.5303003787994
31,186000,163294763.38085938,0.0,0.0,0.02916666666666501,0.5210641406816137,0.19462533786222996,0.47715,-0.011560197989456355,0.015287813963368535,2.3986222386360168,0.013725429598453154,0.000292191377296433,903.2215056419373
32,192000,163589443.94140625,0.0,0.0,0.04895833333333055,0.5198010291966746,0.19550560331704586,0.4777,-0.005708791344659403,0.014303338481113315,2.392349600791931,0.022107139754767146,0.00029168426735050334,932.5054769515991
33,198000,163814466.41992188,0.0,0.0,0.031249999999998224,0.5188497180825873,0.1961401813663102,0.47954166666666664,-0.012153461304842494,0.015751710161566734,2.3852722883224486,0.013175009513456359,0.00029116167495865663,961.5871777534485
34,204000,163009473.72070312,0.0,0.0,0.06562499999999627,0.5179161656222857,0.1968620445315909,0.47931666666666667,-0.011202205356676131,0.015774950804188847,2.376462125778198,0.01785857634365482,0.0002906236574290377,991.0885772705078
35,210000,161691636.45898438,0.0,0.0,0.04062499999999769,0.5172199344027656,0.19742727628248224,0.4809083333333333,-0.011720588727621361,0.016294929897412658,2.3668372869491576,0.013726595270279796,0.00029007027376133155,1019.7860715389252
36,216000,162572121.984375,0.0,0.0,0.048749999999997226,0.5164846224836905,0.19794462589385675,0.4810083333333333,-0.009220162736164638,0.016947630606591702,2.3567349791526793,0.021103896634094354,0.0002895015846402935,1049.8869259357452
37,222000,158829524.00195312,0.0,0.0,0.046458333333330694,0.5160311083179008,0.1983945668329167,0.48013333333333336,-0.011881759969401173,0.01904262453317642,2.3479907512664795,0.00024859256156606335,0.0002889176524290942,1079.3140270709991
38,228000,161921276.9609375,0.0,0.0,0.04999999999999716,0.5153679907935051,0.19888801859893557,0.484725,-0.011454810260329396,0.01631998158991337,2.338228869438171,0.021927010976066797,0.0002883185411624808,1108.7664210796356
39,234000,162324504.1015625,0.0,0.0,0.0968749999999945,0.5149164815783546,0.1992482736284903,0.48333333333333334,-0.008660911177867093,0.015771423885598778,2.329094910621643,0.02148547130999461,0.00028770431653975514,1137.5723130702972
40,240000,160030652.3125,0.0,0.0,0.03937499999999776,0.5144012142347287,0.19958033885376758,0.48725,-0.010151829803362489,0.017344459239393473,2.321543645858765,0.009452212664534798,0.00028707504591756876,1166.2981057167053
41,246000,161406860.51367188,0.0,0.0,0.05312499999999698,0.5138347927717224,0.19988770124390687,0.48714166666666664,-0.011469394052983261,0.01614054827950895,2.3139180183410644,0.0026996725824588452,0.0002864307983025367,1194.463350057602
42,252000,162076418.84960938,0.0,0.0,0.03791666666666451,0.5132928547423763,0.2002383392443383,0.48740833333333333,-0.012611590814776719,0.015955566707998515,2.3063255667686464,0.02183102117358402,0.0002857716443436699,1223.2654581069946
43,258000,162940164.26171875,0.0,0.0,0.0387499999999978,0.5128488627141061,0.2004786477451442,0.48828333333333335,-0.013212886592373251,0.016290727350860835,2.299238216876984,0.022170872032412636,0.0002850976563246279,1252.1193571090698
44,264000,163152989.06640625,0.0,0.0,0.029999999999998295,0.5124170395939592,0.200768470101754,0.4865583333333333,-0.010003051080275327,0.01619347743690014,2.291517961025238,-0.0004460902256113286,0.00028440890815579215,1281.2932486534119
45,270000,162283680.05273438,0.0,0.0,0.05999999999999659,0.5121402525125693,0.2010171759746683,0.4865833333333333,-0.01220024858484976,0.01697735069319606,2.2839868545532225,0.011009297765938442,0.0002837054753661609,1310.6299703121185
46,276000,163997015.52148438,0.0,0.0,0.06041666666666323,0.5119298251853965,0.2011653826207276,0.48795,-0.011427763664687517,0.0150765813421458,2.276354706287384,0.022807704769596527,0.0002829874350950665,1339.1375222206116
47,282000,163605758.55664062,0.0,0.0,0.05833333333333002,0.5116345331335783,0.20130867209532374,0.489325,-0.01232073303544894,0.015748605923727156,2.268854320049286,0.010501609777150023,0.0002822548660837162,1368.276085615158
48,288000,162961384.49609375,0.0,0.0,0.06145833333332984,0.5110359894158862,0.20160897927569504,0.48985833333333334,-0.012840193655574695,0.016330145206302403,2.2599194407463075,0.016472787619680317,0.0002815078486665575,1398.0406339168549
49,294000,161659451.38671875,0.0,0.0,0.10833333333332718,0.510652216877528,0.2017808023669407,0.48940833333333333,-0.00969214632641524,0.017633509589359164,2.2510353326797485,0.013634462720872875,0.00028074646476246827,1427.2885613441467
50,300000,162756553.26367188,0.0,0.0,0.09062499999999485,0.5103801168693172,0.20196016348862103,0.48964166666666664,-0.004192426800727844,0.0164565893355757,2.2429991602897643,-0.00929888891838999,0.0002799707978657735,1456.8463723659515
51,306000,158827648.109375,0.0,0.0,0.11187499999999365,0.5104199764545597,0.20194230804594754,0.49104166666666665,-0.00533933344995603,0.018363266717642546,2.2362478256225584,0.01532438657496762,0.0002791809330370895,1485.3314001560211
