episode,seed,defender_id,target_index,target_id,hit_time_s,min_distance_m,miss_at_arrival_m
1,73301,0,1,21,34.1,0.8408576315724083,0.8408576315724083
1,73301,1,0,20,37.9,1.2525901024301935,1.2525901024301935
1,73301,2,5,25,40.0,0.7583560521951673,0.7583560521951673
1,73301,3,3,23,31.900000000000002,2.1677824866116953,2.1677824866116953
1,73301,4,4,24,nan,7.928481820667475,nan
1,73301,5,4,24,nan,7.763548524039754,nan
1,73301,6,6,26,33.800000000000004,2.5435030435898622,2.5435030435898622
1,73301,7,0,20,37.9,0.8859427397667446,0.8859427397667446
1,73301,8,1,21,34.1,1.6998578989023794,1.6998578989023794
1,73301,9,1,21,34.050000000000004,0.7228740842469459,2.5227538211027447
1,73301,10,5,25,39.95,0.7135003472164229,0.7135003472164229
1,73301,11,3,23,31.85,0.9112925406037252,2.89697554870808
1,73301,12,5,25,39.95,0.030101955735876634,1.9157252145037678
1,73301,13,2,22,35.25,1.1284538758368479,1.1284538758368479
1,73301,14,0,20,37.9,1.4900000742022137,1.4900000742022137
1,73301,15,6,26,33.800000000000004,1.554782411376907,1.554782411376907
1,73301,16,7,27,33.7,0.14531839378085035,0.14531839378085035
1,73301,17,7,27,33.65,0.5320103083486303,1.5860416600113025
1,73301,18,2,22,35.25,1.8885821256997193,1.8885821256997193
1,73301,19,3,23,31.900000000000002,0.2847421688350472,0.2847421688350472
2,73302,0,1,21,34.45,0.6989922125638178,2.3971739878041176
2,73302,1,7,27,33.6,2.2261841837726783,2.2261841837726783
2,73302,2,2,22,35.0,1.0520131746591257,1.0520131746591257
2,73302,3,3,23,32.2,1.4172317458214543,1.4172317458214543
2,73302,4,2,22,35.0,0.791908554683236,0.791908554683236
2,73302,5,4,24,37.65,0.9441076373408523,0.9441076373408523
2,73302,6,0,20,38.2,1.591877274805767,1.591877274805767
2,73302,7,0,20,38.15,0.82641382671174,2.7207564074957906
2,73302,8,1,21,34.5,0.19992643652771613,0.19992643652771613
2,73302,9,6,26,33.75,1.140528743223379,2.8827949743568873
2,73302,10,5,25,39.800000000000004,0.9259304914045251,2.8233149090236043
2,73302,11,4,24,37.6,0.3498687670301648,1.710392055553189
2,73302,12,5,25,39.85,1.6303814018098495,1.6303814018098495
2,73302,13,2,22,34.95,0.7415022052132714,1.2419065939142715
2,73302,14,6,26,33.75,0.7125182023859565,1.3916413122397215
2,73302,15,7,27,33.6,2.7882143338530745,2.7882143338530745
2,73302,16,6,26,33.800000000000004,0.2757420668766119,0.2757420668766119
2,73302,17,0,20,38.2,0.8409345442219361,0.8409345442219361
2,73302,18,4,24,37.75,1.1369350792213126,1.1369350792213126
2,73302,19,3,23,32.15,0.8695441455058108,2.8236814792193794
