episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case2,8,4,2,0,False,False,25.04999542236328,25.04999542236328,881.5611440861597,17631.222881723195
2,case2,8,3,1,1,False,False,0.1999969482421875,0.1999969482421875,900.8375299412291,18016.750598824583
3,case2,8,3,1,0,False,False,24.599998474121094,24.599998474121094,886.0104545165319,17720.209090330638
4,case2,8,3,1,0,False,False,24.449996948242188,24.449996948242188,857.2783167220128,17145.566334440256
5,case2,8,4,2,0,False,False,24.849998474121094,24.849998474121094,884.825341054704,17696.50682109408
6,case2,8,3,1,1,False,False,0.09999847412109375,0.09999847412109375,897.1598824347835,17943.19764869567
7,case2,8,3,1,0,False,False,24.450000762939453,24.450000762939453,860.5551939983867,17211.103879967734
8,case2,8,3,1,0,False,False,24.5,24.5,883.8739028288052,17677.478056576103
9,case2,8,3,1,1,False,False,0.4499969482421875,0.4499969482421875,900.4670023919083,18009.340047838166
10,case2,8,4,2,0,False,False,24.0,24.0,884.1814974004403,17683.629948008806
11,case2,8,3,1,0,False,False,24.900001525878906,24.900001525878906,860.3575634104054,17207.15126820811
12,case2,8,4,2,0,False,False,24.75,24.75,886.8562135635409,17737.12427127082
13,case2,8,4,2,0,False,False,24.449996948242188,24.449996948242188,883.8490410286934,17676.980820573866
14,case2,8,3,1,1,False,False,0.1999969482421875,0.1999969482421875,892.4523035271559,17849.046070543118
15,case2,8,4,2,0,False,False,24.299999237060547,24.299999237060547,878.4113885319326,17568.227770638652
16,case2,8,3,1,0,False,False,24.29999542236328,24.29999542236328,858.2140979267685,17164.28195853537
17,case2,8,3,1,0,False,False,24.099998474121094,24.099998474121094,887.5147485048044,17750.29497009609
18,case2,8,3,1,0,False,False,24.349998474121094,24.349998474121094,888.6545466817915,17773.09093363583
19,case2,8,3,1,1,False,False,0.3000030517578125,0.3000030517578125,901.369790867949,18027.395817358978
20,case2,8,3,1,0,False,False,25.0,25.0,888.2018131166697,17764.036262333393
