case,episode,seed,defender_id,target_index,hit_time_s,terminal_abs_ny_g,hit_distance_m
case2,1,90077,4,4,24.850000000000218,0.21109507269133002,2.4754867334699306
case2,1,90077,12,4,24.850000000000218,0.37700167577751587,2.0933430036380387
case2,1,90077,1,1,26.150000000000237,0.4187665080673708,2.6183076865622468
case2,1,90077,17,1,26.150000000000237,0.5428520793912438,2.61766548925987
case2,1,90077,14,6,26.250000000000238,0.1535853063148517,1.8106859191976412
case2,1,90077,6,6,26.30000000000024,0.23229166078521785,2.281985514645079
case2,1,90077,7,7,27.550000000000257,0.34220927764154296,2.8596301663861006
case2,1,90077,15,7,27.550000000000257,0.29283778072781375,1.6664493247077041
case2,1,90077,19,3,28.100000000000264,0.7169294852289791,2.788143985438257
case2,1,90077,3,3,28.150000000000265,0.1861475747981436,2.4487276239172915
case2,1,90077,0,0,29.10000000000028,0.4876880604203549,2.949863732757292
case2,1,90077,8,0,29.15000000000028,0.0017285288342927252,2.816633320083791
case2,1,90077,16,0,29.30000000000028,0.00022346999609176854,1.347202427105076
case2,1,90077,10,2,37.15000000000003,0.1406453810069962,2.9124020292868504
case2,1,90077,18,2,37.15000000000003,0.18847690349021823,2.7640757198327317
case2,1,90077,2,2,37.25000000000002,0.5741431986435229,2.8131906525006936
case2,1,90077,5,5,42.14999999999974,0.3491760400638054,2.0515470625443624
