version,seed,assignment_cost,mean_interception_probability,mean_adversarial_advantage,mean_pair_score,target_load_std,covered_target_fraction,capacity_feasible,maximum_target_load
V1,0,0.5849844743708027,0.6548593980393101,0.07423043892274672,0.6993976613929582,0.5,1.0,1,3
V2,0,0.7100712057532649,0.5974139518143331,0.0363862478257486,0.6192457005097822,0.7071067811865476,1.0,1,3
V1,1,0.7082968842365002,0.6354759183647295,0.05507841928392384,0.6685229699350839,0.7071067811865476,1.0,1,3
V2,1,1.1066267365177376,0.7225502271687696,0.1437896211541142,0.8088239998612382,1.0,0.875,1,3
V1,2,0.23890372763248804,0.7049920118564297,0.07927467180101751,0.7525568149370404,0.5,1.0,1,3
V2,2,0.2807750664690159,0.7080952980449838,0.07823770013024495,0.7550379181231309,0.5,1.0,1,3
V1,3,0.5452442002357573,0.6816183423013074,0.08480737965690642,0.7325027700954513,0.5,1.0,1,3
V2,3,0.8814326891171919,0.6524742510572907,0.06593296789752875,0.692034031795808,0.7071067811865476,1.0,1,3
V1,4,0.47627771200877006,0.6935241180909324,0.08794634264145373,0.7462919236758047,0.5,1.0,1,3
V2,4,0.4157883139547284,0.6794779855920836,0.07631560470292476,0.7252673484138384,0.5,1.0,1,3
V1,5,0.5293209333362148,0.6729203049052602,0.06252528126252091,0.7104354736627729,0.5,1.0,1,3
V2,5,0.8024207992114653,0.6341416293543538,0.048870983562558215,0.6634642194918887,0.7071067811865476,1.0,1,3
V1,6,0.2070180259925957,0.7170325109162184,0.08428995940363535,0.7676064865583998,0.5,1.0,1,3
V2,6,0.3300218641255666,0.7416829356812213,0.11484510683142357,0.8105899997800753,0.5,1.0,1,3
V1,7,0.19380567589659486,0.7620089866811279,0.11033445849584092,0.8282096617786326,0.5,1.0,1,3
V2,7,0.26422771458887173,0.7149628701270243,0.08582380943063239,0.7664571557854039,0.5,1.0,1,3
V1,8,0.3514561329419943,0.693754410559636,0.0523855487995887,0.7251857398393893,0.7071067811865476,1.0,1,3
V2,8,0.5261851921566607,0.6685046643844031,0.0632020727381191,0.7064259080272747,0.5,1.0,1,3
V1,9,0.17041652875583552,0.7384473580692085,0.13308382754843798,0.8182976545982713,0.5,1.0,1,3
V2,9,0.21002147410442557,0.8110263933691039,0.20822123304476814,0.9359591331959646,0.8660254037844386,1.0,1,3
V1,10,0.5664380057600761,0.6689606214082381,0.060947505557012546,0.7055291247424457,0.5,1.0,1,3
V2,10,0.17687173657505573,0.7271706260957025,0.1405678513393915,0.8115113368993372,0.5,1.0,1,3
V1,11,0.23213250866417764,0.7613133258596994,0.15469990597379263,0.8541332694439749,0.5,1.0,1,3
V2,11,0.38054732343776976,0.6585252584730775,0.08778913684676923,0.7111987405811391,0.5,1.0,1,3
V1,12,0.24329383592790882,0.7419424449348708,0.10656513466959974,0.8058815257366307,0.5,1.0,1,3
V2,12,0.8405894746810665,0.5940688559718927,0.02499095678101171,0.6090634300404998,0.5,1.0,1,3
V1,13,0.22742183810874028,0.7301887399710603,0.09222554670866907,0.7855240679962618,0.5,1.0,1,3
V2,13,0.5210690948869624,0.6139663800279047,0.036807605610621234,0.6360509433942774,0.7071067811865476,1.0,1,3
V1,14,0.5502590542363047,0.6523977921669996,0.06694334653696725,0.6925638000891798,0.5,1.0,1,3
V2,14,0.42828199992172744,0.7271217141958725,0.10062578545058191,0.7874971854662216,0.5,1.0,1,3
V1,15,0.6350884348041874,0.6480988309832872,0.06677704674572067,0.6881650590307196,0.5,1.0,1,3
