target_index,uncovered_episode_count,mean_closest_approach_m,median_closest_approach_m,max_closest_approach_m
0,1,4.085686345168159,4.085686345168159,4.085686345168159
1,1,3.826450576333978,3.826450576333978,3.826450576333978
2,1,3.25707678066779,3.25707678066779,3.25707678066779
4,8,3.75042425191727,3.673701427477589,4.26889842528918
5,5,3.5400323653327987,3.436824956388717,4.140098658674341
6,6,3.511917322170698,3.5233328004156377,3.863402856282877
7,2,3.7813314922942594,3.7813314922942594,4.016859763731072
