target_index,delayed_episode_count,mean_arrival_spread_s,median_arrival_spread_s,max_arrival_spread_s
0,2,1.0749999999999993,1.0749999999999993,1.25
1,2,1.0,1.0,1.1499999999999986
2,1,1.1000000000000014,1.1000000000000014,1.1000000000000014
3,6,1.3500000000000003,1.3000000000000007,1.6999999999999957
4,6,1.7416666666666647,1.7499999999999964,2.0
5,4,1.137500000000001,1.1999999999999993,1.2999999999999972
6,6,0.8999999999999986,0.8499999999999979,1.1499999999999986
7,13,1.0615384615384602,1.0499999999999972,1.25
