episode,seed,interceptor_hit_count,target_coverage_count,all_targets_hit,all_targets_coordinated,mission_success,E_co_time_s,E_n_g,E_miss_m,E_t_s,max_group_spread_s,mean_interceptor_min_distance_m,worst_interceptor_min_distance_m,elapsed_steps,idbo_best_cost,idbo_repaired_cost,idbo_runtime_ms,idbo_final_population_cost,idbo_final_disagreement,repair_moves,raw_counts,final_counts
4,74004,20,8,True,False,False,0.1003472222222214,0.8190777073659277,1.3223836389648067,36.16875,1.1499999999999986,0.9826461688060778,2.755570648065272,812,0.1610189652793379,0.1610189652793379,836.5579979727045,0.4822910117564753,0.0,0,"[3, 3, 2, 2, 2, 2, 3, 3]","[3, 3, 2, 2, 2, 2, 3, 3]"
6,74006,20,8,True,False,False,0.1524305555555556,0.8100185015461228,1.4811586851305605,36.70625,0.9500000000000028,0.8860776870961574,2.954537310937176,781,0.4834269639148367,0.4834269639148367,833.1373470136896,1.6929437057759618,0.0,0,"[3, 2, 3, 3, 1, 2, 3, 3]","[3, 2, 3, 3, 1, 2, 3, 3]"
7,74007,20,8,True,False,False,0.0663194444444443,0.6956732392797068,1.4726957267072016,36.025000000000006,0.8500000000000014,0.9015625976673798,2.826362064309053,771,0.0738331116791452,0.0738331116791452,840.1577469776385,0.205922658089544,0.0,0,"[3, 2, 2, 3, 2, 2, 3, 3]","[3, 2, 2, 3, 2, 2, 3, 3]"
8,74008,20,8,True,False,False,0.0972222222222223,0.767046758255107,1.3948022181756523,36.04375,1.5499999999999972,1.1094781776113154,2.7176881637563137,778,0.1834124096668802,0.1834124096668802,824.0686330245808,0.235283812494626,0.0,0,"[3, 2, 3, 3, 3, 2, 3, 1]","[3, 2, 3, 3, 3, 2, 3, 1]"
17,74017,20,8,True,False,False,0.0937499999999997,0.8185897064502439,2.2461803785457914,36.0625,1.0500000000000045,1.4788393447231225,2.843146272279841,764,0.3558902849983184,0.3558902849983184,806.6910650231875,0.3769489820669231,0.0,0,"[2, 3, 3, 3, 2, 2, 3, 2]","[2, 3, 3, 3, 2, 2, 3, 2]"
23,74023,20,8,True,False,False,0.1743055555555554,0.7103835028410211,1.570881284728307,36.275000000000006,2.0,1.2151009033245803,2.9502093477535944,764,0.2410279651720222,0.2410279651720222,859.3212539562955,0.9745103842343872,0.0,0,"[3, 3, 2, 1, 3, 3, 2, 3]","[3, 3, 2, 1, 3, 3, 2, 3]"
26,74026,20,8,True,False,False,0.0899305555555554,0.8540445919313915,1.7072557634878578,36.1875,1.25,0.9782504116066713,2.748849944479536,779,0.0802356861827791,0.0802356861827791,803.3262389944866,0.685037268602568,0.0,0,"[3, 3, 2, 2, 3, 2, 2, 3]","[3, 3, 2, 2, 3, 2, 2, 3]"
32,74032,20,8,True,False,False,0.136111111111111,0.8771991513981592,1.5007071621381085,36.26875,1.2000000000000028,1.2914086238360662,2.5464445948328867,795,0.107694828628739,0.107694828628739,805.6060440139845,0.1110809032412616,0.0,0,"[3, 2, 2, 2, 3, 3, 2, 3]","[3, 2, 2, 2, 3, 3, 2, 3]"
34,74034,20,8,True,False,False,0.2350694444444457,0.8639845638244175,1.4449082819481307,36.35625,1.9500000000000028,0.8353545844771311,2.363700403111249,789,0.2852381579817061,0.2852381579817061,801.4576800051145,0.492229443846607,0.0,0,"[3, 3, 2, 1, 3, 2, 3, 3]","[3, 3, 2, 1, 3, 2, 3, 3]"
39,74039,20,8,True,False,False,0.0881944444444443,0.855533368950508,1.618016198889073,36.18125,0.9000000000000057,0.8450245683951867,2.784484465912435,804,0.1372635402318025,0.1372635402318025,798.2699029962532,0.6081637701476221,0.0,0,"[3, 3, 2, 3, 3, 2, 2, 2]","[3, 3, 2, 3, 3, 2, 2, 2]"
41,74041,20,8,True,False,False,0.0732638888888888,0.8534940851821463,1.5663715175420645,35.94375,1.0500000000000045,1.049307791930031,2.2583569999336683,777,0.0863962032713791,0.0863962032713791,801.2283589923754,0.0868026565729104,0.0,0,"[3, 3, 3, 2, 2, 2, 3, 2]","[3, 3, 3, 2, 2, 2, 3, 2]"
43,74043,20,8,True,False,False,0.2555555555555555,0.8421877948149188,1.4903054529315252,36.60625,1.4500000000000028,0.8425736686031176,2.586223556203853,787,0.341168146101112,0.341168146101112,793.5729960445315,0.7336037227409401,0.0,0,"[3, 3, 3, 1, 3, 1, 3, 3]","[3, 3, 3, 1, 3, 1, 3, 3]"
47,74047,20,8,True,False,False,0.2156249999999994,0.8790600182431936,1.371186637361094,36.525000000000006,1.2999999999999972,0.8686670489260402,2.8776406354920816,790,0.6551959372267542,0.6551959372267542,802.2899779607542,1.817046616808896,0.09,0,"[3, 2, 3, 2, 3, 2, 3, 2]","[3, 2, 3, 2, 3, 2, 3, 2]"
50,74050,20,8,True,False,False,0.0989583333333336,0.8179707976431836,1.6105188103888406,36.28125,1.1500000000000057,0.9455548611896204,2.665902212905944,783,0.2893847388655219,0.2893847388655219,801.09306902159,0.2934473914784829,0.0,0,"[3, 3, 3, 1, 3, 2, 3, 2]","[3, 3, 3, 1, 3, 2, 3, 2]"
51,74051,20,8,True,False,False,0.1079861111111105,0.7642351602577591,1.2949360041400682,36.41875,1.25,1.0968778407206463,2.9954173894296336,807,0.2411537250769058,0.2411537250769058,798.6406750278547,0.6093199255020599,0.0,0,"[3, 3, 3, 3, 2, 2, 2, 2]","[3, 3, 3, 3, 2, 2, 2, 2]"
52,74052,20,8,True,False,False,0.1208333333333335,0.7429059710833583,1.5700247800124143,36.400000000000006,0.9000000000000057,1.180789114034631,2.979933786946265,793,0.7788918298226416,0.7788918298226416,804.8673620214686,1.7770274465139673,0.15,0,"[3, 3, 3, 1, 3, 3, 2, 2]","[3, 3, 3, 1, 3, 3, 2, 2]"
62,74062,20,8,True,False,False,0.0979166666666665,0.7318757494131138,1.346133486525035,36.306250000000006,1.5499999999999972,0.989485238267027,2.414077507501367,799,0.1206255026767859,0.1206255026767859,799.0550470422022,0.1306757834027674,0.0,0,"[2, 3, 3, 3, 3, 2, 2, 2]","[2, 3, 3, 3, 3, 2, 2, 2]"
65,74065,20,8,True,False,False,0.1319444444444449,0.8228641048156138,1.1421412383798142,35.868750000000006,1.9500000000000028,0.6575714655073739,2.3818669797892724,761,0.1425153085914166,0.1425153085914166,825.6674309959635,0.1543213325134766,0.0,0,"[2, 2, 3, 2, 3, 2, 3, 3]","[2, 2, 3, 2, 3, 2, 3, 3]"
70,74070,20,8,True,False,False,0.1152777777777784,0.9621358040014472,1.5513345149796425,36.38125,1.25,0.8632986407714414,2.884257020665963,788,0.1912687629808657,0.1912687629808657,793.8620009808801,0.619944046038453,0.06,0,"[2, 2, 2, 3, 2, 3, 3, 3]","[2, 2, 2, 3, 2, 3, 3, 3]"
71,74071,20,8,True,False,False,0.0826388888888887,0.7692742418454709,1.5124778905848435,36.35625,1.1499999999999986,0.9399373765704686,2.6408698999997164,807,0.1835388994202572,0.1835388994202572,796.6082899947651,0.1847625668096239,0.0,0,"[3, 3, 3, 2, 3, 1, 2, 3]","[3, 3, 3, 2, 3, 1, 2, 3]"
79,74079,20,8,True,False,False,0.1083333333333331,0.7272156021751334,1.164843803186452,35.925000000000004,1.3500000000000014,0.7774023302544253,2.166516562898267,742,0.1588990490172174,0.1588990490172174,793.8960950123146,0.9903538721095558,0.0,0,"[2, 3, 3, 3, 3, 2, 2, 2]","[2, 3, 3, 3, 3, 2, 2, 2]"
80,74080,20,8,True,False,False,0.1645833333333327,0.7176742928917619,1.500110965057135,36.21875,1.2000000000000028,1.0771797297184975,2.572298020690916,768,0.3069583295825791,0.3069583295825791,794.5753550156951,0.7963237709923398,0.0,0,"[3, 3, 2, 3, 2, 3, 2, 2]","[3, 3, 2, 3, 2, 3, 2, 2]"
