episode,case,mode,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,mean_target_time,max_sync_spread,mean_sync_spread
1,case1,baseline,8,20,8,8,True,True,47.11250305175781,0.20000076293945312,0.08125019073486328
2,case1,baseline,8,20,8,8,True,True,40.10625076293945,0.20000076293945312,0.08124923706054688
3,case1,baseline,8,20,8,8,True,True,43.681251525878906,0.15000152587890625,0.05000019073486328
4,case1,baseline,8,20,8,8,True,True,47.39374542236328,0.15000152587890625,0.08750104904174805
5,case1,baseline,8,20,8,8,True,True,57.087501525878906,0.20000457763671875,0.06874990463256836
6,case1,baseline,8,20,8,8,True,True,46.48749923706055,0.5999984741210938,0.13749980926513672
7,case1,baseline,8,20,8,8,True,True,62.13125228881836,0.1999969482421875,0.037499427795410156
8,case1,baseline,8,20,8,8,True,True,44.125,0.09999847412109375,0.04999971389770508
9,case1,baseline,8,20,8,8,True,True,51.78125,0.14999771118164062,0.0624995231628418
10,case1,baseline,8,20,8,8,True,True,47.53125,0.10000228881835938,0.04375123977661133
