episode,step,time,case,mode,defender_id,target_id,dist_to_target
2,822,41.099998474121094,case1,baseline,15,26,10.611455942821998
2,864,43.20000076293945,case1,baseline,18,27,10.522126253833498
2,865,43.25,case1,baseline,16,27,11.245825183854558
2,866,43.29999923706055,case1,baseline,17,27,11.003071009136324
3,745,37.25,case1,baseline,1,20,11.898370882320172
3,745,37.25,case1,baseline,10,24,11.928106607738917
3,747,37.349998474121094,case1,baseline,0,20,10.332592019424887
3,748,37.400001525878906,case1,baseline,9,24,11.68267264070124
3,762,38.099998474121094,case1,baseline,7,23,9.896364170024473
3,762,38.099998474121094,case1,baseline,8,23,10.245222207638434
3,767,38.349998474121094,case1,baseline,6,22,11.030552102858946
3,768,38.400001525878906,case1,baseline,5,22,10.416187176867599
3,783,39.150001525878906,case1,baseline,14,26,10.934586995435634
3,783,39.150001525878906,case1,baseline,15,26,11.290404560806923
3,784,39.20000076293945,case1,baseline,16,26,10.557469155313152
3,820,41.0,case1,baseline,12,25,11.617670338728464
3,820,41.0,case1,baseline,13,25,11.888639248075323
3,821,41.04999923706055,case1,baseline,11,25,10.591513901937539
3,846,42.29999923706055,case1,baseline,2,21,10.684043876234636
3,846,42.29999923706055,case1,baseline,3,21,10.604572427649254
3,846,42.29999923706055,case1,baseline,4,21,11.707289445663415
3,1521,76.05000305175781,case1,baseline,17,27,11.105740584062719
3,1521,76.05000305175781,case1,baseline,18,27,10.911338161451638
3,1521,76.05000305175781,case1,baseline,19,27,10.71748452002344
4,737,36.849998474121094,case1,baseline,1,21,11.659058007308367
4,738,36.900001525878906,case1,baseline,3,21,10.166587526403502
4,755,37.75,case1,baseline,7,23,11.65108111459003
4,756,37.79999923706055,case1,baseline,8,23,10.214527606930059
4,768,38.400001525878906,case1,baseline,6,22,11.800592859685477
4,770,38.5,case1,baseline,4,22,11.927351358603817
4,771,38.54999923706055,case1,baseline,5,22,11.611397923390008
4,786,39.29999923706055,case1,baseline,18,27,10.981655884074925
4,789,39.45000076293945,case1,baseline,17,27,10.297001152592426
4,837,41.849998474121094,case1,baseline,15,26,10.955005289093164
4,839,41.95000076293945,case1,baseline,14,26,10.957601662780423
4,839,41.95000076293945,case1,baseline,16,26,11.817450016075437
4,845,42.25,case1,baseline,12,25,11.184066692233058
4,846,42.29999923706055,case1,baseline,13,25,11.474893118839075
4,871,43.54999923706055,case1,baseline,0,20,11.508230493484108
4,872,43.599998474121094,case1,baseline,2,20,10.976975911965475
4,873,43.650001525878906,case1,baseline,19,20,11.254508009076183
4,1984,99.19999694824219,case1,baseline,10,24,11.8681813324804
4,1984,99.19999694824219,case1,baseline,11,24,11.704150748572468
4,1985,99.25,case1,baseline,9,24,11.25919270001973
5,786,39.29999923706055,case1,baseline,8,23,11.028994336272994
5,786,39.29999923706055,case1,baseline,12,25,10.634784625513428
5,787,39.349998474121094,case1,baseline,7,23,10.271394717806976
5,788,39.400001525878906,case1,baseline,13,25,11.198906781123252
5,789,39.45000076293945,case1,baseline,4,22,11.512645634904047
5,789,39.45000076293945,case1,baseline,6,22,10.288768943026618
5,790,39.5,case1,baseline,5,22,10.395774445206754
5,792,39.599998474121094,case1,baseline,14,26,10.828341317831596
5,792,39.599998474121094,case1,baseline,15,26,10.696696761481391
5,849,42.45000076293945,case1,baseline,17,27,10.905724843606208
5,850,42.5,case1,baseline,19,27,11.251709047535206
5,851,42.54999923706055,case1,baseline,16,27,10.62759592659316
5,1435,71.75,case1,baseline,9,24,11.247212384458486
5,1435,71.75,case1,baseline,10,24,11.131475848740456
5,1435,71.75,case1,baseline,11,24,10.994943199620067
5,1814,90.69999694824219,case1,baseline,3,21,11.919041996602958
5,1816,90.80000305175781,case1,baseline,2,21,11.931178945688067
5,1818,90.9000015258789,case1,baseline,1,21,11.943632374534017
5,1883,94.1500015258789,case1,baseline,0,20,11.513590861940369
5,1884,94.19999694824219,case1,baseline,18,20,11.627389929035129
6,795,39.75,case1,baseline,12,24,10.507225368639554
6,796,39.79999923706055,case1,baseline,8,24,10.063453937549564
6,797,39.849998474121094,case1,baseline,15,26,10.425683860032061
6,798,39.900001525878906,case1,baseline,16,26,11.736445418177334
6,813,40.650001525878906,case1,baseline,18,27,10.746703782055077
6,814,40.70000076293945,case1,baseline,17,27,11.989556836173117
6,820,41.0,case1,baseline,0,20,10.340555162341873
6,821,41.04999923706055,case1,baseline,19,20,9.844859174594134
6,859,42.95000076293945,case1,baseline,7,23,11.460917837158403
6,861,43.04999923706055,case1,baseline,9,23,11.258004859688155
6,863,43.150001525878906,case1,baseline,10,23,10.962199306144669
6,875,43.75,case1,baseline,13,25,10.65357705146385
6,876,43.79999923706055,case1,baseline,14,25,10.878022540613566
6,877,43.849998474121094,case1,baseline,11,25,10.996112130272877
6,930,46.5,case1,baseline,6,22,11.564697575617672
6,935,46.75,case1,baseline,5,22,11.829048685919513
6,942,47.099998474121094,case1,baseline,4,22,11.983511898616703
6,1549,77.44999694824219,case1,baseline,1,21,10.87441288351235
6,1549,77.44999694824219,case1,baseline,2,21,10.67585011381311
6,1549,77.44999694824219,case1,baseline,3,21,10.476186147117794
7,755,37.75,case1,baseline,7,23,11.777438388304597
7,755,37.75,case1,baseline,8,23,10.083704686956647
7,808,40.400001525878906,case1,baseline,9,24,11.990380963647183
7,810,40.5,case1,baseline,10,24,11.15666488256169
7,812,40.599998474121094,case1,baseline,11,24,10.520058503690201
7,815,40.75,case1,baseline,14,26,11.082481946434974
7,815,40.75,case1,baseline,15,26,11.24480319157437
7,816,40.79999923706055,case1,baseline,16,26,10.73635920249544
7,836,41.79999923706055,case1,baseline,1,20,11.348247737897184
7,837,41.849998474121094,case1,baseline,0,20,10.60593155117095
7,837,41.849998474121094,case1,baseline,19,20,11.530370765985067
7,1510,75.5,case1,baseline,12,25,11.425529056322397
7,1510,75.5,case1,baseline,13,25,11.343297857134207
7,1570,78.5,case1,baseline,17,27,10.645933981422491
7,1570,78.5,case1,baseline,18,27,10.31764169720663
7,1651,82.55000305175781,case1,baseline,2,21,11.955651123118272
7,1651,82.55000305175781,case1,baseline,3,21,11.986200110135593
7,1996,99.80000305175781,case1,baseline,4,22,11.448676945101576
7,1996,99.80000305175781,case1,baseline,5,22,11.29700418363346
7,1996,99.80000305175781,case1,baseline,6,22,11.189098528200486
8,720,36.0,case1,baseline,16,27,10.447691263383375
8,720,36.0,case1,baseline,17,27,11.877837793946577
8,741,37.04999923706055,case1,baseline,15,26,10.848806132225974
8,742,37.099998474121094,case1,baseline,18,26,11.748388190288425
8,743,37.150001525878906,case1,baseline,7,23,11.545589079278226
8,745,37.25,case1,baseline,8,23,10.177514328834464
8,766,38.29999923706055,case1,baseline,3,21,10.841436936551204
8,766,38.29999923706055,case1,baseline,4,21,11.970304295237492
8,767,38.349998474121094,case1,baseline,2,21,9.920934284341703
8,807,40.349998474121094,case1,baseline,5,22,10.88612803366502
8,808,40.400001525878906,case1,baseline,6,22,10.718860767354306
8,830,41.5,case1,baseline,9,24,11.171906021786592
8,830,41.5,case1,baseline,10,24,10.966118052098349
8,831,41.54999923706055,case1,baseline,11,24,11.740218258511996
8,863,43.150001525878906,case1,baseline,19,20,11.855841591435052
8,865,43.25,case1,baseline,0,20,11.162222978507755
8,865,43.25,case1,baseline,1,20,11.011994792890537
8,1590,79.5,case1,baseline,12,25,11.92728138952501
8,1590,79.5,case1,baseline,13,25,11.712155907544117
8,1590,79.5,case1,baseline,14,25,11.538756084439408
9,778,38.900001525878906,case1,baseline,0,20,11.844363220862801
9,781,39.04999923706055,case1,baseline,19,20,11.951622265142793
9,848,42.400001525878906,case1,baseline,10,24,11.719512444058275
9,849,42.45000076293945,case1,baseline,8,24,10.51277447114175
9,849,42.45000076293945,case1,baseline,9,24,10.00952355260353
9,856,42.79999923706055,case1,baseline,2,21,11.391096954371003
9,858,42.900001525878906,case1,baseline,1,21,9.886598755826899
9,860,43.0,case1,baseline,12,25,10.325263592614489
9,861,43.04999923706055,case1,baseline,11,25,10.498870508169379
9,884,44.20000076293945,case1,baseline,16,27,10.63897346101848
9,884,44.20000076293945,case1,baseline,17,27,11.442277040651286
9,885,44.25,case1,baseline,18,27,10.80455666502505
9,889,44.45000076293945,case1,baseline,15,26,11.597684530792263
9,890,44.5,case1,baseline,14,26,11.770293308848304
9,891,44.54999923706055,case1,baseline,13,26,11.943106998845453
9,1525,76.25,case1,baseline,6,23,11.615164738317548
9,1525,76.25,case1,baseline,7,23,11.348065351054307
9,1645,82.25,case1,baseline,3,22,11.882037740679987
9,1645,82.25,case1,baseline,4,22,11.6867420975403
9,1645,82.25,case1,baseline,5,22,11.4944532588926
10,767,38.349998474121094,case1,baseline,19,20,11.22978710047792
10,768,38.400001525878906,case1,baseline,0,20,11.587425621805918
10,800,40.0,case1,baseline,9,24,11.90367597006912
10,802,40.099998474121094,case1,baseline,5,22,10.601601017087777
10,802,40.099998474121094,case1,baseline,10,24,10.74823029687453
10,802,40.099998474121094,case1,baseline,11,24,11.696656094463984
10,804,40.20000076293945,case1,baseline,6,22,11.35934706027086
10,807,40.349998474121094,case1,baseline,15,26,10.85421913724698
10,807,40.349998474121094,case1,baseline,16,26,11.480229250810739
10,816,40.79999923706055,case1,baseline,2,21,11.67895870417972
10,816,40.79999923706055,case1,baseline,3,21,10.318992891741633
10,816,40.79999923706055,case1,baseline,4,21,10.776303611730501
10,857,42.849998474121094,case1,baseline,18,27,10.395473360547536
10,858,42.900001525878906,case1,baseline,1,27,10.094305720220836
10,858,42.900001525878906,case1,baseline,17,27,11.505510934126246
10,862,43.099998474121094,case1,baseline,7,23,11.717976403613028
10,863,43.150001525878906,case1,baseline,8,23,11.336816916600135
10,1894,94.69999694824219,case1,baseline,12,25,10.522591295723682
10,1894,94.69999694824219,case1,baseline,13,25,11.06013372976207
10,1894,94.69999694824219,case1,baseline,14,25,11.723765416655391
