case,episode,seed,defender_id,target_index,hit_time_s,terminal_abs_ny_g,hit_distance_m
case2,1,90037,4,4,24.850000000000218,0.7381613480239922,2.2851341384029498
case2,1,90037,12,4,24.850000000000218,0.030922801961598245,1.868244592440518
case2,1,90037,9,1,26.150000000000237,0.39780781959253775,2.7696172723131336
case2,1,90037,1,1,26.200000000000237,0.46712944295524395,2.5296241901538075
case2,1,90037,14,6,26.250000000000238,0.3081871545468087,1.5854622164862398
case2,1,90037,6,6,26.30000000000024,0.16796767447054328,2.1185748868388328
case2,1,90037,5,5,26.700000000000244,0.03452544359953162,2.9798954928061785
case2,1,90037,13,5,26.750000000000245,0.1796562744402646,0.7318588220586946
case2,1,90037,7,7,27.550000000000257,0.016537427778243602,1.8007984337661054
case2,1,90037,15,7,27.550000000000257,0.5788581790459696,2.2181991615616563
case2,1,90037,11,3,27.950000000000262,0.19549444108503505,1.9197961503771677
case2,1,90037,19,3,27.950000000000262,0.09556386974489778,1.7365379089426916
case2,1,90037,3,3,28.150000000000265,0.41091557483453417,2.0201939026292783
case2,1,90037,0,0,29.10000000000028,0.32296244795434004,2.2378493319761623
case2,1,90037,8,0,29.15000000000028,0.4261676949805548,0.41376693658199637
case2,1,90037,16,0,29.30000000000028,0.46668148883673755,2.195041664428736
case2,1,90037,10,2,37.30000000000002,0.5090328729907607,2.6725235838184815
case2,1,90037,2,2,37.350000000000016,0.5233188363279269,2.678430728640667
