condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_full_case2,case2,full,28,99095,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,0,0.4857638888888957,0.4698899250912362,2.3577836163478185,26.21250000000024,2.1797167571710765,2.9120453162979203,440704.4608288435,28.05,50.0,3.0,0.3,400.0,1.0,13.057311381272998,0.021601605163320388,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,29,99096,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,1,nan,nan,nan,nan,2.3752780323208937,3.320113431096445,375399.2331894877,75.0,50.0,3.0,0.3,400.0,1.0,13.097365362424986,0.011817026535114026,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,30,99097,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,1,nan,nan,nan,nan,2.2726969857357466,3.353811027742582,353549.2801491848,75.0,50.0,3.0,0.3,400.0,1.0,11.767613125026422,0.011584205150210344,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,31,99098,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,6,0,nan,nan,nan,nan,2.345633725738758,3.4856257023818062,375445.40955364134,75.0,50.0,3.0,0.3,400.0,1.0,11.692986467607223,0.024893951931022392,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,32,99099,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,7,0,nan,nan,nan,nan,2.2727250259594114,3.986419777009167,419350.11068656214,75.0,50.0,3.0,0.3,400.0,1.0,10.733518312360816,0.023600884838518525,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,33,99100,nominal,fixed,0,0,0,0,unsuccessful_interception,7,3,0,nan,nan,nan,nan,2.683216831965568,4.756946630130601,309266.5932603333,75.0,50.0,3.0,0.3,400.0,1.0,9.689990391506926,0.023390975640815076,0.0,nan,nan,nan,0
