episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,eval_seed,chunk,source_summary
11,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76031,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
12,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76032,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
13,case1,8,20,8,8,True,True,0.05000114440917969,0.03750014305114746,76033,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
14,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76034,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
15,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76035,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
16,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76036,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
17,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76037,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
18,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76038,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
19,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76039,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
20,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76040,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_01/case1/case1_episode_summary.csv
1,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76041,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
2,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76042,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
3,case1,8,18,8,6,True,False,0.05000114440917969,0.03333346173167229,76043,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
4,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76044,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
5,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76045,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
6,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76046,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
7,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76047,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
8,case1,8,19,8,7,True,False,0.05000114440917969,0.028571536764502525,76048,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
9,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76049,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
10,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76050,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
11,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76051,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
12,case1,8,19,8,7,True,False,0.05000114440917969,0.02500009536743164,76052,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
13,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76053,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
14,case1,8,19,8,7,True,False,0.05000114440917969,0.028571536764502525,76054,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
15,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76055,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
16,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76056,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
17,case1,8,19,8,7,True,False,0.05000114440917969,0.02500009536743164,76057,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
18,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76058,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
19,case1,8,20,8,8,True,True,0.05000114440917969,0.0312502384185791,76059,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
20,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76060,2,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_02/case1/case1_episode_summary.csv
1,case1,8,20,8,8,True,True,0.0500030517578125,0.037500619888305664,76061,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
2,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76062,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
3,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76063,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
4,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76064,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
5,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76065,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
6,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76066,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
7,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76067,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
8,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76068,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
9,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76069,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
10,case1,8,20,8,8,True,True,0.05000114440917969,0.0312502384185791,76070,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
11,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76071,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
