episode,step,time,case,defender_id,target_id,defender_pos_x,defender_pos_y,defender_pos_z,defender_vx,defender_vy,defender_vz,defender_speed,defender_pitch,defender_yaw,load_y,load_z,load_norm,dist_to_target,tgo
1,846,42.3,case2,10,22,721.6677536641658,-861.3341662873863,175.58117262638424,3.713738095297218,-35.25686978567877,-3.0821358260720837,35.58564709226358,-0.08672042342348892,-1.465849576045515,-0.09999902899876656,-0.5802236703166505,0.6697959124835403,2.994901227723262,0.14234923932100504
1,847,42.35,case2,2,22,719.2407009959828,-861.0220874920209,175.947162610323,3.2881893524745793,-35.43489798201946,-0.4525867957316718,35.59001291123009,-0.01271702249769437,-1.478266085276579,-0.09999901819951296,-0.06922009181835387,0.40026251761115994,2.8884296972979935,0.14909213889975645
1,847,42.35,case2,18,22,720.7410435535778,-862.8203438599979,174.54846760194437,3.1504589450576272,-35.374311479042824,-2.3910250394605796,35.5947229926033,-0.06722420251629727,-1.4819700392958965,-0.09999900654869472,-0.24731496882126905,0.3015297905153873,2.135040968632034,0.098984337719988
1,1266,63.3,case2,16,20,-207.01453828091854,-49.97213756854979,0.0,37.25857140889983,-5.1558736289522855,0.0,37.61976452166312,-0.01807866833077936,-6.4206928944699815,-0.09971292194933523,-0.49834135842090443,0.7750983830628514,2.6735392944429153,0.08622405372988184
1,1267,63.35,case2,0,20,-207.54310417872736,-51.323727068886214,0.41309096139183854,37.328388110874435,-3.24477663387932,-2.199540160462577,37.533653049994065,-0.058635407549548595,-6.369892533345904,-0.0996465252691569,-0.1520515432393014,0.25909267525853796,2.870643279318206,0.10065850256677532
1,1270,63.5,case2,8,20,-203.19262750481758,-50.49916259424114,0.0,36.84638860467022,-2.5585420750335053,0.0,37.24879235599884,-0.12986971230335953,-6.352512096037722,-0.09976044053541805,-0.16670342238990848,0.5438310309713136,2.894643787126315,0.0859083410476016
1,1339,66.95,case2,7,27,-15.110236034061858,-18.538633130964676,0.0,33.874571169003254,11.188438087614069,0.0,35.80143300199851,-0.08424303348057237,-5.964176089838466,-0.09999438606049023,0.4908075548560772,0.5417894928276532,2.9635797418246037,0.0967867517592069
1,1343,67.15,case2,15,27,-9.708922695420416,-16.843377871110278,0.011767092293211573,31.936010395198352,12.693052785710849,-3.3659073713670495,34.53044571701446,-0.0976315397149392,-5.904876826280407,-0.099999182976936,0.43370450606133537,0.4755653738346776,2.955257530871085,0.088934732320742
1,1367,68.35,case2,13,25,-167.77460448403244,18.970992773429725,0.0,3.3372053788926084,3.8328562016165546,0.0,28.93603751392194,-1.3942484590404078,0.8544161987396203,0.010951404094739449,-0.8024820501338973,0.8054298897422237,2.7749190294299027,0.12865678984212175
1,1368,68.4,case2,5,25,-168.09083368911632,18.472958445798547,0.0,4.447941111035006,5.782613456090479,0.0,30.10504069496279,-1.3260282010903086,0.9151249382080155,0.02664726194624999,-0.6117543730224819,0.6634866335535469,2.62477518445291,0.10734980970629274
2,847,42.35,case2,10,22,721.6237531375913,-862.2804591466969,175.1387683523907,2.034713609163703,-35.5269887128211,-1.1646620135994572,35.604261319091506,-0.03271714604816436,-1.5135864886104666,-0.09999898295476937,-0.7657839025344666,0.9343327627031514,2.745240637818809,0.10815792202478837
2,847,42.35,case2,18,22,720.7197549030042,-862.4054757179327,175.85212180226398,3.556736298215001,-35.36338420939315,-0.9134302215777196,35.55353246311664,-0.025694514019535587,-1.4705566101074123,-0.09999909965214755,-0.25581603294731026,0.3368191021224087,1.8875823768566835,0.1010489073184753
2,848,42.4,case2,2,22,719.9509011573563,-862.2801450306778,176.96500489797785,0.8405743955936696,-35.530565484836714,-0.8467454647089389,35.55059249673348,-0.023820293427856437,-1.5471429563456631,-0.09999910611638634,-0.6846193634044047,0.7356100506529563,2.5943147725117726,0.10002268438240616
2,1264,63.2,case2,16,20,-208.77315746168537,-49.40734590344379,0.0,37.2561236577415,-3.5535657018693967,0.0,37.575624273088,-0.08950490807241013,-6.378279679081687,-0.09973558513966024,-0.10548893536828399,0.32715717114339854,2.763382161135553,0.08667112909416363
2,1269,63.45,case2,8,20,-205.68323034676632,-51.43239495253609,0.0,37.339064660163295,-2.2334611279203953,0.0,37.58003545050336,-0.09633161912542308,-6.342929790368272,-0.09947924605807866,-0.15873841519006812,0.22785300402295564,2.8752116056455708,0.09864055565543581
2,1341,67.05,case2,7,27,-13.062716342877494,-17.21815569634851,0.0,33.167653898414315,13.442154861346136,0.0,35.80563862865687,-0.031341987822018524,-5.89813633577618,-0.09999641016465582,0.4150715935686764,0.43008541478910156,2.595869112204638,0.08801843440255025
2,1342,67.1,case2,15,27,-12.955757802992046,-16.410467638733053,0.08072024567297714,31.68086048377185,12.70950659066705,-3.65864771753114,34.33065950271596,-0.10677361950571089,-5.901668112033066,-0.09999955954609122,0.09578784178628372,0.49319791745510433,2.8716475743436005,0.10102612296989609
2,1368,68.4,case2,5,25,-168.60023674334033,18.04560558931426,0.0,1.8958851495564681,4.083083129407518,0.0,28.77736493728018,-1.413716694115407,1.1360922668637115,0.016099855741276786,-0.5304243314012067,0.5339307987923566,2.901455200853413,0.1264590063368696
3,809,40.45,case2,0,20,-655.7810536664373,-500.0142552929904,175.58415519987457,-28.517656752665058,17.988404158645277,-3.1866663689463364,33.86730389896077,-0.094232105697052,-3.7043384992637662,0.00680530262101975,-0.8380380940956554,0.8407266395959864,2.791334126926657,0.11628003659668354
3,847,42.35,case2,2,22,718.759413723403,-861.5203377247979,175.7653178823456,-0.16204642431087724,-35.54796875521705,-0.7130082648586369,35.55548793718455,-0.02005473987029472,-1.5753548235964825,-0.09999909535255712,-0.7369063340672907,0.8227046725126216,2.5128321567148753,0.14049918372413497
3,1267,63.35,case2,16,20,-207.05917106608277,-50.91754307283306,0.0,37.03003042715696,-2.7465394266289977,0.0,37.19934706497684,-0.06029576593315973,-6.357220339356533,-0.09984688424944096,-0.4565840993709861,0.47048329096353564,2.660952210340865,0.09235808008318046
3,1272,63.6,case2,8,20,-203.4210423617192,-52.31746560092639,0.0,37.1265451090029,-4.00793659309621,0.0,37.35537161348939,-0.026502352709477376,-6.390722249782043,-0.09966494865339857,0.12533004086989424,0.20424172954038167,2.950774024887294,0.10372106497666128
3,1340,67.0,case2,7,27,-12.217808363900826,-18.380843321579814,0.4033831997518843,33.923590769052964,12.772323123601153,0.38518173042689546,36.250387771792276,0.010625789198678279,-5.923097862784922,-0.0999908750615141,0.39123356152459515,0.4382747014233446,2.9602840230240726,0.08453241665099522
3,1371,68.55,case2,13,25,-170.75969576335538,14.15303568902305,0.0,1.9081161464339584,4.808253421504412,0.0,32.66820048022994,-1.4117764419357186,1.1930154607466883,0.021530640582663435,-0.3190222369597353,0.3269047383889101,2.798463782894618,0.10967336826826259
4,809,40.45,case2,16,20,-655.8190978414299,-499.8448185015328,175.80530858078626,-28.82886624015357,18.312888271622132,-2.4396241647825683,34.24057785153418,-0.07130992435264462,-3.707512784324646,0.023303913254467727,-0.5240207451140605,0.562979424425446,2.718296970371752,0.11376657254112776
4,846,42.3,case2,10,22,720.7763510991591,-861.2417044193012,175.79094132359452,1.9197758540507275,-35.444441528415275,-2.8485492734622313,35.61050698255204,-0.08007737398210123,-1.5166862388023994,-0.09999896750554801,-0.22986834982097107,0.25450341985521235,2.987740204212993,0.15032905555790857
4,847,42.35,case2,2,22,719.3244313912771,-860.9670451971273,175.77386119698087,0.586555360516486,-35.48689739681975,-2.603583849001306,35.58711259574374,-0.07322628586640441,-1.5542690449951961,-0.09999902537370928,-0.4060380936708401,0.434319544853689,2.9416131086015036,0.14859067906350437
4,847,42.35,case2,18,22,720.5871635819763,-862.3281809931249,176.45587011268722,0.8751566903603804,-35.52109691673912,-0.7689195272045376,35.54019502817018,-0.021636896632019734,-1.5461636506321972,-0.09999912897777682,-0.4239662626306756,0.435852642320216,1.9317276250720097,0.10331811989328371
4,1270,63.5,case2,0,20,-204.1896471256432,-51.15341222993283,1.02470183379012,37.076277276266005,-2.8007509528238588,-0.003311790615267982,37.18191164443081,-8.906993947265266e-05,-6.358582353194516,-0.09975814445924405,0.04663197290507151,0.2358079003875021,2.9272003066481966,0.09572769068326324
