case,ci95,cumulative_reward,data_type,episode,mean,n_episodes,nominal_abs_reward_sum,nominal_cumulative_reward,normalized_variation,parameter,parameter_value,reward_value,scaling,seed,standard_deviation,x_name,x_value
,,,distance_curve,,,,,,,alpha_dist,,3.811209304756747,0.5,,,distance,483.4781951960773
,,,distance_curve,,,,,,,alpha_dist,,3.807920302254469,0.5,,,distance,492.1117343960073
,,,distance_curve,,,,,,,alpha_dist,,3.8046341380999693,0.5,,,distance,500.74527359593725
,,,distance_curve,,,,,,,alpha_dist,,3.8013508098438056,0.5,,,distance,509.3788127958672
,,,distance_curve,,,,,,,alpha_dist,,3.7980703150386512,0.5,,,distance,518.0123519957972
,,,distance_curve,,,,,,,alpha_dist,,3.79479265123929,0.5,,,distance,526.6458911957271
,,,distance_curve,,,,,,,alpha_dist,,3.791517816002618,0.5,,,distance,535.2794303956571
,,,distance_curve,,,,,,,alpha_dist,,3.7882458068876375,0.5,,,distance,543.912969595587
,,,distance_curve,,,,,,,alpha_dist,,3.7849766214554585,0.5,,,distance,552.546508795517
,,,distance_curve,,,,,,,alpha_dist,,3.7817102572692955,0.5,,,distance,561.1800479954469
,,,distance_curve,,,,,,,alpha_dist,,3.778446711894466,0.5,,,distance,569.8135871953768
,,,distance_curve,,,,,,,alpha_dist,,3.7751859828983876,0.5,,,distance,578.4471263953068
,,,distance_curve,,,,,,,alpha_dist,,3.771928067850579,0.5,,,distance,587.0806655952367
,,,distance_curve,,,,,,,alpha_dist,,3.7686729643226546,0.5,,,distance,595.7142047951667
,,,distance_curve,,,,,,,alpha_dist,,3.7654206698883255,0.5,,,distance,604.3477439950967
,,,distance_curve,,,,,,,alpha_dist,,3.7621711821233967,0.5,,,distance,612.9812831950267
,,,distance_curve,,,,,,,alpha_dist,,3.7589244986057646,0.5,,,distance,621.6148223949566
,,,distance_curve,,,,,,,alpha_dist,,3.755680616915416,0.5,,,distance,630.2483615948865
,,,distance_curve,,,,,,,alpha_dist,,3.7524395346344264,0.5,,,distance,638.8819007948165
,,,distance_curve,,,,,,,alpha_dist,,3.7492012493469575,0.5,,,distance,647.5154399947464
,,,distance_curve,,,,,,,alpha_dist,,3.7459657586392563,0.5,,,distance,656.1489791946764
,,,distance_curve,,,,,,,alpha_dist,,3.742733060099653,0.5,,,distance,664.7825183946063
,,,distance_curve,,,,,,,alpha_dist,,3.739503151318558,0.5,,,distance,673.4160575945363
,,,distance_curve,,,,,,,alpha_dist,,3.736276029888462,0.5,,,distance,682.0495967944662
,,,distance_curve,,,,,,,alpha_dist,,3.7330516934039335,0.5,,,distance,690.6831359943963
,,,distance_curve,,,,,,,alpha_dist,,3.729830139461616,0.5,,,distance,699.3166751943262
,,,distance_curve,,,,,,,alpha_dist,,3.726611365660227,0.5,,,distance,707.9502143942561
,,,distance_curve,,,,,,,alpha_dist,,3.7233953696005577,0.5,,,distance,716.5837535941861
,,,distance_curve,,,,,,,alpha_dist,,3.7201821488854687,0.5,,,distance,725.217292794116
,,,distance_curve,,,,,,,alpha_dist,,3.7169717011198893,0.5,,,distance,733.850831994046
,,,distance_curve,,,,,,,alpha_dist,,3.7137640239108154,0.5,,,distance,742.4843711939759
,,,distance_curve,,,,,,,alpha_dist,,3.710559114867309,0.5,,,distance,751.1179103939058
,,,distance_curve,,,,,,,alpha_dist,,3.7073569716004946,0.5,,,distance,759.7514495938358
,,,distance_curve,,,,,,,alpha_dist,,3.7041575917235585,0.5,,,distance,768.3849887937657
,,,distance_curve,,,,,,,alpha_dist,,3.700960972851747,0.5,,,distance,777.0185279936957
,,,distance_curve,,,,,,,alpha_dist,,3.697767112602364,0.5,,,distance,785.6520671936257
,,,distance_curve,,,,,,,alpha_dist,,3.6945760085947703,0.5,,,distance,794.2856063935557
,,,distance_curve,,,,,,,alpha_dist,,3.6913876584503797,0.5,,,distance,802.9191455934856
,,,distance_curve,,,,,,,alpha_dist,,3.6882020597926606,0.5,,,distance,811.5526847934156
,,,distance_curve,,,,,,,alpha_dist,,3.6850192102471313,0.5,,,distance,820.1862239933455
,,,distance_curve,,,,,,,alpha_dist,,3.6818391074413586,0.5,,,distance,828.8197631932754
,,,distance_curve,,,,,,,alpha_dist,,3.6786617490049576,0.5,,,distance,837.4533023932054
,,,distance_curve,,,,,,,alpha_dist,,3.6754871325695895,0.5,,,distance,846.0868415931353
,,,distance_curve,,,,,,,alpha_dist,,3.6723152557689573,0.5,,,distance,854.7203807930653
,,,distance_curve,,,,,,,alpha_dist,,3.6691461162388084,0.5,,,distance,863.3539199929952
,,,distance_curve,,,,,,,alpha_dist,,3.665979711616929,0.5,,,distance,871.9874591929251
,,,distance_curve,,,,,,,alpha_dist,,3.6628160395431446,0.5,,,distance,880.6209983928552
,,,distance_curve,,,,,,,alpha_dist,,3.659655097659317,0.5,,,distance,889.2545375927851
,,,distance_curve,,,,,,,alpha_dist,,3.6564968836093428,0.5,,,distance,897.8880767927151
,,,distance_curve,,,,,,,alpha_dist,,3.653341395039153,0.5,,,distance,906.521615992645
,,,distance_curve,,,,,,,alpha_dist,,3.650188629596709,0.5,,,distance,915.155155192575
,,,distance_curve,,,,,,,alpha_dist,,3.6470385849320026,0.5,,,distance,923.7886943925049
,,,distance_curve,,,,,,,alpha_dist,,3.643891258697053,0.5,,,distance,932.4222335924348
,,,distance_curve,,,,,,,alpha_dist,,3.640746648545907,0.5,,,distance,941.0557727923648
,,,distance_curve,,,,,,,alpha_dist,,3.6376047521346337,0.5,,,distance,949.6893119922947
,,,distance_curve,,,,,,,alpha_dist,,3.6344655671213273,0.5,,,distance,958.3228511922247
,,,distance_curve,,,,,,,alpha_dist,,3.631329091166101,0.5,,,distance,966.9563903921546
,,,distance_curve,,,,,,,alpha_dist,,3.6281953219310887,0.5,,,distance,975.5899295920847
,,,distance_curve,,,,,,,alpha_dist,,3.625064257080442,0.5,,,distance,984.2234687920146
,,,distance_curve,,,,,,,alpha_dist,,3.6219358942803264,0.5,,,distance,992.8570079919446
,,,distance_curve,,,,,,,alpha_dist,,3.618810231198924,0.5,,,distance,1001.4905471918745
,,,distance_curve,,,,,,,alpha_dist,,3.6156872655064265,0.5,,,distance,1010.1240863918044
,,,distance_curve,,,,,,,alpha_dist,,3.612566994875039,0.5,,,distance,1018.7576255917344
,,,distance_curve,,,,,,,alpha_dist,,3.6094494169789737,0.5,,,distance,1027.3911647916643
,,,distance_curve,,,,,,,alpha_dist,,3.6063345294944495,0.5,,,distance,1036.0247039915944
,,,distance_curve,,,,,,,alpha_dist,,3.603222330099692,0.5,,,distance,1044.6582431915242
,,,distance_curve,,,,,,,alpha_dist,,3.6001128164749305,0.5,,,distance,1053.2917823914543
,,,distance_curve,,,,,,,alpha_dist,,3.5970059863023947,0.5,,,distance,1061.925321591384
,,,distance_curve,,,,,,,alpha_dist,,3.5939018372663156,0.5,,,distance,1070.5588607913141
,,,distance_curve,,,,,,,alpha_dist,,3.590800367052923,0.5,,,distance,1079.192399991244
,,,distance_curve,,,,,,,alpha_dist,,3.5877015733504423,0.5,,,distance,1087.825939191174
,,,distance_curve,,,,,,,alpha_dist,,3.5846054538490946,0.5,,,distance,1096.4594783911039
,,,distance_curve,,,,,,,alpha_dist,,3.5815120062410943,0.5,,,distance,1105.093017591034
,,,distance_curve,,,,,,,alpha_dist,,3.578421228220648,0.5,,,distance,1113.726556790964
,,,distance_curve,,,,,,,alpha_dist,,3.57533311748395,0.5,,,distance,1122.3600959908938
,,,distance_curve,,,,,,,alpha_dist,,3.572247671729186,0.5,,,distance,1130.9936351908239
,,,distance_curve,,,,,,,alpha_dist,,3.569164888656525,0.5,,,distance,1139.6271743907537
,,,distance_curve,,,,,,,alpha_dist,,3.5660847659681223,0.5,,,distance,1148.2607135906837
,,,distance_curve,,,,,,,alpha_dist,,3.563007301368116,0.5,,,distance,1156.8942527906136
,,,distance_curve,,,,,,,alpha_dist,,3.5599324925626257,0.5,,,distance,1165.5277919905436
,,,distance_curve,,,,,,,alpha_dist,,3.5568603372597503,0.5,,,distance,1174.1613311904734
,,,distance_curve,,,,,,,alpha_dist,,3.553790833169566,0.5,,,distance,1182.7948703904035
,,,distance_curve,,,,,,,alpha_dist,,3.550723978004126,0.5,,,distance,1191.4284095903333
,,,distance_curve,,,,,,,alpha_dist,,3.547659769477458,0.5,,,distance,1200.0619487902634
,,,distance_curve,,,,,,,alpha_dist,,3.5445982053055616,0.5,,,distance,1208.6954879901934
,,,distance_curve,,,,,,,alpha_dist,,3.5415392832064088,0.5,,,distance,1217.3290271901233
,,,distance_curve,,,,,,,alpha_dist,,3.538483000899939,0.5,,,distance,1225.9625663900533
,,,distance_curve,,,,,,,alpha_dist,,3.5354293561080614,0.5,,,distance,1234.5961055899832
,,,distance_curve,,,,,,,alpha_dist,,3.5323783465546494,0.5,,,distance,1243.2296447899132
,,,distance_curve,,,,,,,alpha_dist,,3.5293299699655423,0.5,,,distance,1251.863183989843
