update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,6000,408943.79687391967,0.0,0.0,0.9249999999999999,1.0,0.875,0.8125,2.9928571428570034,0.010488788929903056,0.00021939480788774887,0.9906536877297327,-0.043635446764528754,0.8632928088307381,2.7580074191093447,0.25229315167849364,0.9284821838140488,2.7485318332910538,9.41214756667614,0.09852612533569335,0.0002999262307746768,25.782178163528442
2,12000,398032.4955252111,0.0,0.0,0.8999999999999999,0.96875,0.875,0.8125,2.9857142857141468,0.010968354058435536,0.0004404199578394689,0.9894169507254653,-0.026425370504148303,0.3622894987463951,2.7654794216156007,-0.10507905596127465,1.086655208468437,5.758242428302765,2.1511157393455504,0.25674032724804374,0.00029970499590002654,53.86267709732056
3,18000,397960.64550474286,0.0,0.0,0.9,1.0,0.875,0.8125,2.9857142857141463,0.011459312710044248,0.0006550658590606635,0.9889520027941691,-0.028490494191646575,0.26780330911278727,2.773982012271881,-0.08998843181166691,1.0595983207225799,6.332326051592827,0.6722385086119175,0.44601094657786267,0.0002993365137081604,81.81930327415466
4,24000,398068.3099875003,0.0,0.0,0.8999999999999999,1.0,0.84375,0.84375,0.12976190476190305,0.01192446740443731,0.0008697369452138958,0.9888600138600139,0.0033843457873445003,0.25359501913189886,2.7851369738578797,-0.0731814047978601,1.0573593616485595,2.5457160592079164,1.2291862525045871,0.30992523317163734,0.0002988211478465144,109.29813075065613
5,30000,392524.91435918584,0.0,0.0,0.8875,0.96875,0.875,0.78125,4.416071428571222,0.012403921404325521,0.0010914422627680278,0.9885626736977126,-0.012554356991313399,0.23650998547673224,2.7945273160934447,-0.03491112475936353,1.025523293018341,2.9988120436668395,0.7011584185063839,0.3589360713135365,0.000298159406918973,136.96751284599304
6,36000,397939.89550606534,0.0,0.0,0.9,1.0,0.875,0.8125,2.9803571428570046,0.012892134397556538,0.001303523134989707,0.9875181529072226,-0.016899633011780678,0.21052903905510903,2.8036019682884215,-0.017264578725382597,1.0147400945425034,1.911911940574646,1.1118271112442017,0.08979063119790492,0.0002973519439839389,164.84246230125427
7,42000,387122.16673082113,0.0,0.0,0.875,0.96875,0.84375,0.8125,1.5517857142856444,0.01335500038299906,0.0015276537939882663,0.9877436377564048,-0.014966551028192044,0.2049565866589546,2.808514893054962,-0.06672525838947836,1.0528486877679826,3.6508016347885133,1.3324811071157456,0.17331651289527905,0.00029639955590984266,192.5258240699768
8,48000,387124.549207801,0.0,0.0,0.875,0.96875,0.8125,0.78125,1.5517857142856448,0.013814805347331326,0.0017374359539970969,0.9868559768746812,-0.018099340001390372,0.1817906878888607,2.8132202506065367,-0.012283584984923124,1.0134235948324204,2.5364786207675936,0.8921948939561843,0.048173849618452905,0.00029530318258873023,229.66676664352417
9,54000,392560.0420779884,0.0,0.0,0.8875000000000001,1.0,0.84375,0.78125,2.9794642857141476,0.01428604756998463,0.0019478337674569152,0.9863751139790979,-0.012571359029971063,0.1638191156089306,2.8160801410675047,-0.058015728120226574,1.0495525002479553,3.455925667285919,0.9261479534208774,0.15497763180157254,0.0002940639060087029,261.56058979034424
10,60000,403501.36813440174,0.0,0.0,0.9125,0.96875,0.875,0.84375,1.569642857142786,0.014765163142319576,0.0021709488551913654,0.9857940313461676,-0.005147006246261299,0.16035597659647466,2.818834400177002,-0.04997407371315492,1.046573320031166,5.398292201757431,0.9769479271024466,0.07977130015243367,0.00029268294918612537,289.55858397483826
11,66000,392589.88576068357,0.0,0.0,0.8875,0.96875,0.84375,0.8125,1.801190476190394,0.015233188885162697,0.0023874946048431335,0.9850712742980562,0.0033745063003152607,0.15419248640537261,2.819967806339264,-0.026344009148630797,1.0493484258651733,6.755665194988251,0.9837861984968186,0.1140569673406015,0.00029116167495865663,317.6753203868866
12,72000,398045.5242637098,0.0,0.0,0.9,0.96875,0.875,0.84375,1.5535714285713582,0.01570683213201725,0.0026136218842581793,0.9854555047485051,-0.0020399895496666432,0.135006919875741,2.8199597001075745,-0.0070763767768994516,1.044657900929451,6.002737206220627,0.3557232603430748,0.1320936644758436,0.0002895015846402935,345.48009872436523
13,78000,392590.25969163515,0.0,0.0,0.8875,0.9375,0.875,0.84375,1.564285714285644,0.01617798184330922,0.002843141957189699,0.9857244207575574,0.012751706561539322,0.13284482173621653,2.8193787574768066,0.01108129175533712,1.0726508855819703,6.546363162994385,0.45290848836302755,0.12591163945121372,0.0002877043165397551,375.7935559749603
14,84000,408950.515422523,0.0,0.0,0.925,1.0,0.875,0.8125,2.987499999999861,0.016667615934192907,0.0030557507430423983,0.9846003286740402,0.0019966350868344308,0.118368474021554,2.818530595302582,-0.012776349772496332,1.0363885849714278,6.191822481155396,0.32477526143193247,0.2700426040677466,0.0002857716443436699,414.4280152320862
15,90000,403520.2445707377,0.0,0.0,0.9125,1.0,0.84375,0.8125,1.5601190476189768,0.01714356856616227,0.0032625596234645672,0.9842131580827201,0.0018988220777828245,0.11985256597399711,2.8173282623291014,-0.01507513995184464,1.0425751030445098,6.353656828403473,0.2655526604503393,0.11258873936722327,0.00028370547536616097,451.7332465648651
16,96000,403512.2344610393,0.0,0.0,0.9125000000000001,1.0,0.875,0.84375,1.5499999999999303,0.01762167375312704,0.0034834451957873177,0.9855954191643553,-0.0009647905360907316,0.11523546278476715,2.8158520698547362,-0.00939683294086322,1.0839663356542588,5.176937794685363,0.24845543839037418,0.0869288362853512,0.00028150784866655756,480.48475885391235
17,102000,398058.1456875056,0.0,0.0,0.9,1.0,0.875,0.84375,1.5464285714285018,0.018096168982293645,0.003708484417183997,0.9835846367683023,-0.017447703646030276,0.11054621785879135,2.813751530647278,-0.006738252473501483,1.1785356998443604,5.068851339817047,0.21667125523090364,0.0497163236512816,0.00027918093303708956,507.9416892528534
18,108000,392572.55509959534,0.0,0.0,0.8875,0.96875,0.875,0.84375,1.5535714285713584,0.01856814913397661,0.003935700387569174,0.9838759958434361,-0.014656234672293067,0.1069851353764534,2.8114444971084596,-0.02452281046171976,1.1527590066194535,4.837490999698639,0.24478657618165017,0.05182051018574089,0.00027672702486255125,535.6294028759003
19,114000,403499.8923545182,0.0,0.0,0.9125000000000001,1.0,0.875,0.8125,3.0017857142855746,0.019051172723443525,0.004150707690380982,0.9830591567708901,-0.006612647051224485,0.10185819156467915,2.809033954143524,0.0051863757324230875,1.0499979615211488,7.803454065322876,0.5129444371908903,0.11113941154025504,0.000274148545854047,562.814539194107
20,120000,408952.17699993774,0.0,0.0,0.9249999999999999,1.0,0.875,0.875,0.11071428571428488,0.019537245981343675,0.004362167344433495,0.9826013076724169,-0.002748341951519251,0.1068851262331009,2.806726884841919,-0.046075849875074584,1.2588565438985824,9.602391135692596,0.3823288753628731,0.1737648900235175,0.00027144804065905466,590.3442356586456
21,126000,392523.756646879,0.0,0.0,0.8875,1.0,0.84375,0.75,4.682440476190256,0.020013506862404308,0.0045655371776596445,0.9807928293229472,0.0005485458066686987,0.1048125471919775,2.8047227025032044,-0.12591205674665992,1.7095486044883728,10.955742692947387,0.23844653740525246,0.10867157414792933,0.0002686281743501657,618.0861971378326
22,132000,392558.5471996814,0.0,0.0,0.8875,0.96875,0.875,0.84375,1.5446428571427877,0.020481680760143693,0.004791674817705322,0.9815802229762481,-0.021715841989498587,0.10818693004548549,2.8019245982170107,-0.040007479675468714,1.2170643776655197,4.5655482172966,0.24608642142266035,0.06116632608331597,0.0002656917297949805,645.6366069316864
23,138000,403477.1868266016,0.0,0.0,0.9125000000000001,1.0,0.875,0.875,0.10892857142857121,0.020961889450160573,0.005005548892881007,0.9813386098353514,-0.007888550555799156,0.10263095013797283,2.7985615968704223,-0.011496032543701063,1.1422762036323548,7.200282168388367,0.28313944563269616,0.1311833762850457,0.0002626416049097537,672.6757590770721
24,144000,397935.1019370705,0.0,0.0,0.8999999999999999,0.96875,0.875,0.8125,3.0374999999998584,0.021446021504716365,0.005210647479540208,0.9805067151702218,-0.0060544635285623375,0.10235098637640476,2.794886922836304,-0.02208046940972963,140.8916793435812,7.945058417320252,0.3467481344938278,0.08204133758555394,0.00025948080979950103,700.5925514698029
25,150000,414483.5853547156,0.0,0.0,0.9375,1.0,0.875,0.875,0.11785714285714174,0.02192352772122417,0.005422922855575193,0.978723016336056,-0.011486532869457732,0.10179097168147563,2.7911206603050234,-0.010045234184367402,1.1230931520462035,5.813482022285461,0.533387765288353,0.07820177719467125,0.00025621246378738883,728.4735178947449
26,156000,398060.32212379575,0.0,0.0,0.8999999999999999,0.96875,0.875,0.84375,1.5249999999999315,0.02239272831727751,0.005644440579491714,0.9797842954413498,-0.008102141483686865,0.10704851672053337,2.7875438570976256,-0.01996771048962085,10820.488839536905,5.664689731597901,0.30472034998238084,0.0905684199661371,0.00025283979233633894,756.3263068199158
27,162000,392524.35882769525,0.0,0.0,0.8875000000000001,0.96875,0.84375,0.75,4.421428571428365,0.022863918084437624,0.005845461661287491,0.9798416510986567,-0.01883092019124888,0.10048965252935886,2.7836538195610045,0.004567670793933587,1.129857251048088,6.146662926673889,0.20616863369941713,0.06394799217713164,0.0002493661238658859,790.7517504692078
28,168000,414359.18258086033,0.25,0.25,0.9375,1.0,0.90625,0.90625,0.15178571428571166,0.023341636021087662,0.006060102276991816,0.9799606500036435,-0.010689174081198871,0.10188775211572647,2.780414855480194,0.007475139730347991,2.101572135090828,6.410593736171722,0.25056385695934297,0.12343429222996315,0.0002457948864674291,822.5560355186462
29,174000,392593.195044443,0.0,0.0,0.8875,0.96875,0.875,0.84375,1.5553571428570725,0.02380634820512998,0.006283346299942867,0.9783135030437189,-0.01215488220914267,0.10483156777918338,2.7766098499298097,-0.003646821818549739,86.16014661192894,6.996485614776612,0.35272340923547746,0.15883766354080536,0.00024212960452111996,856.7179353237152
30,180000,408943.30129423365,0.0,0.0,0.925,1.0,0.875,0.875,0.10357142857142827,0.024285925396219585,0.006490717198214337,0.9773848456293996,-0.008024993597064167,0.10041140578687191,2.7732435345649717,-0.03278980595175547,20.48285784125328,8.537777662277222,0.2736956592649221,0.0662241143905129,0.00023837389521772471,901.2110664844513
31,186000,398052.9181360565,0.0,0.0,0.9,1.0,0.875,0.84375,1.5785714285713575,0.024753618672582446,0.006711229970217666,0.9770792288207149,-0.022480228601489217,0.10556410700082779,2.7697208762168883,-0.023453683600852315,2865.385530051589,5.618282985687256,0.4000502485781908,0.05681232451595101,0.0002345314649888935,934.6397652626038
32,192000,397996.4287186712,0.0,0.0,0.9,1.0,0.84375,0.75,4.71220238095216,0.02522684857274028,0.006907968739929977,0.9785533453887885,0.0011191273806616664,0.0995595932006836,2.766546833515167,-0.024063982592585374,17319.926894751192,9.251086664199828,0.21371735706925393,0.09869473528468091,0.00023060610584935994,970.71555352211
33,198000,398021.54806813877,0.0,0.0,0.9,1.0,0.875,0.84375,1.5767857142856434,0.025695432100314868,0.007129114231027977,0.9767065446868403,-0.014368094131350517,0.10060251727700234,2.76354798078537,-0.03042497459416822,56498.75762166679,6.700755262374878,0.22853220179677008,0.10287187707144484,0.00022660169165468046,1005.4865927696228
34,204000,392610.5143042356,0.0,0.0,0.8875,1.0,0.84375,0.84375,0.13958333333333095,0.02615128792701729,0.007342978380126366,0.9772247206323249,0.0037887670565396546,0.10342278853058814,2.7596171498298645,-0.3818378790529451,1126177.971090713,7.461379563808441,0.23417183794081212,0.16083871740996092,0.00022252217427820638,1037.3976347446442
35,210000,376159.66005358845,0.0,0.0,0.8500000000000001,0.9375,0.8125,0.75,3.220535714285565,0.02660348027423784,0.007553253437121354,0.9763496573625272,-0.0018802967388182878,0.09768913574516773,2.753936243057251,-0.01618809395335461,1.0957854449748994,9.001295220851897,0.16198707558214664,0.2069704100761762,0.0002183715797110622,1070.1328282356262
36,216000,408952.99384826794,0.0,0.0,0.925,1.0,0.875,0.8125,2.9499999999998625,0.02708454320846403,0.00776039478146528,0.9752411219097594,-0.0023412010748870673,0.09336683340370655,2.7506338119506837,-0.0020292525542857653,1.0406154811382293,9.77537386417389,0.29099507443606853,0.21573019595593082,0.00021415400408897832,1106.1887817382812
37,222000,381580.6416118294,0.0,0.0,0.8625,0.9375,0.84375,0.78125,2.9869047619046234,0.027552354361847504,0.007965429936873492,0.9746607757190507,0.006730633520055563,0.0961478266865015,2.7479408860206602,-0.0005163416746455596,1.0782386988401413,14.13173942565918,0.25691131576895715,0.1850705594681962,0.00020987360964989967,1139.9688744544983
38,228000,387021.59612333775,0.0,0.0,0.875,0.96875,0.84375,0.84375,0.09285714285714326,0.028023424356030946,0.008166224859006943,0.9752011795427495,-0.01476785796112381,0.09885067455470561,2.745852363109589,-0.023953248969965556,1.0844888359308242,5.892347633838654,0.3860671650618315,0.06944524531897625,0.00020553462062635936,1172.342390537262
39,234000,381631.1919945255,0.0,0.0,0.8624999999999999,0.96875,0.8125,0.71875,4.65386904761883,0.028482074495505605,0.008368027089080248,0.9735206514815006,-0.0009792684577405453,0.10672053210437298,2.7438933491706847,0.0006469747672714022,1.048012688755989,7.5715879678726195,0.3288183243945241,0.13404525166232484,0.00020114131907667107,1204.327918291092
40,240000,398014.8491314724,0.0,0.0,0.9,1.0,0.84375,0.84375,0.12023809523809423,0.028949432487813058,0.008566919761712442,0.9728953797321636,0.009522502950858325,0.100574841350317,2.741186964511871,0.0011642209305861683,1.0977184891700744,9.292671310901643,0.19438398368656634,0.13971856362188276,0.00019669804065905463,1236.385321855545
41,246000,403480.3136058301,0.0,0.0,0.9125,1.0,0.875,0.875,0.10714285714285689,0.029424793365823577,0.008777549478372807,0.9733018525245187,0.02571916035376489,0.0947205949574709,2.738189721107483,-0.054362909266136225,212.39234653115273,18.37525053024292,0.24527966789901257,0.2696888741132597,0.00019220917035286478,1271.6178696155548
42,252000,381591.80799140036,0.0,0.0,0.8624999999999999,0.96875,0.8125,0.71875,4.670833333333114,0.029882504649538705,0.008974950333930407,0.9734338168241022,0.0031725278357043864,0.10113011375069618,2.7347118973731996,0.015744353823383506,1.0343279361724853,12.672699356079102,0.2556737672537565,0.4284455833681353,0.00018767913813114574,1303.6564149856567
43,258000,403480.45176102966,0.0,0.0,0.9124999999999999,0.96875,0.875,0.8125,2.976785714285576,0.030355983418484077,0.009185017653413001,0.9728188833408987,-0.013910718006081879,0.09492493830621243,2.731981945037842,-0.02350642200458051,1.0732839554548264,8.81416621208191,0.18860205747187136,0.09646107537037547,0.0001831124145887831,1335.5800068378448
44,264000,387110.7252867967,0.0,0.0,0.875,0.9375,0.84375,0.78125,2.9755952380951003,0.0308145115003838,0.009392271512551507,0.9734626268203465,0.028119141864590348,0.09752162024378777,2.7295281887054443,0.0021139494909334644,17.980942305922508,12.299495792388916,0.1926316361874342,0.27928800015572636,0.00017851350653056583,1367.2878468036652
45,270000,398077.2022860944,0.0,0.0,0.9,0.96875,0.875,0.875,0.13928571428571207,0.03127534679367278,0.00961179266862885,0.9717948273170394,-0.005020842916565016,0.09841916263103485,2.725739765167236,0.006761071158936005,1.0411708772182464,10.555672764778137,0.22463315017521382,0.14375730633128259,0.0001738869525235145,1403.2567429542542
46,276000,408792.9175098967,0.25,0.0,0.9249999999999999,1.0,0.90625,0.84375,2.8033482142855846,0.03176064240053706,0.00980514665506406,0.9712109672505712,0.014356064237654209,0.08744588792324066,2.7223156213760378,0.01351357580399295,1.0240849822759628,15.463696360588074,0.2770608503371477,0.30831619320234416,0.0001692373184178635,1437.3984649181366
47,282000,387118.48245610297,0.0,0.0,0.875,1.0,0.8125,0.75,3.2505952380950864,0.032214263116811345,0.00999139814916717,0.9710209848041074,0.017884994787164033,0.09176625423133374,2.7186589360237123,-0.008640131770461324,1.0776853144168854,15.989592885971069,0.1300304614007473,0.28242953648100017,0.00016456919284111787,1469.326652765274
48,288000,398024.001229614,0.0,0.0,0.9,1.0,0.875,0.875,0.1160714285714273,0.03268185421614085,0.01020488211580843,0.9712663178384556,-0.017285507719498126,0.08794214725494384,2.7151010513305662,-0.023775561295142113,1.1047596037387848,7.4347205519676205,0.12441697902977467,0.042391158275216244,0.00015988718266963235,1501.6543169021606
49,294000,381704.0332021788,0.0,0.0,0.8625,1.0,0.78125,0.75,1.7973214285713475,0.03311877743652722,0.010386679692385372,0.9704068844514997,-0.0001789977541193366,0.0907972738146782,2.712219405174255,0.028686127816794738,1.0367468684911727,15.18951473236084,0.17370024435222148,0.46767637431882936,0.00015519590848218017,1532.5306124687195
50,300000,392553.2451223284,0.0,0.0,0.8875,1.0,0.84375,0.84375,0.1306547619047596,0.03357876357265657,0.010592440497498714,0.9687648060083879,-0.013484592994791456,0.08926885351538658,2.709801232814789,-0.015502754536151997,1.0603517532348632,11.011108756065369,0.13857009820640087,0.07799523871156396,0.0001505,1560.5787522792816
51,306000,398063.23107665405,0.0,0.0,0.9,1.0,0.84375,0.8125,1.5193452380951695,0.034039387769450126,0.010801874634467487,0.9698381990854731,0.00244493642821908,0.08926160000264645,2.7072643041610718,0.02157213025429705,1.0283120036125184,16.147976016998292,0.1464548347517848,0.46465648137489296,0.00014580409151781983,1594.2148327827454
52,312000,398050.21697331965,0.0,0.0,0.9,1.0,0.875,0.84375,1.5410714285713587,0.03450538678474601,0.011019165260930112,0.9698217459395732,-0.007708088471554219,0.08748911358416081,2.7048277020454408,-0.005828686591763698,1.0715742081403732,18.442185831069946,0.16135441698133945,0.29527360797960783,0.00014111281733036765,1629.4326915740967
53,318000,397957.2625709772,0.0,0.0,0.9,1.0,0.84375,0.84375,0.08005952380952444,0.03497879490755272,0.011206094435469766,0.9675352099744762,0.008752492009080015,0.07849907502532005,2.7024249792099,-0.002855762663164896,1.0726250529289245,21.994240760803223,0.11035022083669901,0.3077707257120024,0.0001364308071588821,1657.2724595069885
54,324000,408919.72020952404,0.0,0.0,0.925,1.0,0.875,0.78125,4.38571428571408,0.03546030217336536,0.011406007794301298,0.9693825863459843,-0.01193004243541509,0.07602960839867592,2.6999876856803895,0.011919198956768184,1.0212361335754394,10.02142791748047,0.15035236142575742,0.1448725723421031,0.00013176268158213652,1682.8526258468628
55,330000,397951.68046238273,0.0,0.0,0.8999999999999999,0.96875,0.875,0.8125,2.9928571428570043,0.03593298755015133,0.01160547559950402,0.9679411764705882,-0.010443610814400017,0.07597551830112934,2.6974437952041628,0.013184777596870844,1.0313898116350173,11.274568319320679,0.18137398846447467,0.1136563707094176,0.00012711304747648549,1710.635024547577
