case,time_relative_to_closest_s,absolute_time_s,distance_m,closing_speed_mps,range_rate_mps,los_rate_radps,heading_error_deg,tgo_s,nx_g,ny_g,nz_g,lateral_control_g
case1,-2.0,31.1,154.62012030868829,77.19849680775803,-77.19849680775803,0.008232726290183104,8.595834781969254,4.601069667332526,0.017986871882751262,-0.06835172428610439,-0.46376313839597805,0.46877308662909684
case1,-1.0,32.1,77.37292121479122,77.1481994874447,-77.1481994874447,0.0456739925865705,11.27415687685058,2.2905013893269333,0.018166372413255326,-0.19058042681044118,0.3538461544070246,0.4019054616099286
case1,-0.5,32.6,38.842585958029105,76.94671378487833,-76.94671378487833,0.17903132115402776,14.239879596068713,1.1468805463602554,0.01789675658095894,0.11709190476089032,0.17248263751397502,0.2084724787695266
case1,-0.25,32.85,19.655657566710737,76.26359741825671,-76.26359741825671,0.6625258488118329,18.324517067897748,0.5796214162436976,0.01718023685857622,0.18859422135935264,0.24305661551326802,0.3076431352637421
case1,0.0,33.1,3.243160704674884,1.0248042254385463,-1.0248042254385463,23.88714934154352,97.32201425306425,0.09551737590329089,0.017255034224174296,0.179829853619853,-0.14679116210404294,0.23213449016635412
case1,0.25,33.35,19.604576632472508,-76.42523735509303,76.42523735509303,0.6244315315531932,178.88307384980013,0.5767199263916815,0.01664270857600829,-0.525852843034717,-0.4289763482724821,0.6786323893721022
case1,0.5,33.6,38.817840945338936,-76.98071371350284,76.98071371350284,0.12365154679498665,172.7574212641196,1.140478317475311,0.017920173354225685,-0.8094508917802843,0.1099160695574207,0.8168796046853228
case1,1.0,34.1,77.13922866816708,-76.09882948656099,76.09882948656099,0.027474711465904484,163.64380286309466,2.2606161002950866,0.01720084975973664,-0.9692252552078345,0.6736367775435314,1.180332200438472
case1,2.0,35.1,151.1271232846111,-71.26600426740283,71.26600426740283,0.06814117382239455,145.60660589974586,4.408702643918776,0.01517574300435015,-0.999197269916406,0.9914871243087882,1.4076369922243837
case2,-2.0,24.150000000000002,161.0305928535012,80.24852750656743,-80.24852750656743,0.02491887727621719,21.940639266623936,4.02576482133753,0.19676258519421225,0.5085846775594707,0.08162205596123737,0.5150927433653187
case2,-1.0,25.150000000000002,81.56096645496801,79.21556785424639,-79.21556785424639,0.07233827244816073,25.344391721439766,2.0390241613742,0.2376617152896996,-0.1940738049522963,-0.15252321569884808,0.24683592343048305
case2,-0.5,25.650000000000002,41.905693164775435,79.42331675364639,-79.42331675364639,0.18315230724339568,25.853024057878734,1.047642329119386,0.2723271664900289,-0.46332421087638953,0.07037778447105773,0.46863883421168134
case2,-0.25,25.900000000000002,22.071473902707055,79.07448701292635,-79.07448701292635,0.5478563579245207,28.584688514472525,0.5517868475676764,0.2805317337442393,-0.5200254836944465,-0.11121036357012618,0.5317840244469955
case2,0.0,26.150000000000002,3.5743973919113023,41.32433383416827,-41.32433383416827,19.312623836211966,77.92741756305858,0.08935993479778256,0.2868849975551323,-0.7336482421327986,-0.036395894824059596,0.7345504777376362
case2,0.25,26.400000000000002,18.513516447524157,-79.23534835963318,79.23534835963318,0.7361840101211964,170.79271945617333,0.4628379111881039,0.1420169998157642,0.03794838865675046,0.02706869410837129,0.04661324277902538
case2,0.5,26.650000000000002,38.43757271356514,-79.79496489041097,79.79496489041097,0.1582845960567934,164.50190331705548,0.9609393178391284,0.06694791264536884,0.46612970244211416,-0.34083726241947937,0.5774486461603134
case2,1.0,27.150000000000002,78.02202417625602,-78.34794066062344,78.34794066062344,0.034139896795368704,157.1548109904954,1.9505506044064007,0.01345143929893227,0.8355966985183185,-0.7639013883232615,1.1321515683233054
case2,2.0,28.150000000000002,153.60876721909065,-72.3066310592469,72.3066310592469,0.0587309636840499,142.25653470175652,3.8402191804772663,0.005280850086428984,0.9844094984892523,-0.9776105727265958,1.3873660269095116
