episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread
1,case2,8,18,8,6,True,False,27.699996948242188,4.028570652008057
2,case2,8,18,8,6,True,False,28.5,4.128571033477783
3,case2,8,17,8,5,True,False,0.1999988555908203,0.0642852783203125
4,case2,8,17,8,6,True,False,0.14999961853027344,0.0642852783203125
5,case2,8,20,8,7,True,False,28.199996948242188,3.5937492847442627
6,case2,8,18,8,6,True,False,28.400001525878906,4.114285469055176
7,case2,8,19,8,6,True,False,28.150001525878906,3.5749998092651367
8,case2,8,19,8,7,True,False,0.34999847412109375,0.11249923706054688
9,case2,8,19,8,7,True,False,27.699996948242188,3.518749475479126
10,case2,8,18,8,7,True,False,0.1999969482421875,0.08571352064609528
11,case2,8,20,8,7,True,False,27.699996948242188,3.5124993324279785
12,case2,8,19,8,6,True,False,26.75,3.3999996185302734
13,case2,8,19,8,7,True,False,27.650001525878906,3.5249996185302734
14,case2,8,16,8,5,True,False,0.14999961853027344,0.07499948889017105
15,case2,8,20,8,7,True,False,28.29999542236328,3.5937490463256836
16,case2,8,19,8,6,True,False,28.14999771118164,3.581249237060547
17,case2,8,18,8,7,True,False,0.1999988555908203,0.07857077568769455
18,case2,8,17,8,5,True,False,0.1999988555908203,0.07142802327871323
19,case2,8,17,7,7,False,False,0.1999988555908203,0.08571406453847885
20,case2,8,19,8,7,True,False,0.14999961853027344,0.05624961853027344
