condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m,training_seed
formal_ablation_full_case1,case1,full,1,98001,0,3,3,1,1,1,0.4500000000000064,0.1666666666666702,0.3630885651355364,2.7536269731630507,31.100000000000307,1.8372306074293727,8301
formal_ablation_full_case1,case1,full,1,98001,1,3,3,1,1,1,0.3000000000000042,0.1222222222222235,0.3351534485974679,2.247579124592366,29.85000000000029,1.867841072991996,8301
formal_ablation_full_case1,case1,full,1,98001,2,3,3,1,1,1,0.3000000000000042,0.1222222222222235,0.3294521351865907,1.4391747502836043,31.40000000000031,1.0613074747593831,8301
formal_ablation_full_case1,case1,full,1,98001,3,3,3,1,1,1,0.350000000000005,0.1444444444444457,0.3650192423588751,2.2834736809475094,31.000000000000306,1.4206196937722104,8301
formal_ablation_full_case1,case1,full,1,98001,4,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.427891182709619,1.9332409215005533,29.95000000000029,1.9332409215005533,8301
formal_ablation_full_case1,case1,full,1,98001,5,2,2,1,1,1,0.350000000000005,0.1750000000000025,0.3367986286235769,2.61832850397172,29.10000000000028,1.4985079560390453,8301
formal_ablation_full_case1,case1,full,1,98001,6,2,2,1,1,1,0.2999999999999829,0.1499999999999914,0.3603930562171195,1.392115608482043,33.40000000000024,1.3688389412022883,8301
formal_ablation_full_case1,case1,full,1,98001,7,2,2,1,1,1,0.1499999999999914,0.0749999999999957,0.5117350780523144,2.609245762986768,33.850000000000215,1.9885888162809984,8301
formal_ablation_full_case1,case1,full,2,98002,0,3,3,1,1,1,0.3000000000000042,0.1333333333333352,0.3103400364129329,0.9481216404285736,29.450000000000284,0.6315086843042598,8301
formal_ablation_full_case1,case1,full,2,98002,1,3,3,1,1,1,0.2500000000000035,0.1000000000000014,0.4372831872808698,2.1811009234253507,28.40000000000027,1.4835882752749974,8301
formal_ablation_full_case1,case1,full,2,98002,2,3,3,1,1,1,0.4000000000000057,0.1444444444444457,0.4040087964329246,1.8892531013385456,29.05000000000028,1.7461923046815653,8301
formal_ablation_full_case1,case1,full,2,98002,3,3,3,1,1,1,0.2500000000000035,0.0888888888888909,0.3517152567239761,2.11801840248674,26.40000000000024,1.8691220033926663,8301
formal_ablation_full_case1,case1,full,2,98002,4,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.3588487664396966,1.690529595102681,29.650000000000286,1.188352847415828,8301
formal_ablation_full_case1,case1,full,2,98002,5,2,2,1,1,1,0.2500000000000035,0.1250000000000017,0.4030465963422587,1.3961699454727017,30.350000000000296,1.3961699454727017,8301
formal_ablation_full_case1,case1,full,2,98002,6,2,2,1,1,1,0.350000000000005,0.1750000000000025,0.3251038102858629,1.7807492267674998,31.050000000000303,1.11843784112867,8301
formal_ablation_full_case1,case1,full,2,98002,7,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.3466082097037988,1.5129461840849747,31.20000000000031,1.5129461840849747,8301
formal_ablation_full_case1,case1,full,3,98003,0,3,3,1,1,1,0.3000000000000042,0.1222222222222247,0.3911063456487864,1.2389519066602148,29.400000000000283,0.8782246083751151,8301
formal_ablation_full_case1,case1,full,3,98003,1,3,3,1,1,1,0.2000000000000028,0.0888888888888909,0.4142390272119933,2.154704292172736,28.40000000000027,1.883999414666322,8301
formal_ablation_full_case1,case1,full,3,98003,2,3,3,1,1,1,0.2500000000000035,0.1000000000000014,0.4247019719707062,1.4261760629681672,30.6500000000003,1.0944221558503875,8301
formal_ablation_full_case1,case1,full,3,98003,3,3,3,1,1,1,0.3000000000000042,0.111111111111113,0.471111311126863,1.7127629629037298,29.25000000000028,1.3475049168820643,8301
formal_ablation_full_case1,case1,full,3,98003,4,2,2,1,1,1,0.3000000000000042,0.1500000000000021,0.3567701758263182,2.0238019105428613,30.00000000000029,1.83587107795458,8301
formal_ablation_full_case1,case1,full,3,98003,5,2,2,1,1,1,0.2500000000000035,0.1250000000000017,0.3813299626279273,1.5279290028304746,30.950000000000305,0.7850326321709956,8301
formal_ablation_full_case1,case1,full,3,98003,6,2,2,1,1,1,0.3499999999999801,0.17499999999999,0.2686024885294579,1.7799643878791187,33.70000000000022,1.6905718543691126,8301
formal_ablation_full_case1,case1,full,3,98003,7,2,2,1,1,1,0.2499999999999858,0.1249999999999929,0.3542754160942103,1.1103522927158558,32.450000000000294,1.1103522927158558,8301
formal_ablation_full_case1,case1,full,4,98004,0,3,3,1,1,1,0.4999999999999716,0.1999999999999886,0.3952011581305805,0.6312347451398569,34.200000000000195,0.6312347451398569,8301
