episode,seed,defender_id,target_index,target_id,hit_time_s,min_distance_m,miss_at_arrival_m
1,73501,0,0,20,37.6,0.7821446885764375,1.1180158290631221
1,73501,1,1,21,35.800000000000004,0.2611192907643299,0.2611192907643299
1,73501,2,4,24,37.85,2.9925917819337045,2.9925917819337045
1,73501,3,3,23,33.1,2.9437619768474437,2.9437619768474437
1,73501,4,5,25,40.550000000000004,2.299008975578402,2.299008975578402
1,73501,5,5,25,40.550000000000004,2.0059871162059317,2.0059871162059317
1,73501,6,1,21,35.85,0.6855646728446989,0.6855646728446989
1,73501,7,1,21,35.800000000000004,0.5248308523592764,0.5248308523592764
1,73501,8,6,26,37.45,0.8092587393019944,0.8092587393019944
1,73501,9,0,20,37.6,0.13105350582135036,2.0080501463813336
1,73501,10,2,22,34.85,0.5353445992961514,0.5353445992961514
1,73501,11,3,23,33.050000000000004,0.6661860565974634,2.4907872421275856
1,73501,12,4,24,37.75,0.8985925903344734,1.1615976497955907
1,73501,13,5,25,40.550000000000004,0.7802849110512807,0.7802849110512807
1,73501,14,0,20,37.65,0.6131602553880401,0.6131602553880401
1,73501,15,7,27,34.550000000000004,0.34872861077322787,0.34872861077322787
1,73501,16,7,27,34.550000000000004,1.620468285763052,1.620468285763052
1,73501,17,6,26,37.45,0.8809852920742687,0.8809852920742687
1,73501,18,2,22,34.85,1.9671807432128825,1.9671807432128825
1,73501,19,4,24,37.7,0.33810627298180546,1.7221997653051293
2,73502,0,1,21,35.75,1.1518820093521116,1.1518820093521116
2,73502,1,0,20,39.1,1.2645761983396069,1.2645761983396069
2,73502,2,4,24,36.95,1.4550998756586921,1.4550998756586921
2,73502,3,3,23,33.25,1.3075988722695884,1.3075988722695884
2,73502,4,5,25,40.85,1.1276754416828023,1.1276754416828023
2,73502,5,5,25,40.85,0.7206751633741744,0.7206751633741744
2,73502,6,0,20,39.1,2.5581352740338135,2.5581352740338135
2,73502,7,0,20,39.1,0.4782816230271441,0.4782816230271441
2,73502,8,7,27,36.300000000000004,1.194077469317979,1.194077469317979
2,73502,9,1,21,35.75,0.14249574736343962,0.14249574736343962
2,73502,10,2,22,35.35,0.8433449505451589,2.818473379532113
2,73502,11,4,24,36.75,0.9238120159169881,0.9238120159169881
2,73502,12,4,24,36.85,0.9893724993656771,0.9893724993656771
2,73502,13,2,22,35.4,1.4117675849261677,1.4117675849261677
2,73502,14,6,26,36.050000000000004,0.7014971929340358,1.594502511697056
2,73502,15,7,27,36.25,0.7403810982606661,1.239770195105234
2,73502,16,6,26,36.1,0.4233550929947953,0.4233550929947953
2,73502,17,1,21,35.75,2.545486475048083,2.545486475048083
2,73502,18,2,22,35.4,2.287448998394378,2.287448998394378
2,73502,19,3,23,33.2,0.4490786168863111,2.0807029586596784
3,73503,0,1,21,35.7,1.0545563818957797,1.0545563818957797
3,73503,1,1,21,35.7,1.6637592914420305,1.6637592914420305
3,73503,2,2,22,35.550000000000004,2.2697613502844427,2.2697613502844427
3,73503,3,3,23,34.4,0.9665421257665684,2.821710588708716
3,73503,4,5,25,40.2,2.7452867346446816,2.7452867346446816
3,73503,5,4,24,38.650000000000006,0.8453898609272829,1.2148060962508909
3,73503,6,7,27,35.85,0.4100945095545922,0.4100945095545922
3,73503,7,0,20,40.75,0.19246358746460837,1.7080143479398775
3,73503,8,0,20,40.800000000000004,0.8731204777425992,0.8731204777425992
3,73503,9,1,21,35.65,0.5766309594875815,2.426401793312931
3,73503,10,4,24,38.7,0.7234695536234241,0.7234695536234241
3,73503,11,3,23,34.35,0.7938835625919127,1.2962590337562905
3,73503,12,2,22,35.550000000000004,1.5899585115385577,1.5899585115385577
3,73503,13,2,22,35.5,0.5437551404714728,2.5153298774411423
3,73503,14,0,20,40.75,0.6311630652802214,2.530817949555743
3,73503,15,6,26,36.9,0.7201538619457327,1.2744694108526962
3,73503,16,6,26,36.9,0.640854307043662,2.3949813371573287
3,73503,17,3,23,34.5,2.708763238608253,2.708763238608253
3,73503,18,5,25,40.2,2.64595361966246,2.64595361966246
3,73503,19,6,26,37.65,0.3601476639345296,0.3601476639345296
