episode,case,mode,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,mean_target_time,max_sync_spread,mean_sync_spread
1,case2,baseline,8,20,8,8,True,True,37.35624694824219,0.0500030517578125,0.04374980926513672
2,case2,baseline,8,20,8,8,True,True,34.51249694824219,0.10000228881835938,0.05624961853027344
3,case2,baseline,8,20,8,8,True,True,33.61249923706055,0.14999771118164062,0.07500052452087402
4,case2,baseline,8,20,8,8,True,True,34.724998474121094,0.15000152587890625,0.0937497615814209
5,case2,baseline,8,20,8,8,True,True,34.04999923706055,0.14999961853027344,0.07499980926513672
6,case2,baseline,8,20,8,8,True,True,35.493751525878906,0.10000228881835938,0.08749961853027344
8,case2,baseline,8,20,8,8,True,True,33.81875228881836,0.10000038146972656,0.0624997615814209
9,case2,baseline,8,20,8,8,True,True,36.23125076293945,0.09999847412109375,0.04374980926513672
10,case2,baseline,8,20,8,8,True,True,39.087501525878906,0.10000228881835938,0.0625
