episode,step,time,case,mode,defender_id,target_id,dist_to_target
1,721,36.04999923706055,case2,baseline,13,25,10.00346368949096
1,721,36.04999923706055,case2,baseline,14,25,10.137567172676246
1,722,36.099998474121094,case2,baseline,11,25,9.873571770920705
1,727,36.349998474121094,case2,baseline,0,20,11.731658592265605
1,728,36.400001525878906,case2,baseline,1,20,11.88782835011241
1,733,36.650001525878906,case2,baseline,15,26,11.77191920673549
1,733,36.650001525878906,case2,baseline,16,26,11.867633570361768
1,748,37.400001525878906,case2,baseline,2,21,11.98779247712693
1,749,37.45000076293945,case2,baseline,3,22,10.016767734503766
1,749,37.45000076293945,case2,baseline,4,21,11.234567475523274
1,750,37.5,case2,baseline,5,22,10.31023555176596
1,750,37.5,case2,baseline,6,22,10.535344691436066
1,751,37.54999923706055,case2,baseline,19,27,11.672742124443293
1,752,37.599998474121094,case2,baseline,17,27,10.546432651350854
1,752,37.599998474121094,case2,baseline,18,27,10.836515223022143
1,770,38.5,case2,baseline,7,23,11.10300568102873
1,770,38.5,case2,baseline,10,23,10.864099438216398
1,771,38.54999923706055,case2,baseline,8,23,10.638719133907681
1,778,38.900001525878906,case2,baseline,9,24,11.24792218595532
1,779,38.95000076293945,case2,baseline,12,24,11.325292101547241
2,647,32.349998474121094,case2,baseline,12,25,11.706008444632458
2,649,32.45000076293945,case2,baseline,13,25,9.96435879488722
2,675,33.75,case2,baseline,0,20,11.991679786277698
2,676,33.79999923706055,case2,baseline,1,20,11.187110780520548
2,678,33.900001525878906,case2,baseline,4,21,10.384681688856018
2,678,33.900001525878906,case2,baseline,14,26,10.506378110514547
2,679,33.95000076293945,case2,baseline,15,26,11.069371779533432
2,679,33.95000076293945,case2,baseline,16,26,11.2097866414487
2,680,34.0,case2,baseline,2,21,10.11042523616332
2,689,34.45000076293945,case2,baseline,7,23,11.20866368882949
2,689,34.45000076293945,case2,baseline,8,23,11.669975051531418
2,689,34.45000076293945,case2,baseline,10,23,11.494855477770598
2,693,34.650001525878906,case2,baseline,9,24,11.79133154153393
2,694,34.70000076293945,case2,baseline,11,24,11.581224246069691
2,716,35.79999923706055,case2,baseline,5,22,10.706281424878346
2,716,35.79999923706055,case2,baseline,6,22,11.870840300228972
2,717,35.849998474121094,case2,baseline,3,22,10.041804128160406
2,746,37.29999923706055,case2,baseline,18,27,11.33360435090582
2,747,37.349998474121094,case2,baseline,17,27,11.175665320053675
2,747,37.349998474121094,case2,baseline,19,27,11.055235445737736
3,617,30.850000381469727,case2,baseline,1,20,10.646141282473243
3,619,30.950000762939453,case2,baseline,4,20,10.669289980080274
3,642,32.099998474121094,case2,baseline,14,26,11.851570449338496
3,642,32.099998474121094,case2,baseline,16,26,11.902089796595513
3,643,32.150001525878906,case2,baseline,17,26,11.792397696893126
3,652,32.599998474121094,case2,baseline,10,24,11.464654974025153
3,653,32.650001525878906,case2,baseline,8,23,11.61454574087485
3,653,32.650001525878906,case2,baseline,11,24,10.748514534197428
3,654,32.70000076293945,case2,baseline,9,23,10.806648036916588
3,666,33.29999923706055,case2,baseline,6,22,11.241363218028878
3,667,33.349998474121094,case2,baseline,5,22,11.346588984402484
3,673,33.650001525878906,case2,baseline,18,27,11.641065672416735
3,673,33.650001525878906,case2,baseline,19,27,11.47192961062804
3,674,33.70000076293945,case2,baseline,0,27,11.09463479799464
3,703,35.150001525878906,case2,baseline,12,25,10.747876455454069
3,705,35.25,case2,baseline,13,25,11.893091769732887
3,706,35.29999923706055,case2,baseline,15,25,11.574548009397189
3,772,38.599998474121094,case2,baseline,2,21,11.605524797247224
3,772,38.599998474121094,case2,baseline,3,21,11.02410317848361
3,774,38.70000076293945,case2,baseline,7,21,11.046592055463785
4,636,31.799999237060547,case2,baseline,18,27,11.644481144266567
4,637,31.850000381469727,case2,baseline,19,27,10.22603102486359
4,640,32.0,case2,baseline,7,23,11.483556314176264
4,642,32.099998474121094,case2,baseline,8,23,10.51225804160837
4,661,33.04999923706055,case2,baseline,6,22,11.885558522569758
4,662,33.099998474121094,case2,baseline,4,22,10.39268628078631
4,663,33.150001525878906,case2,baseline,5,22,9.983930297983267
4,690,34.5,case2,baseline,2,21,11.039979058195446
4,692,34.599998474121094,case2,baseline,3,21,11.6590531512166
4,693,34.650001525878906,case2,baseline,15,26,10.764521138233604
4,694,34.70000076293945,case2,baseline,14,26,11.482271323888238
4,695,34.75,case2,baseline,16,26,10.986261284377875
