case,episode,target_id,assigned_defenders,hit_defenders,assigned_count,hit_count,all_assigned_hit,min_hit_time,max_hit_time,hit_time_spread,mean_hit_distance,max_hit_distance
case4,2,20,0 8 16,0 8 16,3,3,True,28.100000000000264,28.200000000000266,0.10000000000000142,2.1714527525153744,2.2917260372698864
case4,2,21,1 9 17,1 9 17,3,3,True,24.450000000000212,24.500000000000213,0.05000000000000071,2.0737142380706186,2.7249302657810164
case4,2,22,2 10 18,2 10 18,3,3,True,27.650000000000258,27.75000000000026,0.10000000000000142,1.286912614330755,1.6849803597679245
case4,2,23,3 11 19,3 11 19,3,3,True,28.050000000000264,28.150000000000265,0.10000000000000142,1.282485242633444,2.172668907206419
case4,2,24,4 12,4 12,2,2,True,28.100000000000264,28.200000000000266,0.10000000000000142,0.3620369268772793,0.4211766083578286
case4,2,25,5 13,5 13,2,2,True,24.35000000000021,24.450000000000212,0.10000000000000142,0.8277582362474629,0.9688113806169887
case4,2,26,6 14,6 14,2,2,True,27.80000000000026,27.90000000000026,0.10000000000000142,1.3445036515417885,2.1009291401145096
case4,2,27,7 15,7 15,2,2,True,24.550000000000214,24.650000000000215,0.10000000000000142,0.6014777304124999,0.7832143884094218
