case,episode,seed,defender_id,target_index,hit_time_s,terminal_abs_ny_g,hit_distance_m
case2,1,90001,1,1,26.150000000000237,0.4170585593120642,1.4109280324516893
case2,1,90001,9,1,26.150000000000237,0.4559803210988924,2.8842944110404245
case2,1,90001,17,1,26.150000000000237,0.1317221050099922,1.810775735706304
case2,1,90001,14,6,26.250000000000238,0.15200264622402881,2.608944172538596
case2,1,90001,6,6,26.35000000000024,0.571767421635562,2.9208159237957068
case2,1,90001,13,5,26.700000000000244,0.29344735858244486,2.965179752435444
case2,1,90001,5,5,26.750000000000245,0.4853659066972295,2.9280446622537606
case2,1,90001,7,7,27.550000000000257,0.5552696303627728,1.820030743707484
case2,1,90001,15,7,27.550000000000257,0.044989402546530416,2.0194078605280734
case2,1,90001,11,3,27.950000000000262,0.1269098139487779,1.517206592832021
case2,1,90001,19,3,27.950000000000262,0.4636608006502254,1.0137699719417328
case2,1,90001,3,3,28.150000000000265,0.29056502982684745,2.1361766213713964
case2,1,90001,8,0,29.450000000000284,0.20128645749812527,2.8102826622842763
case2,1,90001,16,0,29.500000000000284,0.15418859862390435,2.1297346041828744
case2,1,90001,10,2,62.2999999999986,0.2713211370427716,2.7696069301900987
case2,1,90001,2,2,62.39999999999859,0.3002192838066105,2.71802294753935
case2,1,90001,18,2,63.049999999998555,0.45659642431426983,2.6807229478251595
case2,2,90002,4,4,24.850000000000218,0.012614805568712417,1.8022702949710663
case2,2,90002,12,4,24.850000000000218,0.23080940848302747,1.8677054081221964
case2,2,90002,9,1,26.200000000000237,0.29665702228461704,2.8457028254484067
case2,2,90002,17,1,26.200000000000237,0.039341990553183465,2.727106588207495
case2,2,90002,14,6,26.250000000000238,0.058041289893208003,1.7177974237281166
case2,2,90002,6,6,26.30000000000024,0.19477076578178915,2.6590687253121374
case2,2,90002,5,5,26.700000000000244,0.1052653514228758,1.7979211437513039
case2,2,90002,13,5,26.750000000000245,0.274332676703158,2.4745228130093553
case2,2,90002,7,7,27.550000000000257,0.39199177193214496,1.212529610406759
case2,2,90002,15,7,27.550000000000257,0.1493534690358095,1.629278572968239
case2,2,90002,11,3,27.950000000000262,0.028095097450815287,1.7340546681706235
case2,2,90002,19,3,27.950000000000262,0.014731189599093461,0.96186742856493
case2,2,90002,3,3,28.150000000000265,0.46294718693163917,2.2152636313345293
case2,2,90002,0,0,29.10000000000028,0.009994277709955757,2.669249332960669
case2,2,90002,8,0,29.15000000000028,0.36981165924058995,1.9258322885238854
case2,2,90002,16,0,29.30000000000028,0.475191258450983,1.420699133240173
case2,2,90002,10,2,64.94999999999845,0.30614281019157463,2.780911110759809
case2,2,90002,2,2,65.09999999999845,0.111034879907468,2.6332840157181585
case2,3,90003,4,4,24.850000000000218,0.4780468752338907,1.2638919605326722
case2,3,90003,12,4,24.850000000000218,0.2970188119620464,1.1839237643886207
case2,3,90003,14,6,26.250000000000238,0.30538464921364045,1.8959677646948416
case2,3,90003,6,6,26.30000000000024,0.4362872921558572,2.73787270278447
case2,3,90003,5,5,26.700000000000244,0.1091358443295282,2.7658116681886615
case2,3,90003,13,5,26.750000000000245,0.8473165984158144,0.8335339760267282
case2,3,90003,7,7,27.550000000000257,0.20877447476735256,2.2224902445919503
case2,3,90003,15,7,27.550000000000257,0.1327305496052171,1.6406911061994822
case2,3,90003,3,3,28.150000000000265,0.18341057456310234,2.8263087118766603
case2,3,90003,11,3,28.150000000000265,0.29156307254559444,2.6757503043000224
case2,3,90003,8,0,29.500000000000284,0.7305607311293871,1.8138273005574375
case2,3,90003,16,0,29.500000000000284,0.22361104199088433,2.5383413123869762
case2,3,90003,18,2,37.15000000000003,0.12290099790370781,2.248765216087312
case2,3,90003,10,2,64.1499999999985,0.2693260200097705,2.684734047453276
case2,3,90003,2,2,64.2499999999985,0.4454357186568108,2.8913426491230614
case2,4,90004,4,4,24.850000000000218,0.42532922700181675,2.704465305086689
case2,4,90004,12,4,24.850000000000218,0.17769221803882645,1.8619057105668135
case2,4,90004,9,1,26.100000000000236,0.3533935780111592,2.858596232764802
case2,4,90004,1,1,26.150000000000237,0.5271746128742207,2.515469963298309
case2,4,90004,17,1,26.150000000000237,0.31445868600516474,2.2873696295622437
case2,4,90004,14,6,26.250000000000238,0.20484513946538832,1.3643839795021016
case2,4,90004,6,6,26.30000000000024,0.032087445184247484,2.2281504214527468
