variant,case,episode_count,unique_test_seeds,target_coverage_success_count,target_coverage_success_rate,target_coverage_success_ci95_low,target_coverage_success_ci95_high,all_defenders_hit_count,all_defenders_hit_rate,all_defenders_hit_ci95_low,all_defenders_hit_ci95_high,cooperative_success_count,cooperative_success_rate,cooperative_success_ci95_low,cooperative_success_ci95_high,mission_success_count,mission_success_rate,mission_success_ci95_low,mission_success_ci95_high,E_co_time_s_eligible_n,E_co_time_s_mean,E_co_time_s_median,E_co_time_s_q25,E_co_time_s_q75,E_co_time_s_std,E_n_g_eligible_n,E_n_g_mean,E_n_g_median,E_n_g_q25,E_n_g_q75,E_n_g_std,E_miss_m_eligible_n,E_miss_m_mean,E_miss_m_median,E_miss_m_q25,E_miss_m_q75,E_miss_m_std,E_t_s_eligible_n,E_t_s_mean,E_t_s_median,E_t_s_q25,E_t_s_q75,E_t_s_std
full,case1,100,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,0.07679166666666772,0.07638888888889,0.07118055555555668,0.08125000000000092,0.00641039206919975,100,0.031606929808582096,0.03126315571147065,0.027182785815945423,0.03487987755912765,0.006080932760430942,100,1.4539322755712158,1.4775530042689873,1.3151092561245252,1.5803728700566118,0.1735155528946826,100,26.73743750000025,26.725000000000243,26.31875000000024,27.10156250000025,0.5176390646300437
no_trust,case1,100,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,0.06675347222222312,0.06597222222222325,0.0634548611111119,0.07057291666666773,0.006043431142872864,100,0.03085789143938175,0.0304906886976165,0.026046382937207974,0.034844183911656,0.0057718409084030415,100,1.4070069745274738,1.3917121833527977,1.2707702830218164,1.550992047492541,0.21066596681223854,100,27.15656250000026,27.14687500000025,26.75781250000025,27.503125000000257,0.4983672639393775
no_gru,case1,100,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,0.06570138888888981,0.0652777777777787,0.0611111111111117,0.06918402777777848,0.005934686318508383,100,0.03399168994669683,0.033730879441299697,0.030260328298682374,0.03807288298278585,0.005344185669358819,100,1.4469783298560044,1.4465236522353215,1.2961393618520076,1.6037193822346993,0.21164676965298154,100,26.845250000000252,26.840625000000248,26.43281250000024,27.206250000000253,0.5106350955012613
no_attention_residual,case1,100,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,0.07011111111111208,0.06961805555555665,0.06527777777777874,0.07430555555555665,0.006278903425496566,100,0.03398542805809027,0.03444964475979535,0.029697142220648398,0.03851096037018253,0.006135246716896345,100,1.4479517055195372,1.4616191585591904,1.3134322057729615,1.5632449452565806,0.20513573719784162,100,26.76987500000025,26.756250000000247,26.35937500000024,27.13281250000025,0.5156441341720729
full,case2,100,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,0.04214583333333391,0.042187500000000405,0.037152777777778354,0.04722222222222305,0.008239537729501974,100,0.5068568010009693,0.5053910700122233,0.4602897297807563,0.5706216363675235,0.07890380219600115,100,1.6898262906799466,1.642682520186904,1.5480017861606543,1.8306166526703216,0.19293335744298357,100,27.70775000000026,27.76250000000026,27.398437500000252,28.164062500000263,0.6603232296964721
no_trust,case2,100,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,0.041972222222222806,0.04253472222222235,0.03671875000000055,0.04618055555555628,0.007998267598307665,100,0.5069690864247127,0.5050077846212355,0.4600244959839369,0.5730469954377774,0.078946073511483,100,1.688466020276948,1.6705421708584114,1.5604539217513984,1.8171259167609177,0.19629556242527044,100,27.707312500000256,27.76562500000026,27.398437500000252,28.162500000000264,0.6610141851721109
no_gru,case2,100,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,0.04121180555555614,0.0414930555555562,0.03715277777777842,0.04522569444444523,0.007959869264107227,100,0.5078822265093744,0.5046633867284058,0.4616870282458744,0.5697014171055284,0.07759900265505187,100,1.6745436770696216,1.6851932684182858,1.5507046514381964,1.7914841931107535,0.19999158946287218,100,27.73550000000026,27.79375000000026,27.41093750000025,28.185937500000264,0.6519449824187792
no_attention_residual,case2,100,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,0.04219097222222281,0.04201388888888955,0.03715277777777872,0.04626736111111178,0.0078974786601816,100,0.5075629949046201,0.5060084445902682,0.4628739608268817,0.5657882587044574,0.07741606622042994,100,1.6791064762939805,1.6621572775615265,1.564893215260655,1.820509347328925,0.1762862654135672,100,27.71043750000026,27.76875000000026,27.39687500000025,28.154687500000264,0.6510275331799303
