variant,case,training_seed,trust_aware_enabled,gru_enabled,attention_residual_enabled,actor_parameter_count,critic_parameter_count,updates,final_environment_steps,smoothing_window_updates,convergence_definition,asymptotic_improvement_direction,initial_smoothed_return,asymptotic_smoothed_return,convergence_environment_steps,convergence_updates,return_auc_time_normalized,final_window_updates,final_window_return,final_window_return_std,final_window_smoothed_return_std,final_window_return_cv_percent,final_window_target_coverage,final_window_complete_group_rate,final_window_all_hit_rate,final_window_all_sync_rate,final_window_critic_loss,final_window_critic_loss_std,initial_window_policy_entropy,final_window_policy_entropy,policy_entropy_change_percent,final_window_guided_action_fraction,final_window_actor_update_fraction,final_window_trust_mean,wall_time_s,return_auc_relative_to_full,final_return_relative_to_full,final_return_std_relative_to_full,smoothed_final_return_std_relative_to_full
full,case1,8303,True,True,True,732774,749761,585,599040,20,first sustained 90% of own asymptotic improvement,increase,526767.8490018989,535120.060716356,,,535071.9386853968,58,534155.1095136057,108910.26979978684,5875.604396252273,20.389259198317703,1.0,1.0,1.0,1.0,0.058306164188503144,0.014991307664546802,2.4332756648803584,1.15895525987806,-52.37057286170474,0.5350748564960991,0.46492514350390085,0.4976280453858656,14998.361114740372,1.0,1.0,1.0,1.0
full,case2,8303,True,True,True,732774,749761,585,599040,20,first sustained 90% of own asymptotic improvement,increase,596250.8424799652,605144.3448218703,205824.0,201.0,606957.4951253376,58,608135.3521832721,151906.89936092473,7872.7359559047745,24.97912657364227,1.0,1.0,1.0,1.0,0.03481234367053694,0.010519280131393877,2.446125800034096,1.3012663601801315,-46.80296654562928,0.5234507007246606,0.4765492992753394,0.5045451752816067,15077.222893238068,1.0,1.0,1.0,1.0
no_attention_residual,case1,8303,True,True,False,733200,749932,585,599040,20,first sustained 90% of own asymptotic improvement,increase,526469.670289615,535187.0990290894,,,535036.630868303,58,533408.3694408606,106006.05952230516,5755.288908549094,19.873340126519732,1.0,1.0,1.0,1.0,0.05756306998624366,0.014668319890541372,2.3914248271235103,1.147497784269267,-52.01614655604635,0.5358619140506002,0.4641380859493998,0.49721245761196814,14407.334656715391,0.9999340129531357,0.9986020164191164,0.9733339171519768,0.9795228746544065
no_attention_residual,case2,8303,True,True,False,733200,749932,585,599040,20,first sustained 90% of own asymptotic improvement,increase,596251.2193040923,604842.076103033,202752.0,198.0,606957.4686382036,58,608138.9191929093,163477.90099837276,8506.403160711046,26.88167059186612,1.0,1.0,1.0,1.0,0.0353202824940471,0.010955910525302152,2.473967199284455,1.1917841281356483,-51.82700366923427,0.5224452798409321,0.47755472015906786,0.5046985001954051,14704.084806203842,0.9999999563608091,1.0000058654863992,1.076171666238515,1.0804888171476148
no_gru,case1,8303,True,False,True,337510,354497,585,599040,20,first sustained 90% of own asymptotic improvement,increase,526352.0475752368,535295.6882773305,,,535038.2030013299,58,533402.2506197356,106245.26115850577,5899.430251335371,19.918412611694887,1.0,1.0,1.0,1.0,0.3094542440797748,0.05844971865964847,2.405037563628164,1.1649264676817532,-51.56306557123449,0.5361129679727182,0.4638870320272817,0.49753348762463595,14493.408279895782,0.9999369511244605,0.998590561279933,0.975530235613407,1.004055047528097
no_gru,case2,8303,True,False,True,337510,354497,585,599040,20,first sustained 90% of own asymptotic improvement,increase,596252.3513524835,604858.598848735,202752.0,198.0,606957.4732991259,58,608135.7583734717,154140.4094717432,8319.621227448462,25.346381519154416,1.0,1.0,1.0,1.0,0.23304604394682518,0.054411857861874316,2.4119826699125357,1.064549775986836,-55.86412003426877,0.5221270280581894,0.47787297194181055,0.5047839652742234,14862.01223063469,0.9999999640399667,1.000000667927293,1.0147031512078444,1.0567636554873292
no_trust,case1,8303,False,True,True,732774,749761,585,599040,20,first sustained 90% of own asymptotic improvement,increase,526686.2884721896,535517.0827382874,,,535667.9195924075,58,535662.7337334718,107535.17066447406,5997.424911188556,20.075163697682214,1.0,1.0,1.0,1.0,0.05811869833008222,0.014563036179689348,2.401680042825896,0.5172409075087515,-78.46337154468966,0.0,1.0,0.7999999999999999,12677.666928052902,1.0011138332323593,1.0028224465010527,0.9873740177318386,1.0207332738422596
no_trust,case2,8303,False,True,True,732774,749761,585,599040,20,first sustained 90% of own asymptotic improvement,increase,596247.9436001242,605216.0502680643,205824.0,201.0,606952.0405862087,58,608131.6791298365,146557.022137644,7982.058169466639,24.099553956365096,1.0,1.0,1.0,1.0,0.03507416064425462,0.010247133182584689,2.4967037028279795,0.7560632446202737,-69.71754222321648,0.0,1.0,0.7999999999999999,12979.53819990158,0.9999910133095435,0.9999939601382777,0.9647818680666398,1.0138861780928738
