episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,mean_target_time,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.0312504768371582,413.5481166969985,8270.96233393997
2,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.0312504768371582,413.6672172532417,8273.344345064834
4,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.02500009536743164,413.53255141349507,8270.651028269902
5,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.02500009536743164,413.47202346427366,8269.440469285473
6,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.03125,413.5672996553127,8271.345993106253
7,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.03750038146972656,413.5872007262427,8271.744014524855
9,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.03750038146972656,413.6149774433114,8272.299548866227
10,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.02500009536743164,413.62124448893593,8272.424889778718
11,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.02500009536743164,413.597415332729,8271.94830665458
12,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.025000572204589844,413.6540929050185,8273.08185810037
13,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.02500009536743164,413.4914827016648,8269.829654033296
14,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.03125,413.53565014656635,8270.713002931327
15,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.0312504768371582,413.6085602052975,8272.17120410595
16,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.02500009536743164,413.6583818233572,8273.167636467144
17,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.01875019073486328,413.5989997278899,8271.979994557798
18,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.02500009536743164,413.6984958842862,8273.969917685725
19,case1,8,20,8,8,True,True,35.306251525878906,0.0500030517578125,0.02500009536743164,413.56734815328383,8271.346963065676
20,case1,8,20,8,8,True,True,35.3125,0.0500030517578125,0.02500009536743164,413.6165721480735,8272.33144296147
