episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread
1,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164
2,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582
3,case1,8,18,8,6,True,False,0.05000114440917969,0.03333346173167229
4,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582
5,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582
6,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164
7,case1,8,20,8,8,True,True,0.05000114440917969,0.03125
8,case1,8,19,8,7,True,False,0.05000114440917969,0.028571536764502525
9,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164
10,case1,8,20,8,8,True,True,0.05000114440917969,0.03125
11,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164
12,case1,8,19,8,7,True,False,0.05000114440917969,0.02500009536743164
13,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582
14,case1,8,19,8,7,True,False,0.05000114440917969,0.028571536764502525
15,case1,8,20,8,8,True,True,0.05000114440917969,0.03125
16,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164
17,case1,8,19,8,7,True,False,0.05000114440917969,0.02500009536743164
18,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164
19,case1,8,20,8,8,True,True,0.05000114440917969,0.0312502384185791
20,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164
