episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,mean_target_time,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
2,case1,8,20,8,8,True,True,35.25,0.0500030517578125,0.02500009536743164,412.78806632007473,8255.761326401494
3,case1,8,20,8,8,True,True,35.256248474121094,0.049999237060546875,0.024999618530273438,412.84987293002195,8256.99745860044
4,case1,8,20,8,8,True,True,35.256248474121094,0.09999847412109375,0.024999618530273438,412.8072708530817,8256.145417061634
5,case1,8,20,8,8,True,True,35.256248474121094,0.049999237060546875,0.031249523162841797,412.8995337770786,8257.990675541572
6,case1,8,20,8,8,True,True,35.256248474121094,0.049999237060546875,0.018749713897705078,412.7680786825716,8255.361573651433
7,case1,8,20,8,8,True,True,35.26249694824219,0.049999237060546875,0.018749713897705078,412.8600796791725,8257.20159358345
8,case1,8,20,8,8,True,True,35.25,0.049999237060546875,0.037499427795410156,412.87667893245816,8257.533578649163
9,case1,8,20,8,8,True,True,35.26249694824219,0.049999237060546875,0.031249523162841797,412.9101739767939,8258.203479535878
10,case1,8,20,8,8,True,True,35.256248474121094,0.049999237060546875,0.031249523162841797,412.90042954725214,8258.008590945043
12,case1,8,20,8,8,True,True,35.256248474121094,0.049999237060546875,0.031249523162841797,412.8248655508738,8256.497311017476
13,case1,8,20,8,8,True,True,35.256248474121094,0.0500030517578125,0.03125,412.89607770428995,8257.921554085799
14,case1,8,20,8,8,True,True,35.256248474121094,0.0500030517578125,0.02500009536743164,412.7976090822369,8255.952181644738
15,case1,8,20,8,8,True,True,35.25,0.049999237060546875,0.018749713897705078,412.74676493876615,8254.935298775323
16,case1,8,20,8,8,True,True,35.256248474121094,0.049999237060546875,0.012499809265136719,412.7475021496415,8254.95004299283
18,case1,8,20,8,8,True,True,35.256248474121094,0.049999237060546875,0.024999618530273438,412.87256685085595,8257.451337017119
19,case1,8,20,8,8,True,True,35.25,0.0500030517578125,0.02500009536743164,412.79453947241416,8255.890789448284
20,case1,8,20,8,8,True,True,35.24374771118164,0.0500030517578125,0.03125,412.72247768435625,8254.449553687125
