sweep,M,N,population_P,iterations_T,seed,runtime_s,max_target_load
population,20,8,8,20,0,0.021152739063836634,3
population,20,8,8,20,1,0.019530453020706773,3
population,20,8,8,20,2,0.011362532037310302,3
population,20,8,8,20,3,0.01176979101728648,3
population,20,8,8,20,4,0.011398322996683419,3
population,20,8,8,20,5,0.011114162974990904,3
population,20,8,8,20,6,0.010809318977408111,3
population,20,8,16,20,0,0.016065887990407646,3
population,20,8,16,20,1,0.01587972405832261,3
population,20,8,16,20,2,0.01580777100753039,3
population,20,8,16,20,3,0.015952731017023325,3
population,20,8,16,20,4,0.01641569600906223,3
population,20,8,16,20,5,0.015882149920798838,3
population,20,8,16,20,6,0.016126806964166462,3
population,20,8,32,20,0,0.03647138806991279,3
population,20,8,32,20,1,0.02836979099083692,3
population,20,8,32,20,2,0.027760025928728282,3
population,20,8,32,20,3,0.029085999936796725,3
population,20,8,32,20,4,0.02880746207665652,3
population,20,8,32,20,5,0.02976418810430914,3
population,20,8,32,20,6,0.030229790951125324,3
population,20,8,64,20,0,0.056392322992905974,3
population,20,8,64,20,1,0.05663234100211412,3
population,20,8,64,20,2,0.057314421981573105,3
population,20,8,64,20,3,0.0687934779562056,3
population,20,8,64,20,4,0.05532734002918005,3
population,20,8,64,20,5,0.05461306998040527,3
population,20,8,64,20,6,0.056599613977596164,3
problem_size,10,4,12,12,0,0.006630219053477049,3
problem_size,10,4,12,12,1,0.00659752101637423,3
problem_size,10,4,12,12,2,0.006490809959359467,3
problem_size,10,4,12,12,3,0.006277401000261307,3
problem_size,10,4,12,12,4,0.00620692502707243,3
problem_size,20,8,12,12,0,0.008156138006597757,3
problem_size,20,8,12,12,1,0.007698706933297217,3
problem_size,20,8,12,12,2,0.008107772096991539,3
problem_size,20,8,12,12,3,0.007954941014759243,3
problem_size,20,8,12,12,4,0.0079959100112319,3
problem_size,40,16,12,12,0,0.010976364952512085,3
problem_size,40,16,12,12,1,0.011093252920545638,3
problem_size,40,16,12,12,2,0.011249263072386384,3
problem_size,40,16,12,12,3,0.011691733030602336,3
problem_size,40,16,12,12,4,0.01187355990987271,3
problem_size,80,32,12,12,0,0.017967086052522063,3
problem_size,80,32,12,12,1,0.018194445059634745,4
problem_size,80,32,12,12,2,0.018194321077317,4
problem_size,80,32,12,12,3,0.018160681007429957,4
problem_size,80,32,12,12,4,0.016919154906645417,4
problem_size,160,64,12,12,0,0.027831492945551872,4
problem_size,160,64,12,12,1,0.0281482539139688,4
problem_size,160,64,12,12,2,0.028881211997941136,4
problem_size,160,64,12,12,3,0.028335242997854948,5
problem_size,160,64,12,12,4,0.02879656699951738,4
