seed,delay_rounds,delay_ms,graph_diameter_D,exact_node_fraction,winner_jaccard,edge_disagreement,stale_record_fraction,recovery_rate,recovery_time_mean_s,recovery_time_p95_s
0,0,0,9,0.8725431034482758,0.9655384759975009,0.08302615933412605,0.08650000000000001,1.0,0.4019230769230769,0.45
0,1,50,9,0.7450862068965518,0.9310769519950017,0.1660523186682521,0.17300000000000001,1.0,0.8038461538461538,0.9
0,2,100,9,0.6176293103448275,0.8966154279925028,0.24907847800237812,0.2595,1.0,1.205769230769231,1.35
0,4,200,9,0.36853448275862066,0.8281931997276712,0.41126634958382874,0.43125,0.23076923076923078,1.625,1.75
0,8,400,9,0.1314655172413793,0.7261751548810793,0.6109393579072532,0.6645,0.0,nan,nan
1,0,0,9,0.9160344827586206,0.9754818772738841,0.05255427841634739,0.088625,1.0,0.409375,0.45
1,1,50,9,0.8320689655172414,0.9509637545477682,0.10510855683269477,0.17725000000000002,1.0,0.81875,0.9
1,2,100,9,0.7481034482758621,0.9264456318216526,0.15766283524904215,0.26587500000000003,1.0,1.2281250000000004,1.35
1,4,200,9,0.5834051724137931,0.8776620220572819,0.2608556832694764,0.441875,0.125,1.75,1.75
1,8,400,9,0.42202586206896553,0.7980322685909271,0.3844508301404853,0.6875,0.0,nan,nan
2,0,0,13,0.8866379310344827,0.9842376358153062,0.04220945083014049,0.12199999999999998,1.0,0.5105263157894736,0.65
2,1,50,13,0.7732758620689655,0.9684752716306129,0.08441890166028097,0.24399999999999997,1.0,1.0210526315789472,1.3
2,2,100,13,0.6599137931034482,0.9527129074459191,0.12662835249042145,0.366,1.0,1.5315789473684214,1.9500000000000002
2,4,200,13,0.46056034482758623,0.9222629854985567,0.20354406130268196,0.5612499999999999,0.05263157894736842,1.25,1.25
2,8,400,13,0.21689655172413794,0.8707507591043346,0.328448275862069,0.74075,0.0,nan,nan
3,0,0,6,0.8865948275862068,0.9604401622284651,0.08211206896551725,0.07675,1.0,0.2925925925925926,0.30000000000000004
3,1,50,6,0.7731896551724139,0.9208803244569305,0.1642241379310345,0.1535,1.0,0.5851851851851853,0.6000000000000001
3,2,100,6,0.6597844827586207,0.8813204866853956,0.24633620689655172,0.23025000000000004,1.0,0.8777777777777777,0.9
3,4,200,6,0.4329741379310345,0.8022008111423261,0.41056034482758613,0.38375,1.0,1.462962962962963,1.5
3,8,400,6,0.1165948275862069,0.6611502519876453,0.652832512315271,0.655125,0.037037037037037035,1.8,1.8
4,0,0,7,0.8943103448275863,0.966033305339753,0.07568370986920334,0.0755,1.0,0.3400000000000001,0.35000000000000003
4,1,50,7,0.7886206896551724,0.9320666106795059,0.15136741973840667,0.15100000000000002,1.0,0.6800000000000002,0.7000000000000001
4,2,100,7,0.6829310344827587,0.8980999160192588,0.22705112960760995,0.2265,1.0,1.0200000000000002,1.05
4,4,200,7,0.47155172413793106,0.8301665266987647,0.37841854934601665,0.3775,1.0,1.7,1.75
4,8,400,7,0.18189655172413793,0.7120833754539019,0.6051129607609989,0.637375,0.0,nan,nan
5,0,0,10,0.8441379310344828,0.9503919621502714,0.09768133174791914,0.09849999999999999,1.0,0.4749999999999999,0.5
5,1,50,10,0.6882758620689656,0.9007839243005431,0.19536266349583828,0.19699999999999998,1.0,0.9499999999999998,1.0
5,2,100,10,0.5324137931034483,0.8511758864508149,0.2930439952437574,0.2955,1.0,1.4250000000000003,1.5
5,4,200,10,0.2644396551724138,0.7558099376687071,0.4668549346016646,0.484375,0.07692307692307693,1.75,1.75
5,8,400,10,0.10956896551724138,0.634848432093313,0.6711058263971461,0.69225,0.038461538461538464,1.35,1.35
6,0,0,9,0.8870258620689656,0.9664461063295006,0.06408045977011494,0.1005,1.0,0.4090909090909091,0.45
6,1,50,9,0.7740517241379311,0.9328922126590015,0.12816091954022987,0.20099999999999998,1.0,0.8181818181818182,0.9
6,2,100,9,0.6610775862068965,0.8993383189885019,0.19224137931034482,0.3015,1.0,1.2272727272727277,1.35
6,4,200,9,0.44461206896551725,0.8327896320161928,0.31529374201787996,0.5,0.22727272727272727,1.5,1.75
6,8,400,9,0.29767241379310344,0.752566097494799,0.4437739463601532,0.722375,0.045454545454545456,1.8,1.8
7,0,0,7,0.9094827586206896,0.9772769996207747,0.05152298850574712,0.0805,1.0,0.33947368421052626,0.35000000000000003
7,1,50,7,0.8189655172413793,0.9545539992415496,0.10304597701149423,0.161,1.0,0.6789473684210525,0.7000000000000001
7,2,100,7,0.728448275862069,0.9318309988623241,0.1545689655172414,0.2415,1.0,1.0184210526315791,1.05
7,4,200,7,0.5474137931034483,0.8863849981038735,0.2576149425287357,0.40249999999999997,1.0,1.6973684210526316,1.75
7,8,400,7,0.3253879310344828,0.8134621066554156,0.4105747126436782,0.6565,0.05263157894736842,1.8,1.8
