seed,epoch,idbo_assignment_cost,maximum_target_load
0,0,0.36877454728564485,3
0,1,0.3772294126013356,3
0,2,0.32941910315483947,3
0,3,0.3271303916333063,3
0,4,0.3386874764960244,3
0,5,0.3494438650476417,3
0,6,0.5237002345070974,3
0,7,0.5459811569603679,3
0,8,0.6132286968440213,3
0,9,0.6525455277705704,3
0,10,0.7815561189679883,3
0,11,0.718970282004411,3
0,12,0.7789328854236803,3
0,13,1.0261628811634427,3
0,14,1.100517956405662,3
0,15,1.4137708379158866,3
0,16,1.599136356284349,3
0,17,1.8202843264426913,3
0,18,2.006380873251366,3
0,19,2.1202628906670755,3
0,20,2.3173349746580127,3
0,21,2.5062391393268566,3
0,22,2.873577783142581,3
0,23,3.1801874514194646,3
0,24,3.3422326648539094,3
0,25,3.3917447209692635,3
0,26,3.501179827993272,3
0,27,3.59729170481172,3
0,28,3.64225800338642,3
0,29,3.7857569457949896,3
1,0,0.5953502492930731,3
1,1,0.5827889508306917,3
1,2,0.5937134376260398,3
1,3,0.6192444018275218,3
1,4,0.6362123611320029,3
1,5,0.6701088157067921,3
1,6,0.6950682803149287,3
1,7,0.7248545993936205,3
1,8,0.7763121265431431,3
1,9,0.8220223908710308,3
1,10,0.8915295640690775,3
1,11,0.9697347305964045,3
1,12,1.023638677850374,3
1,13,1.3274762369850226,3
1,14,1.7436571467066606,3
1,15,1.7681524350289222,3
1,16,1.9126647944251614,3
1,17,2.0492507407065546,3
1,18,2.4089521401127447,3
1,19,2.532131543553736,3
1,20,2.615486713208824,3
1,21,2.685542599544928,3
1,22,2.7642711589830893,3
1,23,2.8061781407096067,3
1,24,2.8666840225594195,3
1,25,2.992808690936589,3
1,26,3.1362062130245065,3
1,27,2.994340947271189,3
1,28,3.0632651657090495,3
1,29,3.1875467529759693,3
2,0,0.4774146791943486,3
2,1,0.5502352862244224,3
2,2,0.5645577434273503,3
2,3,0.5667708266247613,3
2,4,0.590738052930223,3
2,5,0.5937074064782057,3
2,6,0.6151194887945732,3
2,7,0.6449314724555871,3
2,8,0.6685624536771733,3
2,9,0.7137613987356674,3
2,10,0.75097235697874,3
2,11,0.8628360694242877,3
2,12,0.8843628761039131,3
2,13,0.8959159293872805,3
2,14,1.538916833805014,3
2,15,2.021212449974314,3
2,16,2.1855804890666986,3
2,17,2.276416590546449,3
2,18,2.349198137231507,3
2,19,2.41136697288234,3
2,20,2.467790447779478,3
2,21,2.5139030179730395,3
2,22,2.553907035498274,3
2,23,2.594904479753571,3
2,24,2.61261523131331,3
2,25,2.6517275989221214,3
2,26,2.6840741397430774,3
2,27,2.7164840199569444,3
2,28,2.769151288049586,3
2,29,2.802579646556573,3
3,0,0.3914748590770598,3
3,1,0.41725281541131115,3
3,2,0.48095134735827283,3
3,3,0.5732560691106893,3
3,4,0.12124942442205934,3
3,5,0.1332157252900016,3
3,6,0.18018637387972647,3
3,7,0.1959534397177013,3
3,8,0.23768088766109874,3
3,9,0.2582294084239282,3
3,10,0.36313902427134614,3
3,11,0.6428496883768593,3
3,12,1.0861764531974,3
3,13,1.2910107192163396,3
3,14,1.4425860368737002,3
3,15,1.636079527118925,3
3,16,2.10243499033974,3
3,17,2.105305357241502,3
3,18,2.150697179071654,3
3,19,2.4914034113303716,3
3,20,2.5819032132556825,3
3,21,2.7525300155404455,3
3,22,2.82788471192605,3
3,23,3.033559527037841,3
3,24,3.1721006979588795,3
3,25,3.2974030351571315,3
3,26,3.4095706996350237,3
3,27,3.5192384085827464,3
3,28,3.600252422079842,3
3,29,3.6994219616016637,3
4,0,0.8769245738786595,3
4,1,0.6466964102275385,3
4,2,0.6631298398335553,3
4,3,0.6736931900988766,3
4,4,0.695422350875115,3
4,5,0.7090773950245024,3
4,6,0.9647580636252842,3
4,7,0.9968185047033352,3
4,8,0.8306537941857377,3
4,9,1.0359345773033097,3
4,10,1.0942128167378953,3
4,11,1.21213143515666,3
4,12,1.395843082893357,3
4,13,1.8016187828514123,3
4,14,1.4957728046694132,3
4,15,1.7587151370110379,3
4,16,2.0664084032413115,3
4,17,2.3008349360489424,3
4,18,2.8499407232241176,3
4,19,3.038666651153532,3
4,20,3.017351132659741,3
4,21,3.0015129101489704,3
4,22,3.3113678508993734,3
4,23,3.3254012935985826,3
4,24,3.4505077052777375,3
