seed,delay_rounds,delay_ms,graph_diameter_D,rounds,latency_s,messages,record_entries,fixed_point,idbo_cost,max_target_load
16,0,0,9,11,0.55,600,7786,True,0.5813438621401148,3
16,1,50,9,20,1.0,1140,14372,True,0.5813438621401148,3
16,2,100,9,29,1.4500000000000002,1680,20958,True,0.5813438621401148,3
16,4,200,9,47,2.35,2760,34130,True,0.5813438621401148,3
16,8,400,9,83,4.15,4920,60474,True,0.5813438621401148,3
17,0,0,6,8,0.4,392,4433,True,1.0308468692995938,3
17,1,50,6,14,0.7000000000000001,728,7746,True,1.0308468692995938,3
17,2,100,6,20,1.0,1064,11059,True,1.0308468692995938,3
17,4,200,6,32,1.6,1736,17685,True,1.0308468692995938,3
17,8,400,6,56,2.8000000000000003,3080,30937,True,1.0308468692995938,3
18,0,0,8,10,0.5,504,6165,True,0.3945662008811832,3
18,1,50,8,18,0.9,952,11210,True,0.3945662008811832,3
18,2,100,8,26,1.3,1400,16255,True,0.3945662008811832,3
18,4,200,8,42,2.1,2296,26345,True,0.3945662008811832,3
18,8,400,8,74,3.7,4088,46525,True,0.3945662008811832,3
19,0,0,8,10,0.5,504,6492,True,0.5024209577623961,3
19,1,50,8,18,0.9,952,11864,True,0.5024209577623961,3
19,2,100,8,26,1.3,1400,17236,True,0.5024209577623961,3
19,4,200,8,42,2.1,2296,27980,True,0.5024209577623961,3
19,8,400,8,74,3.7,4088,49468,True,0.5024209577623961,3
