sweep,M,N,population_P,iterations_T,n_runs,runtime_s_mean,runtime_s_std,runtime_s_ci95
population,20,8,8,20,7,0.013876760012603231,0.004450628483359451,0.00329707172057471
population,20,8,16,20,7,0.016018680995330215,0.00020749410991530964,0.000153713787737051
population,20,8,32,20,7,0.030069806579766527,0.0029406850687212645,0.002178489985279258
population,20,8,64,20,7,0.05795322684571147,0.004864573864470694,0.0036037267503142866
problem_size,10,4,12,12,5,0.006440575211308896,0.00018995955770659937,0.0001665068937310381
problem_size,20,8,12,12,5,0.007982693612575531,0.00017841027084228056,0.0001563834974470953
problem_size,40,16,12,12,5,0.01137683477718383,0.00038825444530704367,0.00034032002625102535
problem_size,80,32,12,12,5,0.017887137620709835,0.000549319535636313,0.00048149980263615435
problem_size,160,64,12,12,5,0.02839855377096683,0.00044147189782951226,0.00038696718009143146
