seed,M,N,graph_diameter_D,mean_degree,rounds,latency_s,messages,record_entries,fixed_point,idbo_cost,max_target_load
0,10,4,3,4.0,11,0.55,400,2200,True,0.10261397378422095,3
1,10,4,3,4.0,11,0.55,400,2200,True,0.18567817556108432,3
2,10,4,3,4.0,11,0.55,400,2200,True,0.03033687918940721,3
3,10,4,3,4.0,11,0.55,400,2200,True,0.1499246387852656,3
4,10,4,3,4.0,11,0.55,400,2200,True,0.33595924193954124,3
0,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,0.5686952762771067,3
1,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,0.5473552478608578,3
2,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,0.7503995640147523,3
3,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,0.8490209407353531,3
4,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,0.5952880078165018,3
0,40,16,10,4.0,32,1.6,4960,97600,True,1.2741251112755614,3
1,40,16,10,4.0,32,1.6,4960,97600,True,1.5042881253389047,3
2,40,16,10,4.0,32,1.6,4960,97600,True,1.2521643701983753,3
3,40,16,10,4.0,32,1.6,4960,97600,True,1.4552988512549465,3
4,40,16,10,4.0,32,1.6,4960,97600,True,1.7078334822027081,3
0,80,32,20,4.0,62,3.1,19520,774400,True,4.697872781593826,3
1,80,32,20,4.0,62,3.1,19520,774400,True,5.671191640051206,4
2,80,32,20,4.0,62,3.1,19520,774400,True,4.396659883831143,4
3,80,32,20,4.0,62,3.1,19520,774400,True,4.513656638935319,4
4,80,32,20,4.0,62,3.1,19520,774400,True,3.264574647074973,3
0,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,15.320158493689638,4
1,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,15.589849632972888,4
2,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,16.94729645016419,5
3,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,22.6946360312745,5
4,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,17.32911396841775,5
