M,N,graph_diameter_D,mean_degree,n_runs,rounds_mean,rounds_std,rounds_ci95,latency_s_mean,latency_s_std,latency_s_ci95,messages_mean,messages_std,messages_ci95,record_entries_mean,record_entries_std,record_entries_ci95,idbo_cost_mean,idbo_cost_std,idbo_cost_ci95
10,4,3,4.0,5,11.0,0.0,0.0,0.55,0.0,0.0,400.0,0.0,0.0,2200.0,0.0,0.0,0.16090258185190387,0.1138245844060882,0.09977164723112888
20,8,5,4.0,5,17.0,0.0,0.0,0.85,1.2412670766236366e-16,1.0880185641326533e-16,1280.0,0.0,0.0,12400.0,0.0,0.0,0.6621518073409143,0.13142572096752303,0.11519972366151796
40,16,10,4.0,5,32.0,0.0,0.0,1.6,0.0,0.0,4960.0,0.0,0.0,97600.0,0.0,0.0,1.4387419880540993,0.18634013366702423,0.16333432867981842
80,32,20,4.0,5,62.0,0.0,0.0,3.1,0.0,0.0,19520.0,0.0,0.0,774400.0,0.0,0.0,4.508791118297293,0.8584285879826663,0.7524458332108931
160,64,40,4.0,5,122.0,0.0,0.0,6.1000000000000005,0.0,0.0,77440.0,0.0,0.0,6169600.0,0.0,0.0,17.57621091530379,2.987066690184383,2.6182793956504127
