episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,mean_target_time,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case1,8,20,8,8,True,True,35.20000076293945,0.049999237060546875,0.024999618530273438,414.8461322922725,8296.92264584545
2,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.04374980926513672,415.0398274096195,8300.79654819239
3,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.03125,414.81492904359476,8296.298580871895
4,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.03125,414.7868372204248,8295.736744408496
5,case1,8,20,8,8,True,True,35.20000076293945,0.049999237060546875,0.024999618530273438,414.7619428323116,8295.238856646232
6,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.03125,414.9037252354436,8298.074504708871
7,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.03125,414.81943683163263,8296.388736632653
8,case1,8,20,8,8,True,True,35.20625305175781,0.0500030517578125,0.03125,414.8913245614152,8297.826491228305
9,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.03749990463256836,414.9028499783948,8298.056999567896
11,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.03749990463256836,415.00982448342256,8300.196489668451
12,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.04374980926513672,414.880751434993,8297.61502869986
13,case1,8,20,8,8,True,True,35.20000076293945,0.049999237060546875,0.024999618530273438,414.84930429724045,8296.986085944809
15,case1,8,20,8,8,True,True,35.20624923706055,0.049999237060546875,0.018749713897705078,414.9256245496217,8298.512490992434
16,case1,8,20,8,8,True,True,35.20624923706055,0.0500030517578125,0.03125,414.9648192988243,8299.296385976486
17,case1,8,20,8,8,True,True,35.20000076293945,0.0500030517578125,0.03125,414.92129945135673,8298.425989027135
18,case1,8,20,8,8,True,True,35.20000076293945,0.049999237060546875,0.024999618530273438,414.786663517449,8295.733270348981
19,case1,8,20,8,8,True,True,35.20000076293945,0.049999237060546875,0.031249523162841797,414.7374654578045,8294.74930915609
20,case1,8,20,8,8,True,True,35.20624923706055,0.0500030517578125,0.02500009536743164,414.9178922827356,8298.357845654711
