seed,defender_id,target_index,target_id,hit_time_s,miss_at_arrival_m,min_distance_m
74002,0,6,26,35.15,1.7592054451427157,0.6269708370184757
74002,1,6,26,35.2,2.528297611037539,2.528297611037539
74002,2,5,25,39.900000000000006,2.6349054566316696,2.6349054566316696
74002,3,3,23,32.65,2.3108099488544447,2.3108099488544447
74002,4,4,24,38.7,1.061949565349814,1.061949565349814
74002,5,4,24,38.7,0.887547489993671,0.887547489993671
74002,6,0,20,39.45,0.26789558311399236,0.26789558311399236
74002,7,7,27,34.6,0.017118483199906602,0.017118483199906602
74002,8,0,20,39.45,0.22699696990325124,0.22699696990325124
74002,9,1,21,35.0,0.8841297368184174,0.8841297368184174
74002,10,2,22,33.6,2.1863894345084844,0.20658056813606035
74002,11,3,23,32.6,1.2246901538351267,0.8667000730853074
74002,12,2,22,33.7,0.05107977754715247,0.05107977754715247
74002,13,5,25,39.85,1.4892057692285383,0.41193309141472245
74002,14,1,21,35.1,2.934801485022529,2.934801485022529
74002,15,7,27,34.6,0.4671742274562971,0.4671742274562971
74002,16,6,26,35.2,2.923289102004305,2.923289102004305
74002,17,1,21,35.050000000000004,0.8980884528922369,0.8980884528922369
74002,18,2,22,33.65,0.7204166211759689,0.7204166211759689
74002,19,3,23,32.65,0.11738556399356144,0.11738556399356144
